year,name,origin,text,bergofficer
1766,"v . Trebra , Fr . Wilh . Heinr . ",Alstedt in Thüringen,1819 als Oberberghauptmann zu Freiberg,
1766,Beyer August ,Schneeberg ,1806 als Kobaltinspector u. Zehnutner zu Schneeberg,
1766,"v. Wietersheim, Fr. Chr. Ludw. ",Anhalt-Cöthen,n/a,
1766,"Charpentier, John. Friedr. Wilh. (war zugliech schon Professor), späterhin nobilitirt",Dresden,1805 als Berghauptmann zu Freiberg,
1766,"Monsky, Joh. Traug.",Johanngeorgenstadt,1813 als Schichmeister zu Freiberg,
1766,"Glässer, Friedr. Gottl.",Grosskamsdorf in Thüringen,als Bergmeister zu Voigtsberg,
1766,"Richter, gottl. Sigism.",Freiberg,1814 als Hüttenmeister zu Freiberg,
1766,"Kürschner, Chr. Fr.",n/a,1815 als Schichtmeister zu Annaberg,
1766,"v. Wolffersdorf, Fr. Gotth",Voigtland,n/a,
1766,"Kiessling, Chr. Gottfr.",Freiberg,1777 als Vicemarkscheider zu Freiberg,
1766,"Ruperti, Joh. Otto",Clausthal,1794 als Zehntenschreiber zu Freiberg,
1766,"Schütze, Dav. Benj. Gotth.",Freiberg,War Bergeister zu Altenberg u. Marienberg in Philadelphia ,
1766,"Mossdorf, Joh. Theod.",Freiberg,1808 als Bergfactor zu Freiberg,
1766,"Schilling, Carl Gottfr.",Schneeberg ,1776 als Schichtmeister zu Freiberg,
1766,"Techelmann, Joh. Chr.",Marienberg,1799 als Bergmeister zu Johanngeorgenstadt ,
1766,"Freiesleben, Joh. Fr.",Freiberg,"1807 als Stadtkämmerer, Markscheider u. Schichtmeister zu Freiberg",
1766,"Förster, Gottl. Benj.",n/a,n/a,
1766,"Teetsch, George Fr. ",Freiberg,als emer. Schichtmeister zu Freiberg,
1767,"Mende, Joh. Fr. ",Lebuse im Amte Schlieben,1798 als Maschinendirector zu Freiberg,
1767,"Duckwitz, Joh. Chr.",Dresden,als Bergsecretair beim Churfürstl. Berggemach zu Dresden ,
1767,"Reich, Jon. Heinr.",Harz,als Zehntenschreiber su Freiberg,
1767,"Sieghardt, Joh. Sim. Benj.",Freiberg,1830 als pensionirter Zeichnenmeister d. Bergakadem. Zu Freiberg,
1767,"Freiesleben, Carl Fr. ",Freiberg,1805 als Vicebergmeister u. Obereinfahrer zu Freiberg ,
1768,"Richter, Chr. Fr. (Hüttenmeister)",Freiberg,als Hüttenmeister zu Freiberg,
1768,"Sieghardt, Christ. Benj. (Hüttenmeister)",n/a,1797 als Oberhüttenmeister zu Freiberg,
1768,"Winkler, Carl Friedrich (Geschworner)",Ehrenfriedersdorf,War Bergmeister in Preussen ,
1768,"Treffurth, Joh. Dietr. (Schichtmeister)",Eibenstock,1812 als Rathskämmerer u. Schichtmeister zu Schneeberg,
1768,"Hempel, Joh. Carl Gottl.",Freiberg,n/a,
1768,"Klotzsch, Andr. Heinr.",Freiberg,1828 als Oberschiedswardein zu Freiberg,
1768,"Auermüller, Carl Fr. Gottlob",Braunsdorf bei Dresden,n/a,
1768,"Blüher, Carl Ludw.",Ehrenfriedersdorf in Sachsen,als Bergmeister in Ehrenfriedersdorf,
1768,"Zschocke, Joh. Gotth.",Freiberg,n/a,
1768,Frey,Freiberg,als Untersteiger v. Himmelsfürst bei Freiberg,
1768,Schneider,Freiberg,n/a,
1768,"Lohse, Johann Gottfr. ",Freiberg,n/a,
1768,Kirchner,Freiberg,n/a,
1768,Borrmann,Freiberg,als Stollnobersteiger zu Freiberg,
1768,"Richter, Joh. Conr.",Freiberg,n/a,
1768,"v. Wesnig, Carl Gottl. Adolph",Hahnefeld,als Gutsbesitzer ,
1768,"Koch, Fr. Chr. Aug.",Sangerhausen in Thür,als Markscheider in Eisleben,
1769,"Fritzsche, Fr. Adolph",Pirna,n/a,
1769,"Renovanz, Hanns Mich.",Dresden,als Inspector der Kaiserl. Bergschule zu Petersburg,
1769,"v. Elterlein, Joh. Fr. ",n/a,War Bergbeamter in Russland,
1769,"Wittig, George Gottlob (Hüttenmeister)",Freiberg,1811 als Oberhüttenmeister zu Freiberg,
1769,"Sieghard, Joh. Aug. ",Freiberg,1841 als Oberschiedswardein zu Freiberg,
1769,"Schubert, Gottl. Fr. ",Chemnitz,1809 als Kämmerer und Bergmechanikus zu Freiberg,
1769,"Eberhardt, Gotth. Sigism.",Freiberg,n/a,
1769,"Kerl, Joh. Wilh. ",Grosskamsdorf in Thüringen,n/a,
1769,Viehweg,Grosskamsdorf in Thüringen,n/a,
1769,"Ehrenberg, Heinr. Aug. Franz",Eisleben,n/a,
1769,"Werner, Abrah. Gottlob",Wehrau bei Görlitz,1817 als Bergrath zu Freiberg,
1769,"Klunger, Traug. Gottl.",Eisleben,War Hüttenschreiber auf d. Kupferhüttez. Grossörneri. Mannsfeldisch,
1769,Baldauf,n/a,1811 als Oberkunstmeister zu Freiberg,
1769,Nielich,Freiberg,als Berggeschworner,
1769,"Klipstein, Phil. Engel",Hessen-Darmstadt,als Kammerdirector zu Giesen,
1769,"Schröter, Fr. Wilh.",Magdeburg,n/a,
1770,"v. Nostitz, Heinr. Mor. Gottl.",Kauren `,1812 als Bergcommissionsrath und Oberzehnten-Controleur zu Annaberg,
1770,"Aurich, Fr. Gottl.",Marienberg,1801 als Bergmeister zu Altenberg,
1770,"Springsfeld, Joh. Chr.",n/a,n/a,
1770,"Hunger, Gottfr. Carl. ",Freiberg,als Calculator bei d. Bergrechnungs-Expedition zu Dresden,
1770,"Lingke, Carl Fr.",Freiberg,1814 als Vicehüttenmeister zu Freiberg,
