"","X","id","source","year","company","capital","office","loc","lon","lat","yinc","locinc","role","simpname","lastname.x","firstname.x","middlename.x","edu","text","lastname.y","firstname.y","middlename.y","prof"
"1",1,"amm1","amm",1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALABAMA",NA,NA,NA,NA
"2",108,"amm108","amm",1907,"Alaska Smelting & Refining Company. Coppermount.",NA,NA,"alaska ",-149.4936733,64.2008413,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska Smelting & Refining Company. Coppermount.",NA,NA,NA,NA
"3",404,"amm404","amm",1907,"Ash Peak Mining Company. Duncan.",NA,NA,"duncan ",-97.9578128,34.5023028,NA,NA,NA,NA,NA,NA,NA,NA,"Ash Peak Mining Company. Duncan.",NA,NA,NA,NA
"4",456,"amm456","amm",1907,"Calumet & Pittsburgh Mining Company.",NA,NA,"calumet ",-88.454006,47.2465922,NA,NA,NA,NA,NA,NA,NA,NA,"Calumet & Pittsburgh Mining Company.",NA,NA,NA,NA
"5",607,"amm607","amm",1907,"Duquesne Mining & Reduction Company. Duquesne.",NA,NA,NA,NA,NA,NA,NA,"Supt","douglas, n g","douglas","n","g",NA,"N. G. Douglas, Supt. Lead, Gold & Silver. Steam. 100 ton Concentrating","douglas","n",NA,"Supt"
"6",1224,"amm1224","amm",1907,"Blue Ledge Mining Company. Hutton.",NA,"Beaver St, New York","new york ",-74.0059728,40.7127753,NA,NA,"Mgr","towne, r s","towne","robert","s",NA,"Office, 82 Beaver St., New York. Robert S. Towne, Gen. Mgr.; Frank H.","towne","robert","s","Mgr"
"7",1569,"amm1569","amm",1907,"Gold Flat Consolidated Quartz Mining Company.",NA,NA,NA,NA,NA,NA,NA,"Mgr","weissbein, j","weissbein","joseph",NA,NA,"Joseph Weissbein, Mgr. Gold. Water. 10 Stamps.","weiss","joseph",NA,"Mgr"
"8",2438,"amm2438","amm",1907,"Black Iron Mining Company. Gilman.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Iron Mining Company. Gilman.",NA,NA,NA,NA
"9",2583,"amm2583","amm",1907,"Columbia Mining & Development Company. Victor.",NA,NA,NA,NA,NA,NA,NA,"Mgr","waldron, c","waldron","charles",NA,NA,"Charles Waldron, Mgr. Lessees Katinka Mine. Cold.","waldo","charles","lc","Mgr"
"10",3201,"amm3201","amm",1907,"Old Town Consolidated Mining Company. Idaho Springs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tricity. 50 men.",NA,NA,NA,NA
"11",3539,"amm3539","amm",1907,"United States Smelting Company. Canon City.",NA,NA,"united states ",-95.712891,37.09024,NA,NA,NA,NA,NA,NA,NA,NA,"United States Smelting Company. Canon City.",NA,NA,NA,NA
"12",4106,"amm4106","amm",1907,"Snow Storm Mining Company.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silver & Gold.",NA,NA,NA,NA
"13",4160,"amm4160","amm",1907,"Tyson Consolidated Gold Mining & Milling Company. Tyson.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tyson Consolidated Gold Mining & Milling Company. Tyson.",NA,NA,NA,NA
"14",4487,"amm4487","amm",1907,"Wolverine Copper Mining Company. Kearsarge.",NA,NA,"new york ",-74.0059728,40.7127753,NA,NA,"Supt",NA,NA,NA,NA,NA,"Office. 15 William St., New York, Fred. Smith, Supt.; Barnett S. Shearer,",NA,NA,NA,NA
"15",4579,"amm4579","amm",1907,"Pittsburg & Lake Angeline Iron Company. Ishpeming.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"750 men.",NA,NA,NA,NA
"16",4597,"amm4597","amm",1907,"Main Office, Pickands, Mather & Co., Cleveland, Ohio. Samuel Mather,",NA,NA,NA,NA,NA,NA,NA,"Pres","mountain, i","mountain","iron",NA,NA,"Pres.; Charles H. Munger, Dqluth, Gen Mgr.; Charles E. Lawrence, Iron","moulsdale","iron",NA,"Pres"
