Column,id,year,text,company,ciarfn
1,1157015,1923,"Di rectorsZ AAA. AIP. ALuAretA, TChSairmaTn;INHon. MSirINT.INK.GMurrCayO, .K..C.ML.GT.D; .J. Munro; F. W. Baxter; J. Macintosh.",AAA AIP ALUAR TCUSR INHUR,NA
2,605434,1913,iifi AABADA TAR UST. LIMITED.,AABADA TAR UST LIMITED,Aabada Trust Limited
3,954009,1919,"AABADA TRUST, LTD",AABADA TRUST LIMITED,Aabada Trust Limited
4,518454,1912,"AABOSICA GOLD . M IN I NG COM PANY, LI M I TED.",AABOSICA GOLD COM PANY TED,Aabosica Gold Mining Company Limited
5,93477,1891,"AARON S REEFS, LIMITED.",AARON REEFS LIMITED,Aaron Reefs Limited
6,545205,1912,AASAAREtsT WNDlCATErn TMTTEDT,AASAARETST WNDTCATETS TMTTEDT,Aasaaretst Wndtcatets Tmttedt
7,244816,1903,"AAWIN SYNDICATE, LIMITED.",AAWIN SYNDICATE LIMITED,Aawin Syndicate Limited
8,341381,1909,"AAWU DWA MTNES SYNDICATE. LIMITED. This company was registered May 11th, 1901 see vol. for 1907 . On July 8th,",AAWU DWA MTNES SYNDICATE LIMITED,Aawu Dwa Mtnes Syndicate Limited
9,244830,1903,"AAWUDWA MINES SYNDICATE, LIMITED.",AAWUDWA MINES SYNDICATE LIMITED,Aawudwa Mines Syndicate Limited
10,244849,1903,ABARA SYNDICATE. LIMITED.,ABARA SYNDICATE LIMITED,Abara Syndicate Limited
11,127860,1893,"ABARIS MINING CORPORATION, LIMITED.",ABARIS MINING CORPORATION LIMITED,Abaris Mining Corporation Limited
12,285034,1908,"ABBASS1 WASSAU GOLD MINESTTlMITED. Directors Qualification, 1 share .",ABBASS WASSAU GOLD MINESTTLMITED,Abbassi Wassau Gold Mines Limited
13,647567,1914,ABBASSI WASSALJ GOLD &MINES. LIMITED.,ABBASSI WASSALJ GOLD MINES LIMITED,Abbassi Wassau Gold Mines Limited
14,341384,1909,"Win chester House, E.C. ABBASSl WASSAUT GOLD-MINES, LIMITED.",ABBASSL WASSAUT GOLD MINES LIMITED,Abbassl Wassaut Gold Mines Limited
15,1074179,1922,"ABBEVDILLE GOLD MINES, LTD.",ABBEVDILLE GOLD MINES LIMITED,Abbevdille Gold Mines Limited
16,1032599,1921,"ABBEVILLE GOLD MINES, LTD.",ABBEVILLE GOLD MINES LIMITED,Abbeville Gold Minesi Limited
17,713218,1915,ABBON I IAKOON MINES,ABBON IAKOON MINES,Abbontiakoon Wassaw Mines Limited
18,1032637,1921,ABBON I ILKOON MINES-,ABBON ILKOON MINES,Abbontiakoon Wassaw Mines Limited
19,831208,1917,"ABBON TIAkoo . M NES, LIMITED,",ABBON TIAKO NES LIMITED,Abbontiakoon Wassaw Mines Limited
20,647602,1914,"ABBONTIAISOQN MINES, LIMITED.",ABBONTIAISOQN MINES LIMITED,Abbontiakoon Wassaw Mines Limited
21,573259,1913,ABBONTIAK OON MINES,ABBONTIAK OON MINES,Abbontiakoon Wassaw Mines Limited
22,903087,1918,"ABBONTIAKEOI: MINES, LTD. V",ABBONTIAKEOI MINES LIMITED,Abbontiakoon Wassaw Mines Limited
23,285050,1908,"ABBONTIAKOON BLOCK, 1, LIMITED",ABBONTIAKOON BLOCK LIMITED,Abbontiakoon Wassaw Mines Limited
24,244894,1903,"ABBONTIAKOON iWASSAW MINES, LIMITED.",ABBONTIAKOON IWASSAW MINES LIMITED,Abbontiakoon Wassaw Mines Limited
25,396803,1910,"ABBONTIAKOON MINES, LIMITED.",ABBONTIAKOON MINES LIMITED,Abbontiakoon Wassaw Mines Limited
26,518487,1912,"ABBONTTAl b ON MINES, LIMITED.",ABBONTTAL MINES LIMITED,Abbontiakoon Wassaw Mines Limited
27,189667,1895,"ABBOTT S GOLD MINE, LIMITED.",ABBOTT GOLD MINE LIMITED,Abbott Gold Mine Limited
28,545210,1912,"liquidator. E. J. Hayman, 18, St. Swithin s Lane, E.C. ABBOTT S Er RY MINES, LTMTfEDTDirectors.",ABBOTT MINES LTMTFEDTDFR,Abbott Mines Ltmtfedtdfr
29,80704,1889,"ABBOTT S REEF GOLD MINING COMPANY,",ABBOTT REEF GOLD MINING COMPANY,Abbott Reef Gold Mining Company
30,1032678,1921,"ABBOTTS EMERY MINES, LTD.",ABBOTTS EMERY MINES LIMITED,Abbotts Emery Mines Limited
31,605452,1913,ABCHURCH SYNDICATE. LIMITED.,ABCHURCH SYNDICATE LIMITED,Abchurch Syndicate Limited
32,421388,1910,"ABDON CLEE STONE QUARRY CO., LTD.",ABDON CLEE STONE QUARRY LIMITED,Abdon Clee Stqne Liarry Limited
33,457897,1911,ABEBCORN GOLD TRUST,ABEBCORN GOLD TRUST,Abebcorn Gold Trust
34,160373,1894,ABEBFOTLE SLATE QXTABBIES,ABEBFOTLE SLATE QXTABBIES,Abebfotle Slate Qxtabbies
35,332105,1909,ABENDSEGEN TIN MINING COMPANY. LTD.,ABENDSEGEN TIN MINING COMPANY LIMITED,Abendsegen Tin Mining Company Limited
36,1032684,1921,ABER-LLYN. LTD.,ABER LLYN LIMITED,Aber Llyn Zinc Mines Limited
37,1032725,1921,ABER PERGWM COLLIERIES CO-. LTD.,ABER PERGWM COLLIERIES LIMITED,Aberpergwm Collieries Limited
38,518543,1912,"ABERCORN DEVELOPMENT COMPANY, LIMITED.",ABERCORN DEVELOPMENT COMPANY LIMITED,Abercorn Development Company Llmttedt
