id,year,text,ciarfn,company,ciarfn2
605434,1913,iifi AABADA TAR UST. LIMITED.,Aabada Trust Limited,AABADA TAR UST LIMITED,Aabada Trust Limited
518454,1912,"AABOSICA GOLD . M IN I NG COM PANY, LI M I TED.",Aabosica Gold Mining Company Limited,AABOSICA GOLD COM PANY TED,Aabosica Gold Mining Company Limited
93477,1891,"AARON S REEFS, LIMITED.",Aaron Reefs Limited,AARON REEFS LIMITED,Aaron Reefs Limited
545205,1912,AASAAREtsT WNDlCATErn TMTTEDT,Aasaaretst Wndtcatets Tmttedt,AASAARETST WNDTCATETS TMTTEDT,Aasaaretst Wndtcatets Tmttedt
244816,1903,"AAWIN SYNDICATE, LIMITED.",Aawin Syndicate Limited,AAWIN SYNDICATE LIMITED,Aawin Syndicate Limited
341381,1909,"AAWU DWA MTNES SYNDICATE. LIMITED. This company was registered May 11th, 1901 see vol. for 1907 . On July 8th,",Aawu Dwa Mtnes Syndicate Limited,AAWU DWA MTNES SYNDICATE LIMITED,Aawu Dwa Mines Syndicate Limited
244830,1903,"AAWUDWA MINES SYNDICATE, LIMITED.",Aawudwa Mines Syndicate Limited,AAWUDWA MINES SYNDICATE LIMITED,Aawu Dwa Mines Syndicate Limited
244849,1903,ABARA SYNDICATE. LIMITED.,Abara Syndicate Limited,ABARA SYNDICATE LIMITED,Abara Syndicate Limited
127860,1893,"ABARIS MINING CORPORATION, LIMITED.",Abaris Mining Corporation Limited,ABARIS MINING CORPORATION LIMITED,Abaris Mining Corporation Limited
285034,1908,"ABBASS1 WASSAU GOLD MINESTTlMITED. Directors Qualification, 1 share .",Abbassi Wassau Gold Mines Limited,ABBASS WASSAU GOLD MINESTTLMITED,Abbassi Wassau Gold Mines Limited
341384,1909,"Win chester House, E.C. ABBASSl WASSAUT GOLD-MINES, LIMITED.",Abbassl Wassaut Gold Mines Limited,ABBASSL WASSAUT GOLD MINES LIMITED,Abbassi Wassau Gold Mines Limited
1074179,1922,"ABBEVDILLE GOLD MINES, LTD.",Abbevdille Gold Mines Limited,ABBEVDILLE GOLD MINES LIMITED,Abbeville Gold Mines Limited
1032599,1921,"ABBEVILLE GOLD MINES, LTD.",Abbeville Gold Minesi Limited,ABBEVILLE GOLD MINES LIMITED,Abbeville Gold Mines Limited
713218,1915,ABBON I IAKOON MINES,Abbontiakoon Wassaw Mines Limited,ABBON IAKOON MINES,Abbontiakoon Wassau Mines Limited
189667,1895,"ABBOTT S GOLD MINE, LIMITED.",Abbott Gold Mine Limited,ABBOTT GOLD MINE LIMITED,Abbott Gold Mine Limited
545210,1912,"liquidator. E. J. Hayman, 18, St. Swithin s Lane, E.C. ABBOTT S Er RY MINES, LTMTfEDTDirectors.",Abbott Mines Ltmtfedtdfr,ABBOTT MINES LTMTFEDTDFR,Abbott Mines Ltmtfedtdfr
80704,1889,"ABBOTT S REEF GOLD MINING COMPANY,",Abbott Reef Gold Mining Company,ABBOTT REEF GOLD MINING COMPANY,Abbott Reef Gold Mining Company
1032678,1921,"ABBOTTS EMERY MINES, LTD.",Abbotts Emery Mines Limited,ABBOTTS EMERY MINES LIMITED,Abbotts Emery Mines Limited
605452,1913,ABCHURCH SYNDICATE. LIMITED.,Abchurch Syndicate Limited,ABCHURCH SYNDICATE LIMITED,Abchurch Syndicate Limited
421388,1910,"ABDON CLEE STONE QUARRY CO., LTD.",Abdon Clee Stqne Liarry Limited,ABDON CLEE STONE QUARRY LIMITED,Abdon Clee Stqne Liarry Limited
457897,1911,ABEBCORN GOLD TRUST,Abebcorn Gold Trust,ABEBCORN GOLD TRUST,Abebcorn Gold Trust
160373,1894,ABEBFOTLE SLATE QXTABBIES,Abebfotle Slate Qxtabbies,ABEBFOTLE SLATE QXTABBIES,Abebfotle Slate Qxtabbies
332105,1909,ABENDSEGEN TIN MINING COMPANY. LTD.,Abendsegen Tin Mining Company Limited,ABENDSEGEN TIN MINING COMPANY LIMITED,Abendsegen Tin Mining Company Limited
1032684,1921,ABER-LLYN. LTD.,Aber Llyn Zinc Mines Limited,ABER LLYN LIMITED,Aber Llyn Zinc Mines Limited
518543,1912,"ABERCORN DEVELOPMENT COMPANY, LIMITED.",Abercorn Development Company Llmttedt,ABERCORN DEVELOPMENT COMPANY LIMITED,Abercorn Development Company Llmttedt
457890,1911,"ABERCORN EXTENSION SYN D IC ATE, LI M ITEDT Managers Consolidated Goldfields of South Africa, Ltd., 8, Old Jewry, B.C.",Abercorn Extension Syndicate Limited,ABERCORN EXTENSION SYN ATE ITEDT,Abercorn Extension Syndicate Limited
518550,1912,"ABERCORN GOLD TRUST, LIMITED.",Abercorn Gold Trust Limited,ABERCORN GOLD TRUST LIMITED,Abercorn Gold Trust Limited
211394,1895,"ABERCORN REEFS, LIMITED.",Abercorn Reefs Limited,ABERCORN REEFS LIMITED,Abercorn Reefs Limited
396841,1910,"£20,000. in 20,000 shares of £J eaoh. ABERCORN SYNDICATE, LIMITED. Managers Consolidated Uoiddelds of South Africa. Ltd., 8, Old Jewry, E C. Secretary and Offices W. P. Andrewcs, 8, Old Jewry, B.C.",Abercorn Syndicate Limited,ABERCORN SYNDICATE LIMITED,Abercorn Syndicate Limited
903158,1918,"ABERCROMBIE COPPER MINES, LTD. -",Abercrombie Copper Mines Limited,ABERCROMBIE COPPER MINES LIMITED,Abercrombie Copper Mines Limited
545221,1912,"ABERCWMEIDDAW J3LATE QUARRY CO., LTD. W. Jones. Directors Qualification, £50 . Secretary D. Owen. | J. N. Roberts. I M. Thomas. This company was | Offices Aberewmeiddaw Slate Quarry, Corns, Merioneth. J. registered November J st, 1911, to adopt an agreement with Kev. Harris, the Ecclesiastical Commissioners and Elinor A. Vanghan to deal with slate quarries in Wales.",Abercwmeiddaw Jblate Quarry Limited Aberfoyle,ABERCWMEIDDAW JBLATE QUARRY LIMITED ABERFOYLE,Aberfoyle Slate Quarry Limited 
250938,1903,"ABERDARE GRAIG COAL COMPANY, LIMITED.",Aberdare Graig Coal Company Limited,ABERDARE GRAIG COAL COMPANY LIMITED,Aberdare Graig Coal Company Limited
