"","id","role","name","year","text","loc","lon","lat","company"
"1",1000856,"engineers","burrs ablett",1920,"CONSOLIDATED WELSH MINES LTD. Directors Qualification, 250 shares . A. E. Carey. Major E. C. P. Morison. Consulting Electrical Engineers Burrs and Ablett. Secretary and Oflices N. Cooke, Old Post Ofiice Chambers, Terrace Road,","chambers terrace road",-85.14012,41.09824,"Consolidated Welsh Mines Limited"
"2",555597,"engineers","oimrne achappel",1912,"J. Anderson. | J. Sellar. Mining Engineers O.-Imrne AChappel.","glasgow",-4.251806,55.864237,"Heawood Tin And Rubber Estate"
"3",287262,"managers","in south arica adolph",1908,"Managers in South Africa Adolph Mosenthal & Co., Market Square, Port Elizabeth. Solicitors Hollama, Sons, Coward & Hawksley. 1 Auditors Welton, Jones & Co. London Bankers Union of London and Smiths Bank, Limited. Secretary and Offices T. Donald, Portland House, Basinghall Street, E.C.","london",-0.1277583,51.50735,"Bechuanaland Trading Association Limited"
"4",398640,"managers","in south arica adolph",1910,"Lord Gifford, V.C. | C. A. Garland. | fnomas J. Seel. Managers in South Africa Adolph Moaenthal & Co., Market Square, Port Elizabeth.","market square hanley",-2.198429,53.04558,"Bechuanaland Trading Association Limited"
"5",520795,"managers","in south arica adolph",1912,"Managers in South Africa Adolph Mosenthal & Co. , Market Square, Port Elizabeth. Solicitors Coward A Hawksley, Sons A Chance. | Auditors Welton, Jones A Co. London Bankers Union of London and Smiths Bank, Limited. Secretary and Offices T. Donald, Portland House. Basinghall Street, E.C.","london",-0.1277583,51.5073509,"Bechuanaland Exploration Colvlpany Limited"
"6",576240,"managers","in south arica adolph",1913,"Managers in South Africa Adolph Mosenthal","london",-0.1277583,51.5073509,"Bechuanaland Exploration Colvlpany Limited"
"7",717421,"managers","in south arica adolph",1915,"Managers in South Africa Adolph Mosenthal 8: 00., Market 8 uare, Port Elizabeth.","london",-0.1277583,51.5073509,"Bechuanaland Trading Association Limited"
"8",1076063,"managers","ahd advising",1922,"Managers ahd Advising Engineers John Taylor & Sons, 5 &6, Queen St Place, E.C. 4. Secretary and Ofllces W. F Garland, 5 8c 6, Queen Street Place. FLO. 4.","london",-0.1277583,51.50735,"Anglo French Ural Syndicate Limited"
"9",1125825,"managers","and technical advlssgrs ie",1923,"Di,rectors-O. CORDEROY SYND-. LTD. H. Hills; Ma . R. 0. N. Robinson, M.O.; L. T. Stephens. Managers and Technical Advlssgrs IE.","bourne",-70.59893,41.74128,"Corderoy Syndicate Limited"
"10",284972,"managers","max francke william adye",1908,"Paris Offices 36, Rue Lalfltte. Paris Sub-Managers F. Seelig and M. Tourret. Telegrams : Goeneco, Paris. Johannesburg Managers Max Francke and William Adye. Johannesburg Secretary and Offices John L. Euhlmann, 4, Fraser St., Box 1166.","paris",2.352222,48.85661,"Goerz And Company Limited"
