"id","company"
"mmm52","compania del boleo"
"mmm54","compania del boleo"
"mmm55","compania del boleo"
"mmm56","compania del boleo"
"mmm62","compania del boleo"
"mmm63","compania del boleo"
"mmm64","compania del boleo"
"mmm65","compania del boleo"
"mmm128","cia minera de plomozinc s a "
"mmm129","cia minera de plomozinc s a "
"mmm130","cia minera de plomozinc s a "
"mmm131","cia minera de plomozinc s a "
"mmm283","the concheno mining company"
"mmm283","the concheno mining company"
"mmm283","the concheno mining company"
"mmm283","the concheno mining company"
"mmm284","the concheno mining company"
"mmm289","the concheno mining company"
"mmm321","compania exploradora y explotadora de minas s a "
"mmm323","compania exploradora y explotadora de minas s a "
"mmm324","compania exploradora y explotadora de minas s a "
"mmm325","compania exploradora y explotadora de minas s a "
"mmm331","compania exploradora y explotadora de minas s a "
"mmm332","compania exploradora y explotadora de minas s a "
"mmm334","compania minera de minerales s a "
"mmm335","compania minera de minerales s a "
"mmm336","compania minera de minerales s a "
"mmm337","compania minera de minerales s a "
"mmm341","cia metalurgica mexicana san pedro mines"
"mmm356","cia minera el barreno y anexas s a "
"mmm357","cia minera el barreno y anexas s a "
"mmm358","cia minera el barreno y anexas s a "
"mmm489","compania minera y beneficiadora mexicana s a "
"mmm490","compania minera y beneficiadora mexicana s a "
"mmm491","compania minera y beneficiadora mexicana s a "
"mmm492","compania minera y beneficiadora mexicana s a "
"mmm493","compania minera y beneficiadora mexicana s a "
"mmm494","compania minera y beneficiadora mexicana s a "
"mmm497","compania minera y beneficiadora mexicana s a "
"mmm657","guanajuato reduction mines company"
"mmm657","nueva luz mining company"
"mmm907","cinco mines company"
"mmm908","cinco mines company"
"mmm910","cinco mines company"
"mmm911","cinco mines company"
"mmm913","cinco mines company"
"mmm914","cinco mines company"
"mmm1029","compania esperanza s a "
"mmm1031","compania esperanza s a "
"mmm1032","compania esperanza s a "
"mmm1034","compania esperanza s a "
"mmm1035","compania esperanza s a "
"mmm1037","compania esperanza s a "
"mmm1038","compania esperanza s a "
"mmm1039","compania esperanza s a "
"mmm1043","compania esperanza s a "
"mmm1044","compania esperanza s a "
"mmm1047","compania esperanza s a "
"mmm1048","compania esperanza s a "
"mmm1399","cia minera la soledad s a "
"mmm1400","cia minera la soledad s a "
"mmm1401","cia minera la soledad s a "
"mmm1448","nueva compania de san vicente"
"mmm1449","nueva compania de san vicente"
"mmm1451","nueva compania de san vicente"
"mmm1453","nueva compania de san vicente"
"mmm1747","shannon copper company"
"mmm1748","shannon copper company"
"mmm1957","companía carbonifera de sabinas s a "
"mmm1959","companía carbonifera de sabinas s a "
"mmm1960","companía carbonifera de sabinas s a "
"mmm1961","companía carbonifera de sabinas s a "
"mmm1965","companía carbonifera de sabinas s a "
"mmm1977","velardena"
"mmm1979","velardena"
"mmm1980","velardena"
"mmm1980","velardena"
"mmm1980","velardena"
"mmm1980","velardena"
"mmm1985","velardena"
"mmm1987","velardena"
"mmm1994","velardena"
"mmm1996","velardena"
"mmm2146","monterey smelting refining company"
"mmm2148","monterey smelting refining company"
"amm100000","palmarejo mexican gold fields ltd"
"amm100002","palmarejo mexican gold fields ltd"
"amm100003","palmarejo mexican gold fields ltd"
"amm100004","palmarejo mexican gold fields ltd"
"amm100005","palmarejo mexican gold fields ltd"
"amm100078","cia minera de san patricio s a "
"amm100080","cia minera de san patricio s a "
"amm100081","cia minera de san patricio s a "
"amm100082","cia minera de san patricio s a "
"amm100083","cia minera de san patricio s a "
"amm100175","coahuila coal company"
"amm100230","a vino mines ltd"
"amm100232","a vino mines ltd"
"amm100306","sonora mining company"
"amm100324","augustias dolores mining company"
"amm100345","esperanza mining company"
"amm100350","esperanza mining company"
"amm100443","hidalgo copper mining smelting company"
"amm100444","hidalgo copper mining smelting company"
"amm100445","hidalgo copper mining smelting company"
"amm100450","hidalgo copper mining smelting company"
"amm100458","maravillas san francisco mining milling company"
"amm100632","mexico mines company"
"amm100634","mexico mines company"
"amm100639","mexico mines of el oro ltd"
"amm100640","mexico mines of el oro ltd"
"amm100641","mexico mines of el oro ltd"
"amm100642","mexico mines of el oro ltd"
"amm100653","el oro mining railway company"
"amm100655","el oro mining railway company"
"amm100656","el oro mining railway company"
"amm100657","el oro mining railway company"
"amm100660","el oro mining railway company"
"amm100681","mexico mines of el oro ltd"
"amm100682","mexico mines of el oro ltd"
"amm100683","mexico mines of el oro ltd"
"amm100791","monterey iron steel company"
"amm100793","monterey iron steel company"
"amm100800","monterey iron steel company"
"amm100970","cinco de mayo mine pilares de teras lgp"
"amm10099","argus mining company"
"amm10100","argus mining company"
"amm101145","dos estrellas mining company"
"amm101147","dos estrellas mining company"
"amm10195","concord mining company"
"amm10246","reforma mining milling company"
"amm10286","american boy mine patagonia "
"amm1031","stevens copper mining company"
"amm10315","bear creek mining company"
"amm10317","bonanza gold mines ltd"
"amm1032","stevens copper mining company"
"amm10386","tin era mines ltd"
"amm1039","superior boston copper company"
"amm10394","dante gold mining company"
"amm10397","dante gold mining company"
"amm1040","superior boston copper company"
"amm10472","kamloops mines british columbia ltd"
"amm10560","northern mines company"
"amm10577","burns mining company"
"amm1060","trenton mining development company"
"amm1061","trenton mining development company"
"amm1062","trenton mining development company"
"amm10665","dou aria mines company"
"amm10688","wheal peevor mining company"
"amm1069","twin buttes mining sm elting company"
"amm1070","twin buttes mining sm elting company"
"amm1071","twin buttes mining sm elting company"
"amm1072","twin buttes mining sm elting company"
"amm10729","gaika gold mining company"
"amm10730","gaika gold mining company"
"amm10743","moser river syndicate ltd"
"amm10818","colonial silver mines cobalt fgp"
"amm10823","copper mining smelting ontario ltd"
"amm10824","copper mining smelting ontario ltd"
"amm10841","gruss mining company"
"amm10855","lawyers mining company"
"amm10873","medina gold mines ltd"
"amm1091","arizona vermont copper company"
"amm10961","temagam mining company"
"amm10975","iron mines"
"amm10997","black lake asbestos chrome company"
"amm11026","abercrom bie copper mines ltd"
"amm11091","pikes peak cons fuel company"
"amm11093","pocahontas coal coke company"
"amm11106","coal mines colorado "
"amm11110","coal mines colorado "
"amm11149","cokedale coal company"
"amm11150","cokedale coal company"
"amm11154","montana clinton mining company"
"amm11169","tarryall creek gold company"
"amm11172","american flag mining company"
"amm11199","st louis rocky mountain g pacific company"
"amm11200","st louis rocky mountain g pacific company"
"amm11315","saddle hill coal company"
"amm11375","wellington colliery stopes ltd"
"amm11384","imperial coal coke company"
"amm11413","inverness railway and coal ltd"
"amm11418","maritime coal railway power company"
"amm11469","british guiana gold mines ltd"
"amm11470","british guiana gold mines ltd"
"amm11573","lewis river dredging mining company"
"amm116","alaska treasure consolidated mines company"
"amm11605","princeton mining g milling company"
"amm11606","princeton mining g milling company"
"amm11646","victoria copper mining company"
"amm11683","antelope gold mine rhodesia ltd"
"amm11695","arizona cananea mines company"
"amm117","alaska treasure consolidated mines company"
"amm11703","arizona commercial mining company"
"amm11704","arizona commercial mining company"
"amm11705","arizona commercial mining company"
"amm11721","arizona copper company"
"amm11747","clifton morenci copper company"
"amm11749","arizona nevada consolidated goldfield mining company"
"amm11750","arizona nevada consolidated goldfield mining company"
"amm11751","arizona prospecting and developing gold"
"amm11757","arizona united mining company"
"amm11758","arizona united mining company"
"amm11760","arizona united mining company"
"amm11764","cleveland arizona mining company"
"amm11766","arizona michigan mining company"
"amm11778","august mining company"
"amm11786","barn ey copper company"
"amm11836","bowyer gold a copper company"
"amm11903","cerro colorado mine company"
"amm11904","cerro colorado mine company"
"amm11935","copiapo mining company"
"amm11965","commonwealth mining company"
"amm11969","congress consolidated mines company"
"amm11970","congress consolidated mines company"
"amm11986","consolidation coal company"
"amm12010","copper reef consolidated mines company"
"amm12022","carney copper company"
"amm12080","dan creek mining company"
"amm12102","evenoes miningsyndicate ltd"
"amm12119","flora gold mining company"
"amm12120","flora gold mining company"
"amm12129","frontier mining company"
"amm12130","frontier mining company"
"amm12137","ray central copper mining company"
"amm12157","gold belt develonment fc reduction company"
"amm12159","gold peak mining company"
"amm12160","gold peak mining company"
"amm12161","gold crown mining reduction company"
"amm12168","gold coin mining company"
"amm1217","birdseye creek gold mining ltd"
"amm12219","hercules mining company"
"amm12220","hercules mining company"
"amm12224","hercules mining company"
"amm1226","belorophan mining company"
"amm1227","belorophan mining company"
"amm12326","lakes mines company"
"amm12356","mudsill mining company"
"amm1238","brooklyn mining company"
"amm12382","maria consolidated mining company"
"amm1239","brooklyn mining company"
"amm12397","arizona michigan mining company"
"amm1240","brooklyn mining company"
"amm12404","midnight mine chloride "
"amm12408","midnight test mine groom creek lc"
"amm12416","minnesota arizona gold mining company"
"amm12422","mint gold mining company"
"amm12423","mint gold mining company"
"amm12472","new england gold copper mining company"
"amm12491","newbrough mining company"
"amm12500","wah chang mining smelting company"
"amm12535","baker mines company"
"amm12537","paymaster mining smelting company"
"amm12538","paymaster mining smelting company"
"amm1267","calaveras gold dredging company"
"amm12679","stafford gold company"
"amm1268","calaveras gold dredging company"
"amm12680","stafford gold company"
"amm12687","stevens copper mining company"
"amm12711","superstition mining company"
"amm12727","telluride mining milling dev company"
"amm12728","telluride mining milling dev company"
"amm12745","tombstone consolidated mines company"
"amm12752","towne mine chloride "
"amm12758","tube city mining company"
"amm12760","tube city mining company"
"amm12765","twin buttes mining sm elting company"
"amm12775","united globe mines globe ahd"
"amm12781","united gold s silver mining company"
"amm12813","arizona vermont copper company"
"amm12815","victor a belle crown mining company"
"amm1284","cumbrian mining company"
"amm12843","worlds fair mine patagonia "
"amm1285","cumbrian mining company"
"amm12852","emma copper company"
"amm12879","amador gold mine ltd"
"amm12880","amador gold mine ltd"
"amm12894","ancho mine graniteville lgp"
"amm12916","orient gold mines ltd"
"amm12984","ben franklin gold mining company"
"amm13012","black bear consolidated mining company"
"amm13035","blue canon mining development company"
"amm13049","blue bell mining company"
"amm13050","blue bell mining company"
"amm13051","bella vista mining company"
"amm13077","brooklyn mining company"
"amm13080","brooklyn mining company"
"amm13111","bunker hill consolidated mining company"
"amm13112","bunker hill consolidated mining company"
"amm13172","california mountain mining company"
"amm13173","california mountain mining company"
"amm13241","central mother lode quartz mining company"
"amm13252","cherokee gravel gold mining company"
"amm13272","climax mine cacoctin yavapai company"
"amm13279","cloverfield mines ltd"
"amm13280","cloverfield mines ltd"
"amm13345","del monte mining milling company"
"amm13354","depot hill mine camptonville lc"
"amm13383","eagle shamut mining company"
"amm13384","eagle shamut mining company"
"amm13388","west africa development syndicate ltd"
"amm13404","eldorado placer counties gold mining power company"
"amm13425","amparo mining company"
"amm13442","escondido mining company"
"amm13446","ousby mining company"
"amm13456","exchequer mining company"
"amm13488","fearless mining company"
"amm13490","fearless mining company"
"amm13527","genesee valley copper company"
"amm13538","globe mines dedrick california "
"amm13569","gold mountain hydraulic dredging company"
"amm13570","gold mountain hydraulic dredging company"
"amm1360","confidence gold mines corporation confidence mgp"
"amm1361","confidence gold mines corporation confidence mgp"
"amm1362","confidence gold mines corporation confidence mgp"
"amm13622","golden rule mines ltd"
"amm13626","golden state mlnes ltd"
"amm13628","golden west mining company"
"amm13637","garbutt mining company"
"amm13638","garbutt mining company"
"amm13652","criterion gold mining company"
"amm13653","criterion gold mining company"
"amm13669","queen mining company"
"amm13670","queen mining company"
"amm13679","kennedy company"
"amm1368","copper queen gold mining company"
"amm13680","kennedy company"
"amm13685","hay seed mining company"
"amm1369","copper queen gold mining company"
"amm13690","helen mine middletown fgp"
"amm13699","hidden treasure gold mining company"
"amm13700","hidden treasure gold mining company"
"amm13716","horseshoe bar mine galice lc"
"amm13725","idaho maryland mines company"
"amm13726","idaho maryland mines company"
"amm13733","indian girl mine hornbrook i"
"amm13778","j uiia mining company"
"amm13800","concho mining company"
"amm13815","gold key mining company"
"amm13826","la cruz mining company"
