id,org,company
myb13780,Mines Company,Grove Engine Colliery Limited
myb13782,Mines Company,Gwaun Cae Gurwen Colliery Limited
myb13784,Mines Company,Armony Proprietary Limited
myb13842,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13843,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13844,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13845,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13846,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13847,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13848,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13849,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13850,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13851,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13852,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13853,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13854,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13855,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13856,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13857,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13858,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13859,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13860,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13861,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13862,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13863,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13864,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13865,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13866,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13867,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13868,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13869,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13870,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
myb13871,Mining Company,Mines Fonderies Zinc Plomb Nouvelle
