org,org2,freq
NA,NA,78851
mit,mit,48921
bergakademie freiberg,bergakademie freiberg,7002
cu,cu,4574
royal school of mine,royal school of mine,1392
wvu,wvu,1279
stanford university,stanford university,935
coal mines,coal mines,883
eni,eni,519
michcoll,michcoll,467
montana school of mines,montana school of mines,391
american smelting refining co,american smelting refining co,352
pennstate,pennstate,320
austria,NA,214
anaconda copper mining company,anaconda copper mining company,167
uariz,uariz,153
mass institute of technology,mit,114
broken hill proprietary limited zion corporation,broken hill proprietary limited,94
columbia school of mines,columbia school of mines,91
new jersey zinc company,new jersey zinc company,88
randfontein estates gold mining company,randfontein estates gold mining company,87
johan nesburg consolidated investment company,johannesburg consolidated investment company,86
colorado fuel iron company,colorado fuel iron company,86
american metal company,american metal company,85
general mining metallurgical syndicate limited,general mining metallurgical syndicate limited,83
beers consoli dated mines limited,beers consolidated mines limited,80
roodepoort deep level gold mining company,roodepoort deep level gold mining company,79
transvaal gold mining estates limited,transvaal gold mining estates limited,77
consolidated investment and mining corporation limited,consolidated investment and mining corporation limited,76
mazapil copper company,mazapil copper company,75
empire zinc co,empire zinc co,75
kyshtim corporation limited,kyshtim corporation limited,73
potchefstroom exploration and estate company,potchefstroom exploration and estate company,72
exploration company,exploration company,70
pickands mather company,pickands mather company,67
cambria steel company,cambria steel company,66
cape copper company,cape copper company,66
american smelters securities company,american smelters securities company,65
mountain ledge gold mining company,mountain ledge gold mining company,65
u s geological survey,us geological survey,65
village main reef gold mining company,village main reef gold mining company,64
meyer and charlton diving limited,meyer and charlton diving limited,64
utah consolidated mining company,utah consolidated mining company,64
asarco,asarco,64
esperanza copper sul phur company,esperanza copper sul phur company,63
modderfontein gold mining company,modderfontein gold mining company,63
geldenhuis estate and gold mining company,geldenhuis estate and gold mining company,62
consolidated mining smelting company,consolidated mining smelting company,62
broken hill proprietary com pan limited,broken hill proprietary limited,62
nigel gold mining company,nigel gold mining company,62
calumet hecla mining company,calumet hecla mining company,60
wolhuter gold mining company,wolhuter gold mining company,60
oliver iron mining company,oliver iron mining company,60
robinson gold mining company,robinson gold mining company,59
anglo frenchtranlsvaanadl company,anglo french transvaal company,58
arizona copper company,arizona copper company,58
rhodesia matabeleland development company,rhodesia matabeleland development company,57
zambesia mining development limited,zambesia mining development limited,57
alaska mexican gold mining company,alaska mexican gold mining company,57
johannesburg forest and limited,johannesburg forest and limited,57
ferreira gold wmlnjng company,ferreira gold mining company,57
durban roodepoqr gold mining limited,durban roodeport gold mining limited,56
rand mines power supply company,rand mines power supply company,56
rhymney iron qom any limited,rhymney iron qom any limited,56
bethlehem steel company,bethlehem steel company,55
new jagersfontein mining and exploration company,new jagersfontein mining and exploration company,54
east and west african exploration limited,east and west african exploration limited,54
new modderfontein gold mining limited,new modderfontein gold mining limited,54
a s r co,asarco,54
taquah mining and explorxtion company,taquah mining and exploration company,53
balaghat mysore gold mining company,balaghat mysore gold mining company,53
city dee limited,city dee limited,53
lake view investment rust limited,lake view investment trust limited,52
glencoe natavl collieries limited,united national collieries limited,52
wemyss collieries trustee limited,wemyss collieries trustee limited,52
