"id","type","source","year","lastname","firstname","middlename","simpname","edu","org","loc","lon","lat","country","text","position","lname","nationality","company","freq","prof"
"aime420","professional","taime",1873,"adams","john",NA,"adams, j","mining eng","Cu","silver city idaho",-116.73318,43.016826,"united states of america",NA,"student","adams",NA,NA,4574,"student"
"aime1144","professional","taime",1873,"alexander","john","day","alexander, j d","aeronautical eng",NA,"philadelphia pa",-75.165222,39.952584,"united states of america",NA,NA,"alexander",NA,NA,78851,NA
"aime3370","professional","taime",1873,"ashburner","w",NA,"ashburner, w",NA,NA,"san francisco cal",-122.419416,37.77493,"united states of america",NA,NA,"ashburner",NA,NA,78851,NA
"aime3472","professional","taime",1873,"asmus","g",NA,"asmus, g",NA,NA,"new york city",-74.005973,40.712775,NA,NA,NA,"asmus",NA,NA,78851,NA
"aime4087","professional","taime",1873,"ayres","william",NA,"ayres, w","mining eng",NA,"easton pa",-75.220732,40.688432,"united states of america",NA,NA,"ayres",NA,NA,78851,NA
"aime4616","professional","taime",1873,"baker","albert",NA,"baker, a",NA,NA,"easton pa",-75.220732,40.688432,"united states of america",NA,NA,"baker",NA,NA,78851,NA
"aime5564","professional","taime",1873,"barker","frank","cowlin","barker, f c","mechanical eng",NA,"university of pennsylvania philadelphia",-75.193214,39.952219,"united states of america",NA,NA,"barker",NA,NA,78851,NA
"aime7135","professional","taime",1873,"beaulieu","h",NA,"beaulieu, h",NA,NA,"brussels belgium",4.351721,50.850346,"belgium",NA,NA,"beaulieu",NA,NA,78851,NA
"aime7154","professional","taime",1873,"beaumont","m",NA,"beaumont, m",NA,NA,"victoria st london",-0.136979,51.497297,"united kingdom",NA,NA,"beaumont",NA,NA,78851,NA
"aime7185","professional","taime",1873,"beck","alfred",NA,"beck, a",NA,NA,"mons belgium",3.956659,50.454241,"belgium",NA,NA,"beck",NA,NA,78851,NA
"aime8021","professional","taime",1873,"benjamin","s",NA,"benjamin, s",NA,NA,"yokohama japan",139.637964,35.443674,"japan",NA,NA,"benjamin",NA,NA,78851,NA
"aime8064","professional","taime",1873,"bennett","david","ellwyn","bennett, d e","chemistry",NA,"jenkintown pa",-75.125174,40.095944,"united states of america",NA,NA,"bennett",NA,NA,78851,NA
"aime8117","professional","taime",1873,"benper","r",NA,"benper, r",NA,"Boston Sugar Refinery","east boston mass",-71.03886,42.370214,"united states of america",NA,NA,"benper",NA,NA,4,NA
"aime9766","professional","taime",1873,"blair","thomas","wray","blair, t w","physics",NA,"pittsburgh pa",-79.995886,40.440625,"united states of america",NA,NA,"blair",NA,NA,78851,NA
"aime9882","professional","taime",1873,"blake","walter","francis","blake, w f","physiology",NA,"new haven conn",-72.927884,41.308274,"united states of america",NA,NA,"blake",NA,NA,78851,NA
"aime9955","professional","taime",1873,"blandy","john",NA,"blandy, j","mining eng",NA,"philad a pa",-75.165222,39.952584,"united states of america",NA,NA,"blandy",NA,NA,78851,NA
