"","text","text2","degree","year","lastname","firstname","middlename","id","simpname","type","source","loc","lon","lat","country","org","edu","position"
"1","James Thom Beard.","Thom ","engineers of mines.","1877","Beard","James","Thom ","1","beard, j t","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"2","Charles Ramsey Buckley, A. B.","Ramsey ","engineers of mines.","1877","Buckley","Charles","Ramsey ","2","buckley, c r","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"3","Linus Bertram Cady.","Bertram ","engineers of mines.","1877","Cady","Linus","Bertram ","3","cady, l b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"4","Augustus Cass Canfield.","Cass ","engineers of mines.","1877","Canfield","Augustus","Cass ","4","canfield, a c","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"5","Henry Gilbert Clark.","Gilbert ","engineers of mines.","1877","Clark","Henry","Gilbert ","5","clark, h g","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"6","Charles Edwards Colby.","Edwards ","engineers of mines.","1877","Colby","Charles","Edwards ","6","colby, c e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"7","Charles Louis Constant.","Louis ","engineers of mines.","1877","Constant","Charles","Louis ","7","constant, c l","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"8","George Birdsall Cornell.","Birdsall ","engineers of mines.","1877","Cornell","George","Birdsall ","8","cornell, g b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"9","Frederick William Floyd.","William ","engineers of mines.","1877","Floyd","Frederick","William ","9","floyd, f w","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"10","Walter Edwards Hildreth.","Edwards ","engineers of mines.","1877","Hildreth","Walter","Edwards ","10","hildreth, w e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"11","Axel Olaf Ihlseng, B. S.","Olaf ","engineers of mines.","1877","Ihlseng","Axel","Olaf ","11","ihlseng, a o","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"12","William Kelly, A. B.","","engineers of mines.","1877","Kelly","William","","12","kelly, w","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"13","Luiz de Souza Barros.","Souza ","engineers of mines.","1877","Barros","Luizde","Souza ","13","barros, l s","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"14","James Thom Beard.","Thom ","engineers of mines.","1877","Beard","James","Thom ","14","beard, j t","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"15","Edward Behr.","","engineers of mines.","1877","Behr","Edward","","15","behr, e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"16","Linus Bertram Cady.","Bertram ","engineers of mines.","1877","Cady","Linus","Bertram ","16","cady, l b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"17","John Britton Cauldwell.","Britton ","engineers of mines.","1877","Cauldwell","John","Britton ","17","cauldwell, j b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"18","Henry Gilbert Clark.","Gilbert ","engineers of mines.","1877","Clark","Henry","Gilbert ","18","clark, h g","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"19","Charles Edwards Colby.","Edwards ","engineers of mines.","1877","Colby","Charles","Edwards ","19","colby, c e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"20","Charles Louis Constant.","Louis ","engineers of mines.","1877","Constant","Charles","Louis ","20","constant, c l","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"21","George Birdsall Cornell.","Birdsall ","engineers of mines.","1877","Cornell","George","Birdsall ","21","cornell, g b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"22","Frederick William Floyd.","William ","engineers of mines.","1877","Floyd","Frederick","William ","22","floyd, f w","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"23","Frank Stuart Helleberg.","Stuart ","engineers of mines.","1877","Helleberg","Frank","Stuart ","23","helleberg, f s","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"24","Walter Edwards Hildreth.","Edwards ","engineers of mines.","1877","Hildreth","Walter","Edwards ","24","hildreth, w e","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"25","James Buckton Mackintosh.","Buckton ","engineers of mines.","1877","Mackintosh","James","Buckton ","25","mackintosh, j b","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"26","John Glenvil Murphy.","Glenvil ","engineers of mines.","1877","Murphy","John","Glenvil ","26","murphy, j g","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"27","Ralph Nichols.","","engineers of mines.","1877","Nichols","Ralph","","27","nichols, r","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"28","Dudley Hiram Norris.","Hiram ","engineers of mines.","1877","Norris","Dudley","Hiram ","28","norris, d h","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"29","James Robert Priest.","Robert ","engineers of mines.","1877","Priest","James","Robert ","29","priest, j r","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"30","William Henshaw Radford.","Henshaw ","engineers of mines.","1877","Radford","William","Henshaw ","30","radford, w h","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"31","Sylvanus Albert Reed, A. B.","Albert ","engineers of mines.","1877","Reed","Sylvanus","Albert ","31","reed, s a","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"32","Charles Louis Rogers.","Louis ","engineers of mines.","1877","Rogers","Charles","Louis ","32","rogers, c l","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"33","Roland Mulville Smythe.","Mulville ","engineers of mines.","1877","Smythe","Roland","Mulville ","33","smythe, r m","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"34","Arthur Thacher.","","engineers of mines.","1877","Thacher","Arthur","","34","thacher, a","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"35","James Fitz Randolph.","Fitz ","engineers of mines.","1877","Randolph","James","Fitz ","35","randolph, j f","alumni","columbia",NA,NA,NA,NA,NA,"engineers of mines.",NA
"36","Axel Olaf Ihlseng, B. S. José N abor Pacheco Jordao.","Olaf ","civil engineers.","1877","Ihlseng","Axel","Olaf ","36","ihlseng, a o","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"37","Axel Olaf Ihlseng, B. S. José N abor Pacheco Jordao.","Pacheco ","civil engineers.","1877","Jordao","Joséabor","Pacheco ","37","jordao, j p","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"38","James Buckton Mackintosh.","Buckton ","civil engineers.","1877","Mackintosh","James","Buckton ","38","mackintosh, j b","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"39","John Glenvil Murphy.","Glenvil ","civil engineers.","1877","Murphy","John","Glenvil ","39","murphy, j g","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"40","Ralph Nichols.","","civil engineers.","1877","Nichols","Ralph","","40","nichols, r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"41","James Robert Priest.","Robert ","civil engineers.","1877","Priest","James","Robert ","41","priest, j r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"42","Charles Louis Rogers.","Louis ","civil engineers.","1877","Rogers","Charles","Louis ","42","rogers, c l","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"43","Edward Eugene Sage.","Eugene ","civil engineers.","1877","Sage","Edward","Eugene ","43","sage, e e","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"44","Roland Mulville Smythe.","Mulville ","civil engineers.","1877","Smythe","Roland","Mulville ","44","smythe, r m","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"45","Arthur Thacher.","","civil engineers.","1877","Thacher","Arthur","","45","thacher, a","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"46","Robert Ward Van Boskerck.","Ward Van ","civil engineers.","1877","Boskerck","Robert","Ward Van ","46","boskerck, r w","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"47","Cornelius Read Waterbury.","Read ","civil engineers.","1877","Waterbury","Cornelius","Read ","47","waterbury, c r","alumni","columbia",NA,NA,NA,NA,NA,"civil engineers.",NA
"48","Harry Garner Haskell 5. William Arthur Pomeroy","Garner ","engineer of mines","1893","Haskell","Harry","Garner ","48","haskell, h g","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"49","Harry Garner Haskell 5. William Arthur Pomeroy","Arthur ","engineer of mines","1893","Pomeroy","William","Arthur ","49","pomeroy, w a","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"50","John Elmer Jones 6. George Austin Schroter","Elmer ","engineer of mines","1893","Jones","John","Elmer ","50","jones, j e","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"51","John Elmer Jones 6. George Austin Schroter","Austin ","engineer of mines","1893","Schroter","George","Austin ","51","schroter, g a","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"52","Edward Laurence Kurtz 7. Samuel Clifton Thompson","Laurence ","engineer of mines","1893","Kurtz","Edward","Laurence ","52","kurtz, e l","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"53","Edward Laurence Kurtz 7. Samuel Clifton Thompson","Clifton ","engineer of mines","1893","Thompson","Samuel","Clifton ","53","thompson, s c","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"54","Henry Stewart McKee 8. Henry Ashe Tilghman","Stewart ","engineer of mines","1893","McKee","Henry","Stewart ","54","mckee, h s","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"55","Henry Stewart McKee 8. Henry Ashe Tilghman","Ashe ","engineer of mines","1893","Tilghman","Henry","Ashe ","55","tilghman, h a","alumni","columbia",NA,NA,NA,NA,NA,"engineer of mines",NA
"56","Ignacio Ernesto Agramonte 7.","Ernesto ","civil engineer","1893","Agramonte","gnacio","Ernesto ","56","agramonte, g e","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"57","George William Behrman 8.","William ","civil engineer","1893","Behrman","George","William ","57","behrman, g w","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"58","George Hallett Clark g.","Hallett ","civil engineer","1893","Clarkg","George","Hallett ","58","clarkg, g h","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
"59","Reginald Guy Foster 1o.","Guy ","civil engineer","1893","Foster","Reginald","Guy ","59","foster, r g","alumni","columbia",NA,NA,NA,NA,NA,"civil engineer",NA
