edu,edu1
NA,NA
mining eng,mining eng
electrical eng,electrical eng
civil eng,civil eng
geology,geology
mechanical eng,mechanical eng
zoology,zoology
phd,phd
student,student
english,english
economics,economics
chemistry,chemistry
history,history
physics,physics
drawing,drawing
botany,botany
topographer,topographer
architect,architect
metallurgical eng,metallurgical eng
ba,bachelor arts
physiology,physiology
hydrological,hydrological
agronomist,agronomist
road inspector,road inspector
enginner,enginner
em,mining eng
me,mechanical eng
architecture,architect
general science,general science
ce,civil eng
sanitary eng,sanitary eng
bs,bachelor of science
greek,greek
drawing and painting,drawing and painting
romanic languages,romanic languages
latin,latin
law,law
geographer,geographer
maestro de obras,maestro de obras
mathematics,mathematics
topografo e hidrografo,topografo e hidrografo
chemical eng,chemical eng
phb,phb
marine eng,marine eng
met,metallurgical eng
education,education
german,german
biology,biology
mining engineer,mining eng
entomology,entomology
philosophy,philosophy
e met,metallurgical eng
assayer,assayer
agricultural eng,agricultural eng
ensayador,assayer
romanic philology,romanic philology
ethics,ethics
bionomics,bionomics
agricultural,agricultural eng
hygiene eng,hygiene eng
industrial eng,industrial eng
classical philology,classical philology
ms,master science
astronomy,astronomy
graduate student,graduate student
psychology,psychology
bs mechanics,bs mechanics
instructor,instructor
