"id","volume","year","month","day","page","ppdf","term","loc","org","type","author","method","notes1","notes2","patent","lon","lat","name","lastname","firstname","middlename","simpname","source"
38,55,1893,4,27,555,578,"Cyanide","san francisco, california","California State Mining Bureau","correspondence","Johnston, William D","using the index",NA,NA,NA,-122.4194155,37.7749295,"Johnston, William D","william","johnston",NA,"william, j",NA
38,55,1893,4,27,555,578,"Cyanide","san francisco, california","California State Mining Bureau","correspondence","Fillmore, J A","using the index",NA,NA,NA,-122.4194155,37.7749295,"Fillmore, J A",NA,"fillmore",NA,"fillmore, j a",NA
38,55,1893,4,27,555,578,"Cyanide","san francisco, california","California State Mining Bureau","correspondence","Low J B","using the index",NA,NA,NA,-122.4194155,37.7749295,"Low J B",NA,"low","j","low j b",NA
38,55,1893,4,27,555,578,"Cyanide","san francisco, california","California State Mining Bureau","correspondence","Waitt, george e","using the index",NA,NA,NA,-122.4194155,37.7749295,"Waitt, george e","george","waitt",NA,"george, w",NA
38,55,1893,4,27,555,578,"Cyanide","san francisco, california","California State Mining Bureau","correspondence","formhals, f","using the index",NA,NA,NA,-122.4194155,37.7749295,"formhals, f",NA,"formhals",NA,"formhals, f",NA
2385,76,1903,10,24,629,664,"Cyanid","Colorado",NA,"news","William H. Davis","ctrlf","Patents","Cyanide solutions",NA,-105.7820674,39.5500507,"William H Davis","davis","william","h","davis, w h","colorado"
2385,76,1903,10,24,629,664,"Cyanid","Colorado",NA,"news","Arthur L. Collins","ctrlf","Patents","Cyanide solutions",NA,-105.7820674,39.5500507,"Arthur L Collins","collins","arthur","l","collins, a l","myb"
2385,76,1903,10,24,629,664,"Cyanid","Colorado",NA,"news","Francis L. Bosqui (patenters)","ctrlf","Patents","Cyanide solutions",NA,-105.7820674,39.5500507,"Francis L Bosqui","bosqui","francis","l","bosqui, f l","myb"
2801,77,1904,6,2,894,933,"Cyanid","London, UK",NA,"patent","James A. Kendall","ctrlf","Cyanide production",NA,NA,-0.1275862,51.5072178,"James A Kendall","kendall","james","a","kendall, j a",NA
2801,77,1904,6,2,894,933,"Cyanid","London, UK",NA,"patent","Joseph Wilson Swan (patenters)","ctrlf","Cyanide production",NA,NA,-0.1275862,51.5072178,"Joseph Wilson Swan","swan","joseph","wilson","swan, j w",NA
3234,79,1905,1,19,157,194,"Cyanid","Lorain, Ohio",NA,"patent","Samuel W. Vaughen","ctrlf","Methods","Cyanide recovery",NA,-82.1823746,41.452819,"Samuel W Vaughen","vaughen","samuel","w","vaughen, s w",NA
3234,79,1905,1,19,157,194,"Cyanid","Lorain, Ohio",NA,"patent","John W. Cabot (patenters)","ctrlf","Methods","Cyanide recovery",NA,-82.1823746,41.452819,"John W Cabot","cabot","john","w","cabot, j w","MIT"
2775,77,1904,5,12,774,813,"Cyanid","Los Angeles, California",NA,"patent","Lewis E. Porter","ctrlf","Methods","Copper bearing ores & cyanide solutions",NA,-118.2436849,34.0522342,"Lewis E Porter","porter","lewis","e","porter, l e",NA
2775,77,1904,5,12,774,813,"Cyanid","Los Angeles, California",NA,"patent","John J. Seeman (patenters)","ctrlf","Methods","Copper bearing ores & cyanide solutions",NA,-118.2436849,34.0522342,"John J Seeman","seeman","john","j","seeman, j j",NA
3046,78,1904,12,8,920,927,"Cyanid","Berlin, Germany","Cyanid-Gesellschaft mit Beschraenkter Haftung","patent","Max Voigt","ctrlf","Methods","Metallic cyanides",NA,13.404954,52.5200066,"Max Voigt","voigt","max",NA,"voigt, m",NA
3046,78,1904,12,8,920,927,"Cyanid","Berlin, Germany","Cyanid-Gesellschaft mit Beschraenkter Haftung","patent","Albert R. Frank (patenters)","ctrlf","Methods","Metallic cyanides",NA,13.404954,52.5200066,"Albert R Frank","frank","albert","r","frank, a r",NA
2339,76,1903,7,18,91,126,"Cyanid","Palmarejo Mines, Mexico",NA,"article","Andre P. Griffiths","ctrlf","Experiments, costs","Silver-ore cyaniding",NA,-108.4082757,27.3911752,"Andre P Griffiths","griffiths","andre","p","griffiths, a p","rsm"
2339,76,1903,7,18,91,126,"Cyanid","Palmarejo Mines, Mexico",NA,"article","Frank W. Oldfield","ctrlf","Experiments, costs","Silver-ore cyaniding",NA,-108.4082757,27.3911752,"Frank W Oldfield","oldfield","frank","w","oldfield, f w","rsm"
2576,77,1904,1,21,130,169,"Cyanid","London, UK",NA,"patent","C. F. Cross","ctrlf","Cyanide making",NA,NA,-0.1275862,51.5072178,"C F Cross","cross","c","f","cross, c f","colorado"
