year,rate,currency
1887,4.852013586,pounds
1888,4.870920604,pounds
1889,4.868549172,pounds
1890,4.861448712,pounds
1891,4.861448712,pounds
1892,4.873294347,pounds
1893,4.86381323,pounds
1894,4.87804878,pounds
1895,4.887585533,pounds
1896,4.870920604,pounds
1897,4.86381323,pounds
1898,4.847309743,pounds
1899,4.86381323,pounds
1900,4.86381323,pounds
1901,4.873294347,pounds
1902,4.870920604,pounds
1903,4.86381323,pounds
1904,4.868549172,pounds
1905,4.86381323,pounds
1906,4.852013586,pounds
1907,4.859086492,pounds
1908,4.866180049,pounds
1909,4.873294347,pounds
1910,4.86381323,pounds
1911,4.861448712,pounds
1912,4.866180049,pounds
1913,4.868549172,pounds
1914,4.930966469,pounds
1915,4.75737393,pounds
1916,4.766444233,pounds
1917,4.764173416,pounds
1918,4.764173416,pounds
1919,4.426737494,pounds
1920,3.664345914,pounds
1921,3.849114704,pounds
1922,4.428697963,pounds
1923,4.574565416,pounds
1924,4.416961131,pounds
1925,4.828585225,pounds
1926,4.859086492,pounds
1927,4.861448712,pounds
1928,4.866180049,pounds
1929,4.856726566,pounds
1930,4.861448712,pounds
1931,4.535147392,pounds
1932,3.50631136,pounds
1933,4.237288136,pounds
1934,5.037783375,pounds
1935,4.901960784,pounds
1936,4.970178926,pounds
1937,4.943153732,pounds
1938,4.88997555,pounds
1939,4.4345898,pounds
1940,3.829950211,pounds
1941,4.032258065,pounds
1942,4.03551251,pounds
1943,4.03551251,pounds
1944,4.03551251,pounds
1945,4.030632809,pounds
1946,4.032258065,pounds
1947,4.029008864,pounds
1948,4.030632809,pounds
1949,3.687315634,pounds
1950,2.801120448,pounds
1951,2.80033604,pounds
1887,0.662727,yens
1888,0.662727,yens
1889,0.662727,yens
1890,0.662727,yens
1891,0.662727,yens
1892,0.662727,yens
1893,0.662727,yens
1894,0.541761,yens
1895,0.47125,yens
1896,0.520455,yens
1897,0.512046,yens
1898,0.48892,yens
1899,0.498579,yens
1900,0.495056,yens
1901,0.49375,yens
1902,0.495,yens
1903,0.50006,yens
1904,0.48886,yens
1905,0.4925,yens
1906,0.49625,yens
1907,0.49426,yens
1908,0.49419,yens
1909,0.49568,yens
1910,0.49625,yens
1911,0.49477,yens
1912,0.495,yens
1913,0.49583,yens
1914,0.49375,yens
1915,0.49125,yens
1916,0.49875,yens
1917,0.505,yens
1918,0.51,yens
1919,0.51938,yens
1920,0.49761,yens
1921,0.48179,yens
1922,0.48125,yens
1923,0.48625,yens
1924,0.411522634,yens
1925,0.409836066,yens
1926,0.471698113,yens
1927,0.473933649,yens
1928,0.465116279,yens
1929,0.460829493,yens
1930,0.495049505,yens
1931,0.487804878,yens
1932,0.280898876,yens
1933,0.256410256,yens
1934,0.296735905,yens
1935,0.287356322,yens
1936,0.289855072,yens
1937,0.288184438,yens
1938,0.284090909,yens
1939,0.25974026,yens
1940,0.234192037,yens
1941,0.234192037,yens
1887,0.192901235,francs
1888,0.192901235,francs
1889,0.192901235,francs
1890,0.192901235,francs
1891,0.192901235,francs
1892,0.192901235,francs
1893,0.192901235,francs
1894,0.192901235,francs
1895,0.192901235,francs
1896,0.192901235,francs
1897,0.192901235,francs
1898,0.192901235,francs
1899,0.192901235,francs
1900,0.192901235,francs
1901,0.192901235,francs
1902,0.192901235,francs
1903,0.192901235,francs
1904,0.192901235,francs
1905,0.192901235,francs
1906,0.192901235,francs
1907,0.192901235,francs
1908,0.192901235,francs
1909,0.192901235,francs
1910,0.192901235,francs
1911,0.192901235,francs
1912,0.192901235,francs
