source,type,year,number,text,lastname,firstname,simpname,nationality,edu,prof,org,ydeg,loc,country,lat,lon
frei,alumni,1866,2466,"Alexander, Florian. Baltimore, V. St. v. A.",Alexander,Florian,"Alexander, F",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2467,"Bohme, Theodor. Freiberg, Sachsen.",Bohme,Theodor,"Bohme, T",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2468,"Bowmann, Amos. Canada.",Bowmann,Amos,"Bowmann, A",canada,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2469,"Buck, Stuart M. Boston, . V. St. v. A.",Buck,Stuart M,"Buck, S  M",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2470,"Cornwall, Henry B. Fairfield, Staat Connecticut, V. St. v. A.",Cornwall,Henry B,"Cornwall, H  B",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2471,"de Crano, E. G. San Francisco, V. St. v. A.",De Crano,E,"De Crano, E",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2472,"Davis, John Calvert. . San Francisco, V. St. v. A.",Davis,John Calvert,"Davis, J  C",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2473,"Festner, Ernst. Lobejun, PreuBen.",Festner,Ernst,"Festner, E",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2474,"Frazer, Persifor. Philadelphia, Pennsylvanien, V. St. v.A.",Frazer,Persifor,"Frazer, P",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2475,"Gage, James R. Port Gibson, Staat Mississippi,",Gage,James R,"Gage, J  R",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2476,"Gignoux, J. Ernest. New York, V. St. v. A.",Gignoux,J,"Gignoux, J",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2477,"Goebel, Ernst Oscar Friedr. Plauen, Sachsen.",Goebel,Ernst Oscar Friedr,"Goebel, E  O",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2478,"Graff, Carl Richmond Maximilian. Neustadtel, PreuBen. Dipl.Ing. 1871.",Graff,Carl Richmond Maximilian,"Graff, C  R",poland,Engineer,NA,freiberg school,1871,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2479,"Grohmann, Carl Emil. Lobau, Sachsen. Dipl.Ing. 1871.",Grohmann,Carl Emil,"Grohmann, C  E",germany,Engineer,NA,freiberg school,1871,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2480,"Guy, William. Cincinnati, Staat Ohio, V. St. v. A.",Guy,William,"Guy, W",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2481,"Hawkins, Richard R. Buffalo, Staat New York,",Hawkins,Richard R,"Hawkins, R  R",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2482,"Hesse, Carl Gottlieb Friedrich. Niederfriedersdorf, Sachsen. Dipl.Ing. 1871.",Hesse,Carl Gottlieb Friedrich,"Hesse, C  G",germany,Engineer,NA,freiberg school,1871,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1866,2483,"v. Hisinger, Fridolf Leopold. Finnland.",V Hisinger,Fridolf Leopold,"V Hisinger, F  L",finland,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
