"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","srch","temp","geometry"
"2603","myb18599","myb",1887,"PHCENIX DIAMOND MINING COMPANY",NA,"rube","charles",NA,"board","london","Charles Rube.","rube, c",NA,"myb",c(-0.1277583, 51.5073509)
"2604","myb18600","myb",1887,"PHCENIX DIAMOND MINING COMPANY",NA,"wernher","julius",NA,"board","london","Julius Wernher.","wernher, j",NA,"myb",c(-0.1277583, 51.5073509)
"3237","myb23778","myb",1887,"TRANSVAAL PROSPECTING COMPANY LIMITED",NA,"woodhouse","alfred",NA,"managing director","transvaal","Alfred Woodhouse, Managing Director.","woodhouse, a",NA,"myb",c(-81.1830974, 43.2325617)
"3238","myb23779","myb",1887,"TRANSVAAL PROSPECTING COMPANY LIMITED",NA,"milla","charles",NA,"board","austin","Sir Charles Milla. I G. Travenor.","milla, c",NA,"myb",c(-97.7430608, 30.267153)
"3239","myb23779","myb",1887,"TRANSVAAL PROSPECTING COMPANY LIMITED",NA,"travenor","g",NA,"board","austin","Sir Charles Milla. I G. Travenor.","travenor, g",NA,"myb",c(-97.7430608, 30.267153)
"3240","myb23780","myb",1887,"TRANSVAAL PROSPECTING COMPANY LIMITED",NA,"buch","carl","von","board","austin","F. C. D. Haggard. I Carl von Buch.","buch, c v",NA,"myb",c(-97.7430608, 30.267153)
"3241","myb23780","myb",1887,"TRANSVAAL PROSPECTING COMPANY LIMITED",NA,"haggard","f","c","board","austin","F. C. D. Haggard. I Carl von Buch.","haggard, f c",NA,"myb",c(-97.7430608, 30.267153)
"5049","myb53757","myb",1888,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"brinton","john",NA,"board","london","John Brinton, Moor Hall, Stourport.","brinton, j",NA,"myb",c(-0.1277583, 51.5073509)
"5050","myb53758","myb",1888,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"jones","alfred",NA,"board","london","Alfred Jones, of Coote, Jones and Co., London and Mossel Bay.","jones, a",NA,"myb",c(-0.1277583, 51.5073509)
"5051","myb53759","myb",1888,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"parker","archibald",NA,"board","london","Archibald Parker, of Wood and Parker,","parker, a",NA,"myb",c(-0.1277583, 51.5073509)
"5052","myb53760","myb",1888,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"avenu","east","india","board","london","East India Avenue , E.C.","avenu, e i",NA,"myb",c(-0.1277583, 51.5073509)
"5439","myb56391","myb",1888,"NEW LISBON BERLYN LTD",NA,"macklin","albert",NA,"board","transvaal","The Uim. David Erskine. I Albert Macklin.","macklin, a",NA,"myb",c(-81.1830974, 43.2325617)
"5440","myb56392","myb",1888,"NEW LISBON BERLYN LTD",NA,"gwynnoowon","hugh",NA,"board","transvaal","Hugh Gwynno-Owon. | George Field Tavenor.","gwynnoowon, h",NA,"myb",c(-81.1830974, 43.2325617)
"5441","myb56392","myb",1888,"NEW LISBON BERLYN LTD",NA,"tavenor","george","field","board","transvaal","Hugh Gwynno-Owon. | George Field Tavenor.","tavenor, g f",NA,"myb",c(-81.1830974, 43.2325617)
"5487","myb56438","myb",1888,"NEW LISBON BERLYN LTD",NA,"paglar","f","bftrberton","board","the district of de","JA.rthur H Walker, Government Surveyor. I f Bftrberton. F. Paglar, counsellor-at-law. f","paglar, f b",NA,"myb",c(-94.7835376, 38.9698106)
"5488","myb56438","myb",1888,"NEW LISBON BERLYN LTD",NA,"walker","jarthur","h","board","the district of de","JA.rthur H Walker, Government Surveyor. I f Bftrberton. F. Paglar, counsellor-at-law. f","walker, j h",NA,"myb",c(-94.7835376, 38.9698106)
"5489","myb56439","myb",1888,"NEW LISBON BERLYN LTD",NA,"paley","c","st","board","the district of de","C. St. John Paley. J","paley, c s",NA,"myb",c(-94.7835376, 38.9698106)
"5532","myb56482","myb",1888,"NEW LISBON BERLYN LTD",NA,"inglis","chas","dickson","board","barberton","Morgan Lloyd, Q.C., Chairman. Capt. Chas. Dickson Inglis, R.N.","inglis, c d",NA,"myb",c(-81.6051221, 41.012833)
"5533","myb56482","myb",1888,"NEW LISBON BERLYN LTD",NA,"lloyd","morgan",NA,"chair","barberton","Morgan Lloyd, Q.C., Chairman. Capt. Chas. Dickson Inglis, R.N.","lloyd, m",NA,"myb",c(-81.6051221, 41.012833)
"5534","myb56483","myb",1888,"NEW LISBON BERLYN LTD",NA,"mitchell","william","a","board","london","Gustave Sichel. i William A. Mitchell.","mitchell, w a",NA,"myb",c(-0.1277583, 51.5073509)
"5535","myb56483","myb",1888,"NEW LISBON BERLYN LTD",NA,"sichel","gustave",NA,"board","london","Gustave Sichel. i William A. Mitchell.","sichel, g",NA,"myb",c(-0.1277583, 51.5073509)
"5746","myb57702","myb",1888,"STANHOPE GOLD MINING COMPANY LIMITED",NA,"ireland","john",NA,"board","ireland","J. W. Shaw. I H. Fell. | John Ireland.","ireland, j",NA,"myb",c(-7.6920536, 53.1423672)
"5747","myb57702","myb",1888,"STANHOPE GOLD MINING COMPANY LIMITED",NA,"shaw","j","w","board","ireland","J. W. Shaw. I H. Fell. | John Ireland.","shaw, j w",NA,"myb",c(-7.6920536, 53.1423672)
"7857","myb82474","myb",1889,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"griffin","h",NA,"chair","london","H. Griffin, Chairman | H. Bale. 8. .1. Mason. | H. Fell. | Hugh Parker.","griffin, h",NA,"myb",c(-0.1277583, 51.5073509)
"7858","myb82474","myb",1889,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"mason","h","bale","board","london","H. Griffin, Chairman | H. Bale. 8. .1. Mason. | H. Fell. | Hugh Parker.","mason, h b",NA,"myb",c(-0.1277583, 51.5073509)
"7859","myb82474","myb",1889,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"parker","hugh",NA,"board","london","H. Griffin, Chairman | H. Bale. 8. .1. Mason. | H. Fell. | Hugh Parker.","parker, h",NA,"myb",c(-0.1277583, 51.5073509)
"7860","myb82475","myb",1889,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"greene","k","m","board","london","8. Ford. | Dr. Scott. | K. M. Greene. | Jamew Hay, Ma aijnnj Director.","greene, k m",NA,"myb",c(-0.1277583, 51.5073509)
"7861","myb82475","myb",1889,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"jame","jamew",NA,"board","london","8. Ford. | Dr. Scott. | K. M. Greene. | Jamew Hay, Ma aijnnj Director.","jame, j",NA,"myb",c(-0.1277583, 51.5073509)
"7862","myb82475","myb",1889,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"scott","dr",NA,"board","london","8. Ford. | Dr. Scott. | K. M. Greene. | Jamew Hay, Ma aijnnj Director.","scott, d",NA,"myb",c(-0.1277583, 51.5073509)
"7864","myb82477","myb",1889,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"davies","herlicrt","ernest","board","london","Herlicrt Ernest Matthew Davies. | William Mortimer Maynard Farmer.","davies, h e",NA,"myb",c(-0.1277583, 51.5073509)
"7865","myb82478","myb",1889,"CITY AND SUBUREAN GOLD MINING AND ESTATE COMPANY LIMITED",NA,"agency","london",NA,"board","london","London Agency.","agency, l",NA,"myb",c(-0.1277583, 51.5073509)
"8013","myb83223","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"brine","john",NA,"board","duncan","John Napier. | Archibald Parker. | Alfred Jones. | John Brine:..","brine, j",NA,"myb",c(-97.9578128, 34.5023028)
"8014","myb83223","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"jones","alfred",NA,"board","duncan","John Napier. | Archibald Parker. | Alfred Jones. | John Brine:..","jones, a",NA,"myb",c(-97.9578128, 34.5023028)
"8015","myb83223","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"napier","john",NA,"board","duncan","John Napier. | Archibald Parker. | Alfred Jones. | John Brine:..","napier, j",NA,"myb",c(-97.9578128, 34.5023028)
"8016","myb83223","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"parker","archibald",NA,"board","duncan","John Napier. | Archibald Parker. | Alfred Jones. | John Brine:..","parker, a",NA,"myb",c(-97.9578128, 34.5023028)
"8017","myb83224","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"loca","local",NA,"board","duncan","Local Directorr.","loca, l",NA,"myb",c(-97.9578128, 34.5023028)
"8018","myb83225","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"andrew","duncan","campbell","board","duncan","Duncan Campbell Andrew. I John Stein Morrison.","andrew, d c",NA,"myb",c(-97.9578128, 34.5023028)
"8019","myb83225","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"morrison","john","stein","board","duncan","Duncan Campbell Andrew. I John Stein Morrison.","morrison, j s",NA,"myb",c(-97.9578128, 34.5023028)
"8020","myb83226","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"campbell","archibald","mitchell","board","duncan","Archibald Mitchell Campbell. I Dirk Bernard Schuit ma.","campbell, a m",NA,"myb",c(-97.9578128, 34.5023028)
"8021","myb83226","myb",1889,"DURBAN ROODEPOORT GOLD MINING COMPANY",NA,"schui","dirk","bernard","board","duncan","Archibald Mitchell Campbell. I Dirk Bernard Schuit ma.","schui, d b",NA,"myb",c(-97.9578128, 34.5023028)
"8082","myb83821","myb",1889,"BALLARAT GOLD FIELDS LTD",NA,"bailey","abe",NA,"board","florida","W. H. Rogers. | Julius Jeppe, jun. | H. Boitelheim. I D. Symons. | Abe Bailey.","bailey, a",NA,"myb",c(-81.5157535, 27.6648274)
"8083","myb83821","myb",1889,"BALLARAT GOLD FIELDS LTD",NA,"boitelheim","h",NA,"board","florida","W. H. Rogers. | Julius Jeppe, jun. | H. Boitelheim. I D. Symons. | Abe Bailey.","boitelheim, h",NA,"myb",c(-81.5157535, 27.6648274)
"8084","myb83821","myb",1889,"BALLARAT GOLD FIELDS LTD",NA,"jeppe","julius",NA,"board","florida","W. H. Rogers. | Julius Jeppe, jun. | H. Boitelheim. I D. Symons. | Abe Bailey.","jeppe, j",NA,"myb",c(-81.5157535, 27.6648274)
"8085","myb83821","myb",1889,"BALLARAT GOLD FIELDS LTD",NA,"rogers","w","h","board","florida","W. H. Rogers. | Julius Jeppe, jun. | H. Boitelheim. I D. Symons. | Abe Bailey.","rogers, w h",NA,"myb",c(-81.5157535, 27.6648274)
"8086","myb83821","myb",1889,"BALLARAT GOLD FIELDS LTD",NA,"symons","d",NA,"board","florida","W. H. Rogers. | Julius Jeppe, jun. | H. Boitelheim. I D. Symons. | Abe Bailey.","symons, d",NA,"myb",c(-81.5157535, 27.6648274)
"8087","myb83822","myb",1889,"BALLARAT GOLD FIELDS LTD",NA,"taylor","w","p","board","florida","K. Tucker. | W. P. Taylor.","taylor, w p",NA,"myb",c(-81.5157535, 27.6648274)
"8088","myb83822","myb",1889,"BALLARAT GOLD FIELDS LTD",NA,"tucker","k",NA,"board","florida","K. Tucker. | W. P. Taylor.","tucker, k",NA,"myb",c(-81.5157535, 27.6648274)
"8938","myb88074","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"bale","henry",NA,"chair","heidelberg","Henry Bale, Chairman. | Henry Fell. | Henry Griffin. | Joseph Watson Shaw. | Thonms Fleming.","bale, h",NA,"myb",c(8.6724335, 49.3987524)
