id,type,year,text
1,person,1909,"aarons j. b, kalgoorlie,western australia."
2,cia,1909,chaffers gold mining ltd
3,person,1909,"ackermann, a. h, bulawayo, rhodesia."
4,cia,1909,"british south africa company, rhodesia ltd"
5,person,1909,"acust, sidney, berlin estate, barberton district, transvaal."
6,cia,1909,barrett gold mining ltd
7,person,1909,"adams d. k , talbot, victoria, australia."
8,cia,1909,carters depp leads ltd
9,person,1909,"adams, percy"
10,cia,1909,"bserlin proprietary mines, ltd"
11,person,1909,"adams wilson. dock chambers, cardiff."
12,person,1909,"addie jk de reitfontein colliery, box, springs, transvaaladdle"
13,cia,1909,transvaal coal trust ltd
14,person,1909,"addie robert, norfolk house, b.c."
15,cia,1909,arizona. copper ltd
16,cia,1909,esperanza copper and sulphur ltd
17,person,1909,"ftvlaxander, george, kaslo, british columbia."
18,cia,1909,"ruth mines, ltd"
19,person,1909,"alexander, george h, kaal vallet, orange river colony"
20,cia,1909,"orange free state and transvaal diamond mines, ltd"
21,person,1909,"allen fergus, el oro, mexico."
22,person,1909,"adler h. g. v, einasleigh, n. queensland."
23,cia,1909,"new einasleigh copper mines, ltd"
24,person,1909,"aimetti s, cleveland, near johannesburg. "
25,cia,1909,new heriot gold mining c o ltd
26,cia,1909,"answort h, george, consett, ltd"
27,person,1909,durham.
28,cia,1909,consett iron ltd
29,person,1909,"airth gr, box , johannesburg."
30,cia,1909,anglo french exploration ltd
31,person,1909,"allan fergus oro, m,exico"
32,cia,1909,"mexico mines el oro, ltd"
33,person,1909,"allan jf p, dtansul, caucasus, russia."
34,cia,1909,caucasus copper ltd
35,person,1909,"allen percy r, runcorn, cheshire."
36,cia,1909,waihi grand junction gold ltd
37,person,1909,"allen peter, garth, glara. l near am, h."
38,cia,1909,"elder s navigation collieries, ltd"
39,person,1909,"allwright, k , giant mines, gadsema, mashonaland, rhodesia."
40,cia,1909,"giant mines of minesof rhodesia, ltd"
41,person,1909,"alston r. a, mine office, germiston, transvaal."
42,cia,1909,gleocairn main reef gold mining ltd
43,person,1909,ancarania h
44,cia,1909,le champ d or french gold mining ltd
45,person,1909,"anderson t. scott, royal insurance bldgs, sheffield."
46,cia,1909,"lndearnnnoann.dale copper mines and smelters, ltd"
47,person,1909,"Anderson, w. t, box, germiston, transvaal."
48,cia,1909,"lndrerowse, deep, ltd"
49,person,1909,"Anndrew robert, axnalcollar copper mines, seville, spain,"
50,cia,1909,seville sulphur and copper ltd
51,person,1909,"Andrewet, edward, portmadoc, wales."
52,cia,1909,"miane,n offeren slate quarry ltd"
53,person,1909,"angwin b, carbis bay, cornwall."
54,cia,1909,"lntholenvayn,t mining ltd"
55,person,1909,"h. v, new broad street, london"
56,cia,1909,"lrohfbioskludm, synd, ltd"
57,person,1909,"t. r, lynher cottage, craftshole, st. germains, cornwall."
58,cia,1909,"lrgapllh,cejn,ix united mines, ltd"
59,cia,1909,"kamloops, british columbia. lrgaklla,mloops mines. ltd"
60,person,1909,"phillip, majestic bdg.t denver, colorado, u.s.a."
61,cia,1909,"stratton s independence, ltd"
62,person,1909,"lrmstrong, a. e, waihi, new zealand."
63,cia,1909,waihi grandunction gold ltd
64,person,1909,"irmstrong, f. e, estacion sabinas, coahuila, mexico."
65,cia,1909,new sabinas ltd
66,cia,1909,"rm b trong. j. o,rmstrlolonygd .copper ltd"
67,person,1909,"m. s , chhindwara, central provinces, india."
68,cia,1909,peach valley coal ltd
69,person,1909,"rnell, ralph, gynapie, queensland.,"
70,cia,1909,south oriental and glanmire gold mining ltd
71,person,1909,"ltnold, colalfred, heathconrt, bournemouth"
72,cia,1909,west. mosambique ltd
73,person,1909,"lshmore, g. percy, grootfonteln, s. w. africa."
74,cia,1909,south.west africa ltd
76,person,1909,"aahwin, guy, h, wah upon dearne, near rotherhara."
77,cia,1909,wath main colliery ltd
78,person,1909,"ashworth, i. w. larnaca, cyprus."
79,cia,1909,"lymni copper mining synd, ltd"
80,person,1909,"aaaaieff, prof, st. petersburg mining institute, st. petersburg."
81,cia,1909,"kyshtim ltd. , ltd"
82,person,1909,"atherton, t. w. t,a, london wall, london"
83,cia,1909,"star synd, ltd"
84,person,1909,"atlay, frank, mogok, burma."
85,cia,1909,"burma ruby mines, ltd"
86,person,1909,"austin, t. w, guilford colliery, whitfield, dover."
87,cia,1909,east kent colliery ltd
88,cia,1909,"guilford synd, ltd"
89,person,1909,"auzias turenne, r, dawson, canada."
90,cia,1909,"klondyke consolidated gold fields, ltd"
91,person,1909,"ay ton, ernest f, guanacevi, durango, mexico."
92,cia,1909,guanacevi ltd
93,person,1909,"back, fred, chillagoe, queensland,"
94,cia,1909,chillagoe ltd
95,cia,1909,munganachillagoemining ltd
96,person,1909,"bacon, a. d, box , langlaagte, transvaal."
97,cia,1909,"block b, lang laagte estate gold mining ltd"
98,cia,1909,langlaagte estate and gold mining ltd
99,person,1909,"baddeley, hiram, carr house, shelley, yorks."
100,cia,1909,"barnsley, main colliery ltd"
101,cia,1909,round green colliery ltd
102,person,1909,"bagot, hon. w. l, d.s.o, toj, consolidated bldg, johannesburg."
103,cia,1909,victoria. falls power ltd
104,person,1909,"bagahaw, j. f, madelane, eastern transvaal."
105,cia,1909,"magnesite mines of south africa, ltd"
106,person,1909,"bailey, george, aiim, gold coast colony."
107,cia,1909,"african gold dredging and mining concessions, ltd"
108,person,1909,"bailey, m, stanley, british columbia."
109,cia,1909,"cariboo consolidated, ltd"
110,person,1909,"bainbridge, e. m, junr, holm wood, jeamond, newcastie on tyne,"
111,cia,1909,newbiggin colliery ltd
112,cia,1909,"bainbridge, seymour sc ltd"
113,cia,1909,anglo colombian investment ltd
114,cia,1909,"british ore concentration synd, ltd"
115,cia,1909,"odumasi exploration synd, ltd"
116,cia,1909,tywarnhaile mining ltd
117,person,1909,balfourd.and son. newcastle.
118,cia,1909,durham collieries electric power ltd
119,person,1909,"ball, josiah, minera mines, wrexham."
120,cia,1909,united minera mining ltd
121,person,1909,"banks, fairolough stephen, manchester."
122,cia,1909,"ingleton collieries, ltd"
123,person,1909,"barber, r. d, corocoro, bolivia."
