"","loc","lon","lat"
"1","london",-0.1277583,51.5073509
"3","larence",-95.2352501,38.9716689
"5","oxford",-1.2577263,51.7520209
"6","organ",-95.826134,36.053795
"7","germany",10.451526,51.165691
"9","captain",-95.846091,36.26481
"10","temple",-95.6273972,37.0421218
"14","kensington",-75.1179823,39.9934039
"18","chester",-75.3557457,39.849557
"19","central",-95.7480448,37.1530589
"21","cambridge",0.121817,52.205337
"23","spain",-3.74922,40.463667
"26","plymouth",-70.6672621,41.9584457
"27","woolwich",0.0675883,51.4894752
"28","glasgow",-4.251806,55.864237
"31","bessemer",-86.954437,33.4017766
"34","villa",-95.7002339,37.2169135
"36","welling",0.109744,51.4622529
"38","italy",12.56738,41.87194
"42","manchester",-2.2426305,53.4807593
"45","japan",138.252924,36.204824
"47","hunter",-73.9645291,40.7678398
"49","caylloma",-71.601445,-15.6378116
"51","lancaster",-76.3055144,40.0378755
"52","birmingham",-86.8103567,33.5185892
"58","university",-95.9766122,36.7494938
"59","sheffield",-1.470085,53.381129
"63","cornwall",-5.0527125,50.2660471
"64","somerset",-2.9262307,51.105097
"66","freiberg",13.341727,50.9128283
"68","chicago",-87.6297982,41.8781136
"69","wales",-3.7837117,52.1306607
"70","ireland",-7.6920536,53.1423672
"75","cripple",-105.178103,38.746501
"78","cumberland",-78.7625185,39.6528654
"79","kimberley",24.7499112,-28.7282384
"80","johannesburg",28.0473051,-26.2041028
"83","england",-1.1743197,52.3555177
"86","essex",0.4856781,51.5742447
"92","bullion",-96.8056264,32.7763787
"94","america",-95.712891,37.09024
"95","sweden",18.643501,60.128161
"96","missouri",-91.8318334,37.9642529
"97","portugal",-8.224454,39.399872
"98","paris",2.3522219,48.856614
"106","berkeley",-122.273042,37.8715226
"108","china",104.195397,35.86166
"109","korea",127.9784585,37.6639976
"111","queensland",142.7027956,-20.9175738
"112","calif",-119.4179324,36.778261
"119","spencer",-94.1499569,36.1282435
"122","stockton",-121.2907796,37.9577016
"126","midland",-102.0779146,31.9973456
"127","newcastle",-1.61778,54.978252
"128","falmouth",-70.6085886,41.5532208
"129","huntingdon",-78.0102813,40.4847959
"130","camborne",-5.2947749,50.21277
"133","charles",-95.7162345,37.2255965
"135","new zealand",174.885971,-40.900557
"136","hampton",-76.3452218,37.0298687
"139","australia",133.775136,-25.274398
"145","bengal",87.8549755,22.9867569
"146","india",78.96288,20.593684
"147","madras",80.2707184,13.0826802
"149","france",2.213749,46.227638
"150","valley",-94.6474474,36.835068
"154","illinois",-89.3985283,40.6331249
"155","denver",-104.990251,39.7392358
"157","harrison",-93.1076765,36.2297936
"162","victoria",-97.0035982,28.8052674
"165","clifton",-74.1637553,40.8584328
"168","mysore",76.6393805,12.2958104
"169","surrey",-0.5599501,51.3147593
"171","sydney",151.2092955,-33.8688197
"172","worcester",-71.8022934,42.2625932
"180","marshall",-95.774913,36.0674332
"193","salisbury",-75.5993692,38.3606736
"200","reading",-0.9781303,51.4542645
"201","crystal",-93.3602286,45.0327425
"202","bombay",72.8776559,19.0759837
"203","rhodesia",29.154857,-19.015438
"210","cleveland",-81.6943605,41.49932
"211","liverpool",-76.2177046,43.106456
"214","yorkshire",-95.9250798,36.0333234
"219","transvaal",-81.1830974,43.2325617
"220","canada",-106.346771,56.130366
"226","minas",-74.0089361,40.7056988
"229","boston",-71.0588801,42.3600825
"230","heidelberg",8.6724335,49.3987524
"232","nevada",-116.419389,38.8026097
"233","new york",-74.0059728,40.7127753
"234","charters",-95.9174015,36.735155
"235","boulder",-105.2705456,40.0149856
"243","dublin",-6.2603097,53.3498053
"244","sussex",-88.2220372,43.1338972
"248","zacatecas",-102.5832426,22.7708555
"250","phila",-75.1652215,39.9525839
"255","wallaroo",-111.6593073,40.23403
"262","bedford",-97.1430671,32.844017
"263","huelva",-6.9447224,37.261421
"264","torreon",-103.4067861,25.5428443
"265","potosi",-65.7550063,-19.5722805
"270","bristol",-82.1887444,36.5951059
"273","gloucester",-70.6619888,42.6159285
"281","venezuela",-66.58973,6.42375
"282","roodepoort",27.9014654,-26.1201355
"290","republic",-95.5772066,37.2141258
"295","united states",-95.712891,37.09024
"306","eureka",-96.2891703,37.8239167
"307","vancouver",-123.1207375,49.2827291
"308","british columbia",-127.6476205,53.7266683
"311","panama",-80.782127,8.537981
"317","brazil",-51.92528,-14.235004
"318","austria",14.550072,47.516231
"319","austin",-97.7430608,30.267153
"324","tasmania",145.9706647,-41.4545196
"332","norway",8.468946,60.472024
"335","lawrence",-95.2352501,38.9716689
"337","jamaica",-77.297508,18.109581
"349","hamilton",-95.7175467,37.1929578
"353","vulcan",-86.795537,33.4917
"354","bradford",-1.759398,53.795984
"362","alabama",-86.902298,32.3182314
"367","ontario",-85.323214,51.253775
"371","robinson",-95.61584,37.01284
"388","sidney",-84.1554987,40.2842164
"404","tyrone",-79.8586696,39.6395253
"416","sudbury",-80.993029,46.4917317
"417","western",-95.7127622,37.0937489
"418","homestead",-80.4775569,25.4687224
"424","russia",105.318756,61.52401
"436","granite",-95.6236882,37.0371458
"443","berlin",13.404954,52.5200066
"444","cardiff",-3.17909,51.481581
"445","transylvania",25.2223974,46.1840561
"447","columbia",-81.0348144,34.0007104
"454","parral",-105.6666166,26.9317835
"461","broadway",-94.7053013,37.3961631
"474","florida",-81.5157535,27.6648274
"499","nottingham",-1.1581086,52.9547832
"502","sulphur",-93.3773783,30.2365943
"506","natal",30.8958242,-28.5305539
"511","richmond",-77.4360481,37.5407246
"513","franklin",-71.396725,42.0834313
"518","superior",-95.6163665,37.0373005
"519","florence",11.2558136,43.7695604
"526","smelter",-87.2063652,35.5273265
"532","vienna",16.3738189,48.2081743
"538","johnson",-95.5938233,37.0375241
"547","jordan",-97.3342624,37.9973704
"551","westmoreland",-96.8720215,32.7197562
"561","bonanza",-97.2271863,37.7489413
"563","linares",-3.6369803,38.0969098
"582","brisbane",153.0251235,-27.4697707
"591","australasia",145.491477,-29.5328037
"606","tokio",139.7690174,35.6803997
"609","congo",21.758664,-4.038333
"617","essen",-73.9801918,40.7518143
"636","princeton",-74.6550739,40.3430942
"637","continental",-75.1704529,39.9519308
"638","costa",-81.0922603,29.2079654
"644","randfontein",27.6786847,-26.1991505
"650","moscow",37.6172999,55.755826
"654","adelaide",138.6007456,-34.9284989
"668","swansea",-3.943646,51.62144
"676","puerto",-66.590149,18.220833
"680","hanover",-72.2895526,43.7022451
"689","chile",-71.542969,-35.675147
"690","darlington",-79.8761741,34.2998762
"691","argentine",-63.616672,-38.416097
"698","bingham",-111.9464736,40.5637801
"702","crawford",-94.8105955,37.455799
"707","barberton",-81.6051221,41.012833
"711","staffordshire",-2.0571868,52.8792745
"715","francisco",-122.4194155,37.7749295
"726","jackson",-110.7624282,43.4799291
"732","washington",-120.7401385,47.7510741
"749","guadalupe",-118.2760503,29.0525203
"750","bolivia",-63.588653,-16.290154
"760","armstrong",-95.8712461,36.0911292
"764","manitoba",-98.8138762,53.7608608
"775","goldfield",-117.2357131,37.7084481
"783","new jersey",-74.4056612,40.0583238
"786","tuolumne",-119.9740534,38.029655
"798","hungary",19.5033041,47.162494
"804","gregory",-95.9410531,36.7524131
"805","rutherford",-74.1068091,40.826489
"827","clausthal",10.3407069,51.8080063
"828","spanish",-80.8412207,35.0687221
"842","jersey",-2.13125,49.214439
"845","antofagasta",-70.3975022,-23.6509279
"860","kalgoorlie",121.466,-30.749
"865","stirling",-3.9369029,56.1165227
"866","trinity",-95.6305148,37.0361559
"877","devonshire",-3.530875,50.7155591
"880","zeehan",145.3379509,-41.8875165
"892","kilburn",-0.1985291,51.539813
"911","stanley",-95.156223,36.6359913
"930","perth",115.8604572,-31.9505269
"940","greenwood",-95.9872763,36.1618563
"941","jefferson",-83.5723876,34.1170537
"951","trinidad",-61.222503,10.691803
"965","belgium",4.469936,50.503887
"972","cherokee",-83.3205859,35.4770574
"973","douglas",-109.5453447,31.3445471
"974","sumatra",101.3431058,-0.589724
"976","montgomery",-86.3077368,32.3792233
"977","windsor",-95.883066,36.063109
"981","siberia",99.1966559,61.0137097
"983","montreal",-73.567256,45.5016889
"984","toronto",-79.3831843,43.653226
"985","congress",-95.712891,37.09024
"986","haileybury",-0.034171,51.77868
"992","newfoundland",-57.6604364,53.1355091
"1019","otago",170.1547567,-45.4790671
"1041","rossland",-117.8000037,49.0781415
"1049","morro",-120.8676799,35.3694186
"1054","antelope",-111.3743302,36.8619103
"1060","ladysmith",-123.8161,48.99534
"1073","oakland",-122.2711639,37.8043514
"1085","porcupine",-111.7909417,40.6189514
"1094","moctezuma",-122.2568903,47.4579901
"1120","idaho",-114.7420408,44.0682019
"1121","rico colorado",-108.03154,37.69264
"1126","yukon",-135,64.2823274
"1130","orange",-117.8531007,33.7879139
"1134","ferguson",-95.9031419,36.1024998
"1135","knights",-95.936159,36.7536564
"1150","osaka",-95.8522669,36.0458512
"1156","nicaragua",-85.207229,12.865416
"1161","diamond",-95.62863,37.0366031
"1163","aurora",-88.3200715,41.7605849
"1186","province",-94.1362701,36.3548872
"1188","celebes",120.5279,-1.8479
"1198","hickman",-92.3314112,38.9633417
"1206","kingston",-73.9973608,41.9270367
"1210","middlesboro",-83.7142848,36.6072567
"1215","gopeng",101.1654029,4.471721
"1310","macdonald",-95.6194559,37.0332889
"1315","liberia",-9.429499,6.428055
"1317","ottawa",-75.6971931,45.4215296
"1327","contra",-73.98916,40.719907
