"","loc","lon","lat"
"1","a lease for",NA,NA
"2","a profit",NA,NA
"3","adjoining districts",NA,NA
"4","advan",NA,NA
"5","afiioa",NA,NA
"6","africa",NA,NA
"7","africa and elsewhere",NA,NA
"8","africa or else",NA,NA
"9","ainsworth division",NA,NA
"10","alaska",-149.4936733,64.2008413
"11","america",NA,NA
"12","america and africa",NA,NA
"13","america and elsewhere",NA,NA
"14","anada and is",NA,NA
"15","anstralia",NA,NA
"16","any",NA,NA
"17","any part",NA,NA
"18","any part of",NA,NA
"19","april",NA,NA
"20","argyllshirc",NA,NA
"21","armenia",NA,NA
"22","ashanti",NA,NA
"23","asia",NA,NA
"24","asia minor and",NA,NA
"25","asia minor were",NA,NA
"26","australasia or e",NA,NA
"27","australasia or elsewhere",NA,NA
"28","australia",133.775136,-25.274398
"29","austria",NA,NA
"30","axim and wassamcomprisiugsn",NA,NA
"31","ayrshire were purchased",NA,NA
"32","beili",NA,NA
"33","benwell",NA,NA
"34","bhodesia",NA,NA
"35","blanca",NA,NA
"36","bohemia",NA,NA
"37","borneo or elsewhere",NA,NA
"38","british",NA,NA
"39","british central africa",NA,NA
"40","british north borneo",NA,NA
"41","british uulumbln",NA,NA
"42","burmah",NA,NA
"43","burmah and",NA,NA
"44","canada",-106.346771,56.130366
"45","carabaya",NA,NA
"46","carmarthen or elsewhere",NA,NA
"47","carmarthen or elsewhoie",NA,NA
"48","central africa",NA,NA
"49","ceylon or elsewhere",NA,NA
"50","chili and elsewhere",NA,NA
"51","close proximity to",NA,NA
"52","colombia",-74.297333,4.570868
"53","connection therewith",NA,NA
"54","cornwall",-5.0527125,50.2660471
"55","corsica",NA,NA
"56","corsica have therefore",NA,NA
"57","course of development",NA,NA
"58","cuba",NA,NA
"59","de beer s",NA,NA
"60","development andrequipment",NA,NA
"61","different parts of",NA,NA
"62","eastern",NA,NA
"63","eastern akim",NA,NA
"64","eastern akkim",NA,NA
"65","egypt",NA,NA
"66","europe and elsewhere",NA,NA
"67","europe the sum",NA,NA
"68","f",NA,NA
"69","f olar mining",NA,NA
"70","far lictter terms",NA,NA
"71","february",NA,NA
"72","federated malay states",NA,NA
"73","fouth",NA,NA
"74","french gaines",NA,NA
"75","french guinea",NA,NA
"76","fully",NA,NA
"77","german south",NA,NA
"78","gilpin and boulder",NA,NA
"79","great britain",NA,NA
"80","great britain or",NA,NA
"81","great namaqualand",NA,NA
"82","griqualand west the",NA,NA
"83","himan",NA,NA
"84","iberia",NA,NA
"85","idaho",NA,NA
"86","india",NA,NA
"87","ireland",-7.6920536,53.1423672
"88","johore",NA,NA
"89","joint account with",NA,NA
"90","jugo",NA,NA
"91","july",NA,NA
"92","kent",NA,NA
"93","khodesia owned by",NA,NA
"94","kou mania",NA,NA
"95","lafrioa",NA,NA
"96","lease from the",NA,NA
"97","llangvfelaoh",NA,NA
"98","lone canon",NA,NA
"99","madagascar",NA,NA
"100","madras",80.2707184,13.0826802
"101","malmani",NA,NA
"102","manchuria",NA,NA
"103","manic wad i",NA,NA
"104","manicaland",NA,NA
"105","mashonahud",NA,NA
"106","mashonaland",NA,NA
"107","mashonaland and elsewhere",NA,NA
"108","mashonaland and matabeleland",NA,NA
"109","mashonnland",NA,NA
"110","matabelaland",NA,NA
"111","matabeleland",NA,NA
"112","me interest in",NA,NA
"113","mexico",-102.552784,23.634501
"114","mexioo",NA,NA
"115","minas geraes",NA,NA
"116","mines geraes",NA,NA
"117","moodie s viz",NA,NA
"118","morocco and elsewhere",NA,NA
"119","morrodoouro and agualimpo",NA,NA
"120","mozambique",NA,NA
"121","mozambique or elsewhere",NA,NA
"122","NA",NA,NA
"123","namaqnaland",NA,NA
"124","namaqualand",19.3783206,-29.9786556
"125","new ca edonia",NA,NA
"126","new caledonia have",NA,NA
"127","new zealaud",NA,NA
"128","new zeolend",NA,NA
"129","nigeria",NA,NA
"130","nigeria and elsewhere",NA,NA
"131","nigeria and the",NA,NA
"132","nigeria are",NA,NA
"133","nigeria now comprise",NA,NA
"134","north africa",NA,NA
"135","north america or",NA,NA
"136","north carolina",NA,NA
"137","northern",NA,NA
"138","northern nigeria",NA,NA
"139","northern nigeria and",NA,NA
"140","northern nigeria are",NA,NA
"141","northern nigeria have",NA,NA
"142","northern nigeria the",NA,NA
"143","northern nigoria",NA,NA
"144","northern rhodesiaz",NA,NA
"145","northern rhodesiaz l",NA,NA
"146","northumberland",NA,NA
"147","norway",8.468946,60.472024
"148","nova scotia by",NA,NA
"149","oolombia",NA,NA
"150","or before",NA,NA
"151","or near the",NA,NA
"152","or under bally",NA,NA
"153","other countries",NA,NA
"154","oxfordshire",NA,NA
"155","parish of bettws",NA,NA
"156","patani",NA,NA
"157","peru",NA,NA
"158","pine river",NA,NA
"159","portuguese east africa",NA,NA
"160","possades",NA,NA
"161","pretoria and other",NA,NA
"162","question were sold",NA,NA
"163","rhodesia",-97.2134822,32.8294337
"164","ridge hill",NA,NA
"165","roumania",NA,NA
"166","russian",NA,NA
"167","s",NA,NA
"168","same",NA,NA
"169","same district for",NA,NA
"170","same district known",NA,NA
"171","senwell",NA,NA
"172","servia",NA,NA
"173","servia or elsewhere",NA,NA
"174","shaiyang",NA,NA
"175","shropshire",NA,NA
"176","siberia",99.1966559,61.0137097
"177","sonth",NA,NA
"178","sonth africa",NA,NA
"179","sonth africa or",NA,NA
"180","sonti",NA,NA
"181","sooth africa",NA,NA
"182","south",NA,NA
"183","south abrica",NA,NA
"184","south afiica",NA,NA
"185","south afr ca",NA,NA
"186","south africa",22.937506,-30.559482
"187","south africa and",NA,NA
"188","south africa as",NA,NA
"189","south africa at",NA,NA
"190","south africa or",NA,NA
"191","south africa to",NA,NA
"192","south afrioa",NA,NA
"193","south america",NA,NA
"194","south dakota",NA,NA
"195","southern nigeria",NA,NA
"196","southern rhodesin",NA,NA
"197","souti",NA,NA
"198","spain",-3.74922,40.463667
"199","tbe",NA,NA
"200","testing",NA,NA
"201","th catamarca district",NA,NA
"202","that",NA,NA
"203","the",NA,NA
"204","the above terms",NA,NA
"205","the adjoining district",NA,NA
"206","the amherst and",NA,NA
"207","the ancobra river",NA,NA
"208","the aro district",NA,NA
"209","the australian",NA,NA
"210","the australian colonics",NA,NA
"211","the australian colonies",NA,NA
"212","the balubula",NA,NA
"213","the bauchi plateau",NA,NA
"214","the bauchi province",9.8236533,10.3009641
"215","the bauchi tinfield",NA,NA
"216","the bauohi plateau",NA,NA
"217","the bcniligo gold",NA,NA
"218","the belubula",NA,NA
