loc,lon,lat
mex,-83.2841304,42.542714
argo,-95.8303265,36.2768454
ariz,-111.0937311,34.0489281
baca,-121.981146,37.303384
baku,49.8670924,40.4092617
bonn,7.0982068,50.73743
chih,-105.7820674,28.4854458
colo,-93.3152072,42.0177653
conn,-95.938194,36.750671
cuba,-77.781167,21.521757
erie,-80.085059,42.1292241
hagi,-73.9901141,40.7605204
inyo,-117.5495846,36.3091865
iola,-95.3999814,37.9244799
iowa,-93.097702,41.8780025
kobe,-97.4440675,37.7236958
lima,-77.042754,-12.0463731
mass,-71.3824374,42.4072107
mich,-85.6023643,44.3148443
minn,-94.6858998,46.729553
nova,-77.3892446,39.0250225
ohio,-82.907123,40.4172871
okla,-97.092877,35.0077519
oreg,-120.5542012,43.8041334
peru,-75.015152,-9.189967
rome,12.4963655,41.9027835
sado,138.3681401,38.0183025
taos,-105.5730665,36.4072485
tenn,-84.293351,30.445012
tong,-93.294562,37.151368
utah,-111.0937311,39.3209801
yuma,-114.6276916,32.6926512
alamo,-95.6182205,37.0362271
ameca,-104.0466547,20.5476292
aspen,-106.8175387,39.1910983
bahia,-117.2470298,32.7720616
buena,-110.2387293,31.5702518
butte,-112.5347775,46.0038232
calif,-119.4179324,36.778261
canal,-95.9347791,36.754714
cecil,-75.946324,39.5739403
cerro,-117.667777,35.5674569
chile,-71.542969,-35.675147
china,104.195397,35.86166
congo,21.758664,-4.038333
costa,-81.0922603,29.2079654
emery,-95.438301,29.675222
essen,-73.9801918,40.7518143
essex,0.4856781,51.5742447
ghana,-1.023194,7.946527
idaho,-114.7420408,44.0682019
india,78.96288,20.593684
italy,12.56738,41.87194
japan,138.252924,36.204824
jeddo,-75.8963099,40.9956401
kaslo,-116.9154503,49.9142499
korea,127.9784585,37.6639976
lyon,-105.271378,40.2247075
miami,-80.1917902,25.7616798
midas,-95.9352401,36.1481484
minas,-74.0089361,40.7056988
mingo,-95.867135,36.1666811
morro,-120.8676799,35.3694186
naica,-73.9286512,40.69457
natal,30.8958242,-28.5305539
omaha,-95.9345034,41.2565369
organ,-95.826134,36.053795
oruro,-67.0931378,-17.9716723
osaka,-95.8522669,36.0458512
otago,170.1547567,-45.4790671
ouray,-107.6714487,38.0227716
paris,2.3522219,48.856614
pasto,-77.285787,1.2058837
perth,115.8604572,-31.9505269
phila,-75.1652215,39.9525839
pinos,-97.3551624,37.6837535
pozos,-100.492788,21.225002
salem,-70.8967155,42.51954
seoul,126.9779692,37.566535
spain,-3.74922,40.463667
tamps,-97.5034227,25.8861672
tepic,-104.8945887,21.5041651
texas,-99.9018131,31.9685988
tioga,-102.938238,48.3972442
tokio,139.7690174,35.6803997
tufts,-71.1190232,42.4074843
uinta,-111.954166,40.732612
villa,-95.7002339,37.2169135
wales,-3.7837117,52.1306607
yukon,-135,64.2823274
alamos,-108.941309,27.0254869
alaska,-149.4936733,64.2008413
albany,-73.7562317,42.6525793
amador,-121.8739141,37.6679098
animas,-108.8067046,31.9496748
arizpe,-110.166564,30.3359447
athens,23.7275388,37.9838096
aurora,-88.3200715,41.7605849
austin,-97.7430608,30.267153
bagdad,44.3660671,33.315241
