loc,lon,lat
12 miles from estevan,-102.9914806,49.1390842
160 miles west of delagoa,32.7633036,-26.0828425
18 miles from johannesberg,28.0473051,-26.2041028
1n the santa eulalia district,-105.8865683,28.5954969
2 miles from otis,-123.9465021,45.0242748
250 yards west of,-123.1115025,49.2085107
50 miles from gympie,152.6657456,-26.1833529
60 miles from selukwe,29.9769441,-19.6771093
a lane b,-94.6508932,39.0489384
a road had also to,-95.712891,37.09024
a s near obumposu,-85.7467195,38.2480482
abcburch lane e,-0.0880822,51.5117034
abchurch lane b,-0.0880822,51.5117034
abchurch lane london,-0.0880822,51.5117034
abchurcli lane e,-0.0880822,51.5117034
ablett street s,-0.0555874,51.4868459
abohurch lane b,-0.0880822,51.5117034
abont s of territories,-95.712891,37.09024
abont seven miles from the,-97.1026095,33.1887798
above road level amounting approximately,-95.712891,37.09024
above water level,-97.9102647,30.4205138
academy street costbridge n,-4.0281599,55.8637316
acres s of freehold,-74.3000878,40.2136754
adam street adelphi w,-0.1215573,51.5091704
adderley street box cape town,18.4226348,-33.9224993
adderley street cape town,18.4226348,-33.9224993
addington square s,-79.325838,43.866406
addiscombe road croydon is,-0.0761666,51.3750349
addison road north,-81.0679988,33.6773343
addorlcy street cape town south,18.4226348,-33.9224993
adelaide,138.6007456,-34.9284989
adilerley street cape town south,18.4226348,-33.9224993
akron,-81.5190053,41.0814447
alameda,-122.2821855,37.7798721
alamo,-95.6182205,37.0362271
alamos,-108.941309,27.0254869
alaska,-149.4936733,64.2008413
albany,-73.7562317,42.6525793
albemarle street piccadilly w,-0.1417826,51.5089251
albemarle street w,-75.2831461,39.9452323
albert road middlesbro,-1.2349975,54.574796
albert road n,-73.5407786,40.691883
albert square manrhcster,-2.2455373,53.4795847
albert street harrogate,-1.5395551,53.9917055
alberta,-116.5765035,53.9332706
albion road west bromwlch stairs,-2.0142656,52.5155744
albion square dalston share,-0.0726365,51.5397994
albion street hanley staffs,-2.1761005,53.0237184
albion street leeds,-1.5450599,53.7983218
albsrt square manchi,-2.2455373,53.4795847
aldersgate street merchant,-0.0829683,51.5179174
alexander square s,-78.6387393,35.7790373
alexandria,-77.0469214,38.8048355
algoma,-87.4325891,44.6088884
alinorah road n,-0.4165749,50.8095651
alkham road s,-0.0694133,51.5651171
all square mil s,-95.712891,37.09024
