,id,source,original name,simplified name,year,class,loc,lon,lat
185,7,total,"abbot, bessie owen","abbot, b o",1899,VII,FALSE,,
186,10,total,"abbot, frederick b","abbot, f b",1880,II,FALSE,,
187,13,total,"abbot, joseph robertson","abbot, j r",1904,I,FALSE,,
188,28,total,"abbott, frank pierce","abbott, f p",1873,NA,FALSE,,
189,29,total,"abbott, gardner","abbott, g",1896,I,FALSE,,
190,32,total,"abbott, george w","abbott, g w",1880,II,FALSE,,
191,35,total,"abbott, john colby","abbott, j c",1886,IV,FALSE,,
192,36,total,"abbott, joseph william","abbott, j w",1897,NA,FALSE,,
193,41,total,"abbott, paul w","abbott, p w",1885,VI,FALSE,,
194,42,total,"abbott, russell chandler","abbott, r c",1907,I,FALSE,,
195,51,total,"abell, edward walter","abell, e w",1894,VI,FALSE,,
196,68,total,"adams, arthur henry","adams, a h",1890,II,FALSE,,
197,79,total,"adams, charles laban","adams, c l",1884,II,FALSE,,
198,99,total,"adams, francis mulliken","adams, f m",1894,VI,FALSE,,
199,102,total,"adams, frank william","adams, f w",1893,I,FALSE,,
200,113,total,"adams, irving ellwood","adams, i e",1904,XII,FALSE,,
201,126,total,"adams, nehemiah w","adams, n w",1874,NA,FALSE,,
202,136,total,"adams, theodore p","adams, t p",1876,NA,FALSE,,
203,143,total,"adams, william linville","adams, w l",1892,II,FALSE,,
204,152,total,"adamson, prescott","adamson, p",1886,NA,FALSE,,
205,181,total,"ahumada, miguel","ahumada, m",1907,III,FALSE,,
206,183,total,"aiken, john","aiken, j",1895,NA,FALSE,,
207,184,total,"aiken, william martin","aiken, w m",1879,NA,FALSE,,
208,211,total,"alden, edwin clement","alden, e c",1895,VI,FALSE,,
209,212,total,"alden, frank e","alden, f e",1879,IV,FALSE,,
210,242,total,"alexander, henry edward","alexander, h e",1894,XI,FALSE,,
211,294,total,"allen, ernest blake","allen, e b",1901,XIII,FALSE,,
212,301,total,"allen, elbridge gerry","allen, e g",1905,I,FALSE,,
213,303,total,"allen, frank howard","allen, f h",1869,NA,FALSE,,
214,304,total,"allen, francis l","allen, f l",1878,NA,FALSE,,
215,305,total,"allen, george howard","allen, g h",1910,VII,FALSE,,
216,312,total,"allen, horton sumner","allen, h s",1895,NA,FALSE,,
217,315,total,"allen, henry walter","allen, h w",1897,X,FALSE,,
218,318,total,"allen, joseph percival","allen, j p",1900,II,FALSE,,
219,345,total,"allen, robert chase","allen, r c",1901,NA,FALSE,,
220,346,total,"allen, robert henry","allen, r h",1876,IV,FALSE,,
221,350,total,"allen, ralph whittier","allen, r w",1896,II,FALSE,,
222,353,total,"allen, samuel edgar","allen, s e",1875,I,FALSE,,
223,360,total,"allen, william f","allen, w f",1896,NA,FALSE,,
224,377,total,"allison, james","allison, j",1887,NA,FALSE,,
225,378,total,"allison, louis m","allison, l m",1895,NA,FALSE,,
226,385,total,"allyne, samuel hinckley","allyne, s h",1898,I,FALSE,,
227,392,total,"almy, walter","almy, w",1873,NA,FALSE,,
228,429,total,"ames, frank m","ames, f m",1886,III,FALSE,,
229,436,total,"ames, joseph william","ames, j w",1898,II,FALSE,,
230,439,total,"ames, oakes","ames, o",1885,NA,FALSE,,
231,440,total,"ames, william","ames, w",1896,NA,FALSE,,
232,443,total,"ames, william oliver","ames, w o",1909,V,FALSE,,
233,444,total,"amesbury, w r","amesbury, w r",1887,NA,FALSE,,
234,445,total,"amies, annetta f","amies, a f",1892,V,FALSE,,
235,475,total,"anderson, joseph l","anderson, j l",1872,NA,FALSE,,
236,487,total,"anderson, robert","anderson, r",1897,VI,FALSE,,
237,498,total,"anderson, sarah randolph","anderson, s r",1911,VII,FALSE,,
238,501,total,"andre, santiago fortun","andre, s f",1888,I,FALSE,,
239,502,total,"andres, louis phillip","andres, l p",1895,NA,FALSE,,
240,503,total,"andrew, frederick william","andrew, f w",1896,NA,FALSE,,
241,514,total,"andrews, elisha benjamin","andrews, e b",1881,VIII,FALSE,,
242,548,total,"anthony, john gould","anthony, j g",1893,III,FALSE,,
243,549,total,"anthony, luther","anthony, l",1893,NA,FALSE,,
244,568,total,"appleton, herbert davis","appleton, h d",1900,IV,FALSE,,
245,569,total,"appleton, henry morgan","appleton, h m",1896,II,FALSE,,
246,570,total,"appleton, marjorie crane","appleton, m c",1899,NA,FALSE,,
247,594,total,"armington, everett f","armington, e f",1890,NA,FALSE,,
248,597,total,"armistead, frank noble","armistead, f n",1894,NA,FALSE,,
249,667,total,"ashley, harrison everett","ashley, h e",1900,X,FALSE,,
250,682,total,"astell, godfrey blacker","astell, g b",1905,III,FALSE,,
251,696,total,"atkins, george herbert","atkins, g h",1893,NA,FALSE,,
252,700,total,"atkinson, charles heath","atkinson, c h",1887,II,FALSE,,
253,703,total,"atkinson, frank p","atkinson, f p",1871,NA,FALSE,,
254,709,total,"atkinson, james sawyer","atkinson, j s",1881,II,FALSE,,
255,714,total,"atkinson, samuel w","atkinson, s w",1886,NA,FALSE,,
256,721,total,"atwood, alfred james","atwood, a j",1900,NA,FALSE,,
257,736,total,"atwood, herman d","atwood, h d",1877,NA,FALSE,,
258,750,total,"aulmann, george w","aulmann, g w",1886,II,FALSE,,
259,756,total,"austin, charles d","austin, c d",1874,II,FALSE,,
260,757,total,"austin, david henry","austin, d h",1877,NA,FALSE,,
261,769,total,"avery, charles henry","avery, c h",1903,II,FALSE,,
262,770,total,"avery, forrester barstow","avery, f b",1910,III,FALSE,,
263,773,total,"avery, george a","avery, g a",1870,IV,FALSE,,
264,774,total,"avery, george c","avery, g c",1876,NA,FALSE,,
265,784,total,"axson, edward william","axson, e w",1899,V,FALSE,,
266,788,total,"ayer, harry wells","ayer, h w",1885,III,FALSE,,
267,803,total,"ayres, ida","ayres, i",1900,NA,FALSE,,
268,817,total,"babbitt, samuel ward","babbitt, s w",1890,NA,FALSE,,
269,850,total,"backer, clarence a","backer, c a",1882,II,FALSE,,
270,856,total,"bacon, francis edward","bacon, f e",1887,NA,FALSE,,
271,867,total,"badger, frank sidney","badger, f s",1893,I,FALSE,,
272,879,total,"bailey, abraham","bailey, a",1868,NA,FALSE,,
273,889,total,"bailey, hayden g","bailey, h g",1889,II,FALSE,,
274,901,total,"bailey, sarah l","bailey, s l",1880,NA,FALSE,,
275,903,total,"bailey, thomas wendell","bailey, t w",1899,IV,FALSE,,
276,914,total,"baker, andrew percy","baker, a p",1903,I,FALSE,,
277,923,total,"baker, charles van","baker, c v",1887,IV,FALSE,,
278,930,total,"baker, eugene b","baker, e b",1876,NA,FALSE,,
279,936,total,"baker, franklin","baker, f",1897,III,FALSE,,
280,942,total,"baker, francis cornelius","baker, f c",1886,NA,FALSE,,
281,949,total,"baker, george m","baker, g m",1873,NA,FALSE,,
282,950,total,"baker, george v","baker, g v",1888,II,FALSE,,
283,984,total,"baker, william herbert","baker, w h",1869,I,FALSE,,
284,988,total,"bakewell, joseph hunter","bakewell, j h",1904,II,FALSE,,
285,991,total,"balcells, marian joseph","balcells, m j",1913,VII,FALSE,,
286,1000,total,"baldwin, annie f","baldwin, a f",1889,V,FALSE,,
287,1001,total,"baldwin, abraham rosecrans","baldwin, a r",1901,II,FALSE,,
288,1017,total,"baldwin, george c","baldwin, g c",1889,V,FALSE,,
289,1020,total,"baldwin, george palmer","baldwin, g p",1891,NA,FALSE,,
290,1043,total,"baldwin, william henry","baldwin, w h",1883,V,FALSE,,
291,1052,total,"ball, henry barnesley","ball, h b",1888,IV,FALSE,,
292,1063,total,"ballantine, george alexander","ballantine, g a",1893,IV,FALSE,,
293,1065,total,"ballantyne, james ray","ballantyne, j r",1887,II,FALSE,,
294,1069,total,"ballard, hetty orrilla","ballard, h o",1893,XII,FALSE,,
295,1076,total,"ballou, charles rathbone","ballou, c r",1898,IX,FALSE,,
296,1078,total,"ballou, hattie a","ballou, h a",1883,V,FALSE,,
297,1117,total,"barber, james saxton","barber, j s",1899,I,FALSE,,
298,1133,total,"bardin, isaac david","bardin, i d",1901,NA,FALSE,,
299,1140,total,"bardwell, francis newton","bardwell, f n",1895,II,FALSE,,
300,1150,total,"barker, eustis herbert","barker, e h",1892,NA,FALSE,,
301,1158,total,"barker, george gardner","barker, g g",1901,II,FALSE,,
302,1159,total,"barker, george m","barker, g m",1873,NA,FALSE,,
303,1166,total,"barker, joseph h","barker, j h",1873,NA,FALSE,,
304,1169,total,"barker, percy lewis","barker, p l",1893,NA,FALSE,,
305,1177,total,"barlow, william harvey","barlow, w h",1898,V,FALSE,,
306,1182,total,"barnard, edward herbert","barnard, e h",1874,IV,FALSE,,
307,1193,total,"barnard, moses pennock","barnard, m p",1880,II,FALSE,,
308,1194,total,"barnard, martin s","barnard, m s",1889,II,FALSE,,
309,1195,total,"barnard, theodore otis","barnard, t o",1894,NA,FALSE,,
310,1204,total,"barnes, david l","barnes, d l",1880,NA,FALSE,,
311,1205,total,"barnes, edith","barnes, e",1879,V,FALSE,,
312,1208,total,"barnes, harry w","barnes, h w",1886,II,FALSE,,
313,1228,total,"barnes, william h","barnes, w h",1873,NA,FALSE,,
314,1237,total,"barney, edward e","barney, e e",1872,NA,FALSE,,
315,1257,total,"barrett, c d","barrett, c d",1873,NA,FALSE,,
316,1260,total,"barrett, caroline whitney","barrett, c w",1894,NA,FALSE,,
317,1270,total,"barron, carlyle norris","barron, c n",1899,II,FALSE,,
318,1273,total,"barron, frank orlando","barron, f o",1887,NA,FALSE,,
319,1300,total,"barry, henry bailey","barry, h b",1902,II,FALSE,,
320,1312,total,"barter, henry alexander","barter, h a",1903,V,FALSE,,
321,1361,total,"bartlett, william h","bartlett, w h",1869,0,FALSE,,
322,1383,total,"bary, dimitri benjamin","bary, d b",1904,III,FALSE,,
323,1384,total,"basadre, george","basadre, g",1893,NA,FALSE,,
324,1389,total,"bass, alva morrison","bass, a m",1894,VI,FALSE,,
325,1394,total,"bassett, john henry","bassett, j h",1905,II,FALSE,,
326,1430,total,"bateman, charles h","bateman, c h",1872,NA,FALSE,,
327,1433,total,"bates, charles h","bates, c h",1889,VIII,FALSE,,
328,1446,total,"bates, harry wakefield","bates, h w",1888,NA,FALSE,,
329,1462,total,"bates, walter e","bates, w e",1892,NA,FALSE,,
330,1471,total,"battey, lewis b","battey, l b",1902,I,FALSE,,
331,1512,total,"beach, albert l","beach, a l",1904,II,FALSE,,
332,1519,total,"beach, irving everett","beach, i e",1894,V,FALSE,,
333,1529,total,"beal, mart a","beal, m a",1897,V,FALSE,,
334,1532,total,"beale, forrest w","beale, f w",1902,I,FALSE,,
335,1546,total,"bean, benjamin a","bean, b a",1883,II,FALSE,,
336,1570,total,"bearse, horatio b","bearse, h b",1868,NA,FALSE,,
337,1575,total,"beaton, william alexander","beaton, w a",1904,IV,FALSE,,
338,1626,total,"beecher, marcus sherman","beecher, m s",1911,XII,FALSE,,
339,1645,total,"beindorff, charles f","beindorff, c f",1886,NA,FALSE,,
340,1668,total,"belden, george f","belden, g f",1875,NA,FALSE,,
341,1687,total,"bell, john rice","bell, j r",1911,X,FALSE,,
342,1690,total,"bell, lowthian lambert","bell, l l",1905,III,FALSE,,
343,1697,total,"bell, william m","bell, w m",1877,NA,FALSE,,
344,1766,total,"berry, george stillman","berry, g s",1898,NA,FALSE,,
345,1771,total,"berton, edward f","berton, e f",1877,NA,FALSE,,
346,1785,total,"bettington, claude albermarle","bettington, c a",1907,VI,FALSE,,
347,1788,total,"betton, c grinnell","betton, c g",1879,V,FALSE,,
348,1809,total,"bicknell, frederick a","bicknell, f a",1873,IV,FALSE,,
349,1831,total,"bigelow, eugene k","bigelow, e k",1891,IX,FALSE,,
350,1842,total,"bigelow, jane poultney","bigelow, j p",1910,IV,FALSE,,
351,1850,total,"bigelow, william b","bigelow, w b",1872,IV,FALSE,,
352,1859,total,"billings, george l","billings, g l",1887,IV,FALSE,,
353,1866,total,"bingham, henry m","bingham, h m",1875,NA,FALSE,,
354,1870,total,"binney, amos","binney, a",1881,V,FALSE,,
355,1873,total,"binney, harold","binney, h",1888,VI,FALSE,,
356,1874,total,"binney, henry p","binney, h p",1871,NA,FALSE,,
357,1889,total,"birks, arthur henry","birks, a h",1901,IV,FALSE,,
358,1904,total,"bishop, gilbert c","bishop, g c",1891,IV,FALSE,,
359,1905,total,"bishop, herbert e","bishop, h e",1895,NA,FALSE,,
360,1906,total,"bishop, nathaniel h","bishop, n h",1871,NA,FALSE,,
361,1909,total,"bissell, joseph e","bissell, j e",1893,NA,FALSE,,
362,1912,total,"bissell, thomas hally","bissell, t h",1898,VI,FALSE,,
