id,place,company,text,capitalusd,capitalpound,capitalfr,capitalpeso,minerals,owns,owned,doutput,technology,loc,incor,name,role
3,aguascalientes,aguascalientes metal co.,"organized, in december 1900 in mexico. d. f., ",,,,,,,,,,,"organized, in december 1900 in mexico. d. f., ",,
4,aguascalientes,aguascalientes metal co.,35000,,,,35000,,,,,,,,,
5,aguascalientes,aguascalientes metal co.,"po, asientso ags, ",,,,,,,,,,"po, asientso ags, ",,,
6,aguascalientes,aguascalientes metal co.,copper gold silver,,,,,copper gold silver,,,,,,,,
7,aguascalientes,aguascalientes metal co.,"president, chas p doerr, aguascalientes, ags",,,,,,,,,,"aguascalientes, ags",,chas p doerr,president
8,aguascalientes,aguascalientes metal co.,"secretary, victor hunter, chapala, jal",,,,,,,,,,"chapala, jal",,victor hunter,secretary
9,aguascalientes,aguascalientes metal co.,"grl mgr, albert doerr, asientos, ags",,,,,,,,,,"asientos, ags",,albert doerr,grl mgr
10,aguascalientes,aguascalientes metal co.,"purch agt, albert doerr, asientos, ags",,,,,,,,,,"asientos, ags",,albert doerr,purch agt
11,aguascalientes,aguascalientes metal co.,"superit, jesus g macias, asientos, ags",,,,,,,,,,"asientos, ags",,jesus g macias,superit
12,aguascalientes,aguascalientes metal co.,"master mech., paul leder, asientos, ags",,,,,,,,,,"asientos, ags",,paul leder,master mech.
14,aguascalientes,cia min la fortuna sa,"organized, in aguascalientes in 1902, ",,,,,,,,,,,"organized, in aguascalientes in 1902, ",,
15,aguascalientes,cia min la fortuna sa,200000,,,,200000,,,,,,,,,
16,aguascalientes,cia min la fortuna sa,"location& po, tepezala, ags, ",,,,,,,,,,"location& po, tepezala, ags, ",,,
17,aguascalientes,cia min la fortuna sa,silver copper,,,,,silver copper,,,,,,,,
18,aguascalientes,cia min la fortuna sa,"manager, gabriel chavez, ",,,,,,,,,,,,gabriel chavez,manager
20,aguascalientes,compania minera san geronimo sa,"organized, in mexico in 1922, ",,,,,,,,,,,"organized, in mexico in 1922, ",,
21,aguascalientes,compania minera san geronimo sa,212 725,,,,212 725,,,,,,,,,
22,aguascalientes,compania minera san geronimo sa,"location& po, asientos, ags, ",,,,,,,,,,"location& po, asientos, ags, ",,,
23,aguascalientes,compania minera san geronimo sa,"mexico city office, ave uruguay 56, rooms 213, ",,,,,,,,,,"mexico city office, ave uruguay 56, rooms 213, ",,,
24,aguascalientes,compania minera san geronimo sa,copper silver,,,,,copper silver,,,,,,,,
25,aguascalientes,compania minera san geronimo sa,"president, raoul mill, mexico, df",,,,,,,,,,"mexico, df",,raoul mill,president
26,aguascalientes,compania minera san geronimo sa,"secr, h cassereau, mexico, df",,,,,,,,,,"mexico, df",,h cassereau,secr
27,aguascalientes,compania minera san geronimo sa,"treas, alf jean, mexico, df",,,,,,,,,,"mexico, df",,alf jean,treas
28,aguascalientes,compania minera san geronimo sa,"grl mgr, f defosse, mexico, df",,,,,,,,,,"mexico, df",,f defosse,grl mgr
29,aguascalientes,compania minera san geronimo sa,"purch agt, f defosse, mexico, df",,,,,,,,,,"mexico, df",,f defosse,purch agt
31,aguascalientes,compania min socorro y an sa,"location& po, asientos, ags, ",,,,,,,,,,"location& po, asientos, ags, ",,,
32,aguascalientes,compania min socorro y an sa,"manager, gabriel chavez, ",,,,,,,,,,,,gabriel chavez,manager
33,aguascalientes,compania min socorro y an sa,2800,,,,2800,,,,,,,,,
35,aguascalientes,minerva mining co. s. a.,"organized, on september 11. 1925., ",,,,,,,,,,,"organized, on september 11. 1925., ",,
36,aguascalientes,minerva mining co. s. a.,800000,,,,800000,,,,,,,,,
37,aguascalientes,minerva mining co. s. a.,"location & p. o., asientos, ags ., ",,,,,,,,,,"location & p. o., asientos, ags ., ",,,
38,aguascalientes,minerva mining co. s. a.,gold silver. copper lead zinc.,,,,,gold silver. copper lead zinc.,,,,,,,,
38,aguascalientes,minerva mining co. s. a.,this company owns the minerva mine.,,,,,,this company owns the minerva mine.,,,,,,,
39,aguascalientes,minerva mining co. s. a.,"mill name, minerva ., ",,,,,,,,,,"mill name, minerva ., ",,,
40,aguascalientes,minerva mining co. s. a.,"mill location, asientos, · ags., ",,,,,,,,,,"mill location, asientos, · ags., ",,,
41,aguascalientes,minerva mining co. s. a.,"flotation & concentration., ",,,,,,,,,flotation & concentration.,,,,
42,aguascalientes,minerva mining co. s. a.,"daily out put, 300 metric tons., ",,,,,,,,300 metric tons.,,,,,
43,aguascalientes,minerva mining co. s. a.,"president, george h. theiss., ",,,,,,,,,,,,george h. theiss.,president
44,aguascalientes,minerva mining co. s. a.,"vice press, henry wyman, apartado 7, zacatecas",,,,,,,,,,"apartado 7, zacatecas",,henry wyman,vice press
45,aguascalientes,minerva mining co. s. a.,"scr & treas, j . h. duff., ",,,,,,,,,,,,j . h. duff.,scr & treas
46,aguascalientes,minerva mining co. s. a.,"grl mgr, henry wyman, zacatecas, zac.",,,,,,,,,,"zacatecas, zac.",,henry wyman,grl mgr
47,aguascalientes,minerva mining co. s. a.,"attorney, g. borrego., ",,,,,,,,,,,,g. borrego.,attorney
48,aguascalientes,minerva mining co. s. a.,"superintendent, r. s. ayers, asientos, ags.",,,,,,,,,,"asientos, ags.",,r. s. ayers,superintendent
49,aguascalientes,minerva mining co. s. a.,"mine spt, j. powers, asientos, ags.",,,,,,,,,,"asientos, ags.",,j. powers,mine spt
50,aguascalientes,minerva mining co. s. a.,"spt of power, .j. kaufer, asientos, ags.",,,,,,,,,,"asientos, ags.",,.j. kaufer,spt of power
52,baja california.,compañia del boleo,"organized, in paris france on may 16. 1885 ·, ",,,,,,,,,,,"organized, in paris france on may 16. 1885 ·, ",,
53,baja california.,compañia del boleo,12000000,,,,,,,,,,,,,
54,baja california.,compañia del boleo,"locaticn & p. o., sta. rosalia, baja california., ",,,,,,,,,,"locaticn & p. o., sta. rosalia, baja california., ",,,
55,baja california.,compañia del boleo,"foreign office, 58 rue de provence, paris ·, ",,,,,,,,,,"foreign office, 58 rue de provence, paris ·, ",,,
56,baja california.,compañia del boleo,"mexico city office, a.venida capuchinas 44, manager., mr l majar",,,,,,,,,,"mexico city office, a.venida capuchinas 44, manager., mr l majar",,,
57,baja california.,compañia del boleo,copper,,,,,copper,,,,,,,,
57.5,baja california.,compañia del boleo,"owns, the providencia, purgatorio, soledad and other mines, rosalia, b . c .",,,,,,"the providencia, purgatorio, soledad and other mines",,,,,,,
58,baja california.,compañia del boleo,"mill location, sta. rosalia, b. c ·, ",,,,,,,,,,"mill location, sta. rosalia, b. c ·, ",,,
59,baja california.,compañia del boleo,"daily out put, 800 me trie tons., ",,,,,,,,800 me trie tons.,,,,,
