"","id","company","text","capitalusd","capitalpound","capitalfr","capitalpeso","minerals","owns","owned","doutput","technology","incor","name","role","lastname","middlename","firstname","simpname","loc","lon","lat"
"1",3,"aguascalientes metal co.","organized, in december 1900 in mexico. d. f., ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"organized, in december 1900 in mexico. d. f., ",NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"2",4,"aguascalientes metal co.","35000",NA,NA,NA,"35000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"3",5,"aguascalientes metal co.","po, asientso ags, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asientso ags",-102.0890156,22.2384759
"4",6,"aguascalientes metal co.","copper gold silver",NA,NA,NA,NA,"copper gold silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"5",7,"aguascalientes metal co.","president, chas p doerr, aguascalientes, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chas p doerr","president","doerr","p","chas","doerr, c p","aguascalientes ags",-102.2915677,21.8852562
"6",8,"aguascalientes metal co.","secretary, victor hunter, chapala, jal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"victor hunter","secretary","hunter",NA,"victor","hunter, v","chapala jal",-103.1846016,20.3051576
"7",9,"aguascalientes metal co.","grl mgr, albert doerr, asientos, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"albert doerr","grl mgr","doerr",NA,"albert","doerr, a","asientos ags",-102.0890156,22.2384759
"8",10,"aguascalientes metal co.","purch agt, albert doerr, asientos, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"albert doerr","purch agt","doerr",NA,"albert","doerr, a","asientos ags",-102.0890156,22.2384759
"9",11,"aguascalientes metal co.","superit, jesus g macias, asientos, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jesus g macias","superit","macias","g","jesus","macias, j g","asientos ags",-102.0890156,22.2384759
"10",12,"aguascalientes metal co.","master mech., paul leder, asientos, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paul leder","master mech.","leder",NA,"paul","leder, p","asientos ags",-102.0890156,22.2384759
"11",14,"cia min la fortuna sa","organized, in aguascalientes in 1902, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"organized, in aguascalientes in 1902, ",NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"12",15,"cia min la fortuna sa","200000",NA,NA,NA,"200000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"13",16,"cia min la fortuna sa","location& po, tepezala, ags, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tepezala ags",-102.1738022,22.2241419
"14",17,"cia min la fortuna sa","silver copper",NA,NA,NA,NA,"silver copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"15",18,"cia min la fortuna sa","manager, gabriel chavez, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gabriel chavez","manager","chavez",NA,"gabriel","chavez, g","aguascalientes",-102.2915677,21.8852562
"16",20,"compania minera san geronimo sa","organized, in mexico in 1922, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"organized, in mexico in 1922, ",NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"17",21,"compania minera san geronimo sa","212 725",NA,NA,NA,"212 725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"18",22,"compania minera san geronimo sa","location& po, asientos, ags, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asientos ags",-102.0890156,22.2384759
"19",23,"compania minera san geronimo sa","mexico city office, ave uruguay 56, rooms 213, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ave uruguay rooms",-54.9390177,-34.9503258
"20",24,"compania minera san geronimo sa","copper silver",NA,NA,NA,NA,"copper silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
"21",25,"compania minera san geronimo sa","president, raoul mill, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raoul mill","president","mill",NA,"raoul","mill, r","mexico df",-99.133208,19.4326077
"22",26,"compania minera san geronimo sa","secr, h cassereau, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"h cassereau","secr","cassereau",NA,"h","cassereau, h","mexico df",-99.133208,19.4326077
"23",27,"compania minera san geronimo sa","treas, alf jean, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alf jean","treas","jean",NA,"alf","jean, a","mexico df",-99.133208,19.4326077
"24",28,"compania minera san geronimo sa","grl mgr, f defosse, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f defosse","grl mgr","defosse",NA,"f","defosse, f","mexico df",-99.133208,19.4326077
"25",29,"compania minera san geronimo sa","purch agt, f defosse, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f defosse","purch agt","defosse",NA,"f","defosse, f","mexico df",-99.133208,19.4326077
"26",31,"compania min socorro y an sa","location& po, asientos, ags, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asientos ags",-102.0890156,22.2384759
"27",32,"compania min socorro y an sa","manager, gabriel chavez, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gabriel chavez","manager","chavez",NA,"gabriel","chavez, g","aguascalientes",-102.2915677,21.8852562
"28",33,"compania min socorro y an sa","2800",NA,NA,NA,"2800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562
