"","id","company","text","capitalusd","capitalpound","capitalfr","capitalpeso","minerals","owns","owned","doutput","technology","incor","name","role","lastname","middlename","firstname","simpname","loc","lon","lat","year","usdtopound","poundtousd","yentousd","frtousd","mxtousd","bolivusd","capital"
"1","mmm3","aguascalientes metal co.","organized, in december 1900 in mexico. d. f., ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"organized, in december 1900 in mexico. d. f., ",NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"2","mmm4","aguascalientes metal co.","35000",NA,NA,NA,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,16916.38473
"3","mmm5","aguascalientes metal co.","po, asientso ags, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asientso ags",-102.0890156,22.2384759,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"4","mmm6","aguascalientes metal co.","copper gold silver",NA,NA,NA,NA,"copper gold silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"5","mmm7","aguascalientes metal co.","president, chas p doerr, aguascalientes, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chas p doerr","president","doerr","p","chas","doerr, c p","aguascalientes ags",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"6","mmm8","aguascalientes metal co.","secretary, victor hunter, chapala, jal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"victor hunter","secretary","hunter",NA,"victor","hunter, v","chapala jal",-103.1846016,20.3051576,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"7","mmm9","aguascalientes metal co.","grl mgr, albert doerr, asientos, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"albert doerr","grl mgr","doerr",NA,"albert","doerr, a","asientos ags",-102.0890156,22.2384759,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"8","mmm10","aguascalientes metal co.","purch agt, albert doerr, asientos, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"albert doerr","purch agt","doerr",NA,"albert","doerr, a","asientos ags",-102.0890156,22.2384759,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"9","mmm11","aguascalientes metal co.","superit, jesus g macias, asientos, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jesus g macias","superit","macias","g","jesus","macias, j g","asientos ags",-102.0890156,22.2384759,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"10","mmm12","aguascalientes metal co.","master mech., paul leder, asientos, ags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paul leder","master mech.","leder",NA,"paul","leder, p","asientos ags",-102.0890156,22.2384759,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"11","mmm14","cia min la fortuna sa","organized, in aguascalientes in 1902, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"organized, in aguascalientes in 1902, ",NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"12","mmm15","cia min la fortuna sa","200000",NA,NA,NA,2e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,96665.0556
"13","mmm16","cia min la fortuna sa","location& po, tepezala, ags, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tepezala ags",-102.1738022,22.2241419,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"14","mmm17","cia min la fortuna sa","silver copper",NA,NA,NA,NA,"silver copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"15","mmm18","cia min la fortuna sa","manager, gabriel chavez, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gabriel chavez","manager","chavez",NA,"gabriel","chavez, g","aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"16","mmm20","compania minera san geronimo sa","organized, in mexico in 1922, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"organized, in mexico in 1922, ",NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"17","mmm21","compania minera san geronimo sa","212 725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"18","mmm22","compania minera san geronimo sa","location& po, asientos, ags, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asientos ags",-102.0890156,22.2384759,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"19","mmm23","compania minera san geronimo sa","mexico city office, ave uruguay 56, rooms 213, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ave uruguay rooms",-54.9390177,-34.9503258,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"20","mmm24","compania minera san geronimo sa","copper silver",NA,NA,NA,NA,"copper silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aguascalientes",-102.2915677,21.8852562,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"21","mmm25","compania minera san geronimo sa","president, raoul mill, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raoul mill","president","mill",NA,"raoul","mill, r","mexico df",-99.133208,19.4326077,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"22","mmm26","compania minera san geronimo sa","secr, h cassereau, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"h cassereau","secr","cassereau",NA,"h","cassereau, h","mexico df",-99.133208,19.4326077,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"23","mmm27","compania minera san geronimo sa","treas, alf jean, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alf jean","treas","jean",NA,"alf","jean, a","mexico df",-99.133208,19.4326077,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"24","mmm28","compania minera san geronimo sa","grl mgr, f defosse, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f defosse","grl mgr","defosse",NA,"f","defosse, f","mexico df",-99.133208,19.4326077,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
"25","mmm29","compania minera san geronimo sa","purch agt, f defosse, mexico, df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f defosse","purch agt","defosse",NA,"f","defosse, f","mexico df",-99.133208,19.4326077,1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,NA,NA
