"","id","year","company","capital","minerals","owns","owned","doutput","technology","incor","loc","text","lastname","firstname","middlename","prof"
"1","mmm9",1926,"aguascalientes metal co.",NA,NA,NA,NA,NA,NA,NA,"asientos ags","grl mgr, albert doerr, asientos, ags","dodsworth","albert",NA,"grl mgr"
"2","mmm17",1926,"cia min la fortuna sa",NA,"silver copper",NA,NA,NA,NA,NA,"aguascalientes","silver copper",NA,NA,NA,NA
"3","mmm24",1926,"compania minera san geronimo sa",NA,"copper silver",NA,NA,NA,NA,NA,"aguascalientes","copper silver",NA,NA,NA,NA
"4","mmm29",1926,"compania minera san geronimo sa",NA,NA,NA,NA,NA,NA,NA,"mexico df","purch agt, f defosse, mexico, df","deferred","f",NA,"purch agt"
"5","mmm31",1926,"compania min socorro y an sa",NA,NA,NA,NA,NA,NA,NA,"asientos ags","location& po, asientos, ags, ",NA,NA,NA,NA
"6","mmm36",1926,"minerva mining co. s. a.",386660.2224,NA,NA,NA,NA,NA,NA,"aguascalientes","800000",NA,NA,NA,NA
"7","mmm40",1926,"minerva mining co. s. a.",NA,NA,NA,NA,NA,NA,NA,"asientos ags","mill location, asientos, · ags., ",NA,NA,NA,NA
"8","mmm41",1926,"minerva mining co. s. a.",NA,NA,NA,NA,NA,"flotation & concentration.",NA,"aguascalientes","flotation & concentration., ",NA,NA,NA,NA
"9","mmm65",1926,"compañia del boleo",NA,NA,NA,NA,NA,NA,NA,"sta rosalia bc","grl. Spt, x. gélinier, sta. rosalia, b. c .","geiger","x",NA,"grl. Spt"
"10","mmm71",1926,"compañia del boleo",NA,NA,NA,NA,NA,NA,NA,"sta rosalia bc","master mech., a. janison, sta. rosalia, b. c.","jamoe","a",NA,"master mech."
"11","mmm75",1926,"cia y reduccion del golfo s. a.",NA,NA,NA,NA,NA,NA,NA,"st tucson ariz","foreign office, 40 w. congress st. tucson, ariz., ",NA,NA,NA,NA
"12","mmm106",1926,"cia. Minera astreas y otros",NA,NA,NA,NA,NA,NA,NA,"libertad chihuahua chih","location & p. o., calle libertad 311, chihuahua, chih.",NA,NA,NA,NA
"13","mmm107",1926,"cia. Minera astreas y otros",NA,"silver lead.",NA,NA,NA,NA,NA,"chihuahua","silver lead.",NA,NA,NA,NA
"14","mmm111",1926,"cia. Minera cienega sa",NA,NA,NA,NA,NA,NA,NA,"moris chih","location, moris, chih., ",NA,NA,NA,NA
"15","mmm125",1926,"cia. minera de naica",NA,NA,NA,NA,NA,NA,NA,"naica chih","manager, jose de steffano, naica, chih.","stefano","jose","de","manager"
"16","mmm131",1926,"cia. minera de plomo s. a.",NA,NA,NA,NA,NA,NA,NA,"los lamentos chih","superintendent, karl i. mohler., los lamentos, chih.",NA,NA,NA,NA
"17","mmm143",1926,"cia. min. de san patricio s. a.",NA,NA,NA,NA,NA,NA,NA,"parral chih","grl. spt., a. w. morris, parral, chih.","morrell","abraham",NA,"grl. spt."
"18","mmm149",1926,"cia . min . erupcion y an. s. a.",NA,NA,NA,NA,NA,NA,NA,"warren ariz","president, l. d. ricketts, warren, ariz.","rickardn","l",NA,"president"
