"","id","year","company","capital","office","yearg","situated","mine","loc","text","lastname","firstname","middlename","prof"
"1","myb529",1887,"ALSTON MOOR MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"newcastle","Office.",NA,NA,NA,NA
"2","myb3204",1887,"CAEGYNON LEAD MINING COMPANY",NA,NA,NA,NA,NA,"exchange street east","an unregistered agreement dated December 16th, 1885, and made between F. L.",NA,NA,NA,NA
"3","myb3654",1887,"COMPANY LIMITED",NA,"london road car company",NA,NA,NA,"london","Alex. Brogden, J.P., Director of the Etheridge Gold Field, Chairman. J. H. Mace, Director of the London Road Car Company.","brogden","alex",NA,"chair"
"4","myb5735",1887,"ITERION GOLD MINING COMPANY",NA,NA,NA,NA,NA,"london","Estimated Production.",NA,NA,NA,NA
"5","myb7805",1887,"EMPRESS LIMITED",NA,NA,NA,NA,NA,"eureka","cost, as compared with that necessary to raise it to the surface of each separate mine, and again",NA,NA,NA,NA
"6","myb7875",1887,"ENGLISH AND AUSTRALIAN COPPER CO LTD",NA,NA,NA,NA,NA,"australia","£140,000 £2 shares, £1 10s. paid up.",NA,NA,NA,NA
"7","myb12707",1887,"LIVINGSTONE GOLD MINING COMPANY",NA,NA,NA,NA,NA,"queensland","wero allotted to the vendor in part payment for the property, and the remaining",NA,NA,NA,NA
"8","myb16038",1887,"GOLD FIELDS LIMITED",NA,NA,NA,NA,NA,"transvaal","was for Lisbon £30,000, 4 per cent, on which is £1,200 : for Berlyn £45,000, 4 per cent, on which",NA,NA,NA,NA
"9","myb20811",1887,"INTERIM",NA,NA,NA,NA,NA,"hocking","quantity of rock fallen, and still falling at the latest date, makes working this part of the",NA,NA,NA,NA
"10","myb21824",1887,"SMELTING COMPANY LIMITED",NA,NA,NA,NA,NA,"cromwell road s","Edgar P. Rathbone, Assoc. Mem. Inst. C.E., M. American Inst. M.E., 2, Great",NA,NA,NA,NA
"11","myb23433",1887,"THARSIS SULPHUR AND COPPER COMPANY",NA,NA,NA,NA,NA,"spain","Valuations. These have been carefully gone over by the directors and auditors. The stock",NA,NA,NA,NA
"12","myb25471",1887,"VVEST KITTY MINES LIMITED",NA,NA,NA,NA,NA,"camborne","£15 13s. 6d. ; tin sales 60 tons 3J cwts £3,685 3s.; extra carriage, £12 Os. 6d.;",NA,NA,NA,NA
"13","myb26354",1888,"ALMADA AND TIRITO COMPANY LIMITED",NA,NA,NA,NA,NA,"san francisco","thought most advantageous by Mr. Sanchez, and the recent discovery of rich ore will greatly",NA,NA,NA,NA
"14","myb32471",1888,"DOLCOATH MINING COMPANY",NA,NA,NA,NA,NA,"camborne","of 1867 £305,395.",NA,NA,NA,NA
"15","myb43522",1888,"OPAL MINES OF QUEENSLAND LIMITED",NA,NA,NA,NA,NA,"queensland","Thomas Archer, C.M.G. | Charles Sidey.","archibald","thomas",NA,"board"
"16","myb43522",1888,"OPAL MINES OF QUEENSLAND LIMITED",NA,NA,NA,NA,NA,"queensland","Thomas Archer, C.M.G. | Charles Sidey.","sidebottom","charles",NA,"board"
"17","myb45004",1888,"POTOSI LIMITED",NA,NA,NA,NA,NA,"potosi","The debentures of the old company amounting to £18,250, together with",NA,NA,NA,NA
"18","myb49945",1888,"TION GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"valley","gold. For more than a quarter of a century I have expected this district to come up to some of",NA,NA,NA,NA
"19","myb61192",1889,"BUENA ESPERANZA SYNDICATE LIMITED",NA,NA,NA,NA,NA,"mexico","Offices.",NA,NA,NA,NA
"20","myb61590",1889,"CALLINGTON UNITED MINES LIMITED",486854.9172,NA,NA,NA,NA,"london","The authorised capital is £100,000, in shares of £1 each, of which £55,000",NA,NA,NA,NA
"21","myb61891",1889,"CANTABRIAN COPPER MINES LIMITED",NA,NA,NA,NA,NA,"swansea","the quality of the ore is of the most satisfactory character, and they believe that, at all events",NA,NA,NA,NA
"22","myb63210",1889,"CORSICAN COPPER AND CHEMICAL COMPANY",NA,NA,NA,NA,NA,"london","Directors.",NA,NA,NA,NA
"23","myb74563",1889,"PINOS ALTOS BULLION COMPANY LIMITED",NA,NA,NA,NA,NA,"pinos","Directors.",NA,NA,NA,NA
"24","myb75642",1889,"RED ROCK GOLD MINING COMPANY LIMITED",NA,NA,NA,"nine miles in a",NA,"nine miles in a","acquiring and working a mining property situated about nine miles in a north",NA,NA,NA,NA
"25","myb78598",1889,"TILT COVE COPPER COMPANY LIMITED",NA,NA,NA,NA,NA,"queen street place e","cent, interest.",NA,NA,NA,NA
"26","myb82415",1889,"CHIMES GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"heidelberg","October, 1889. Latest price, 1889, 4|.",NA,NA,NA,NA
"27","myb83751",1889,"EUREKA GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"eureka","passed at a previous meeting for the winding-np of the company, the property",NA,NA,NA,NA
"28","myb84883",1889,"GREAT LAXEY BLACK BEEF GOLD",NA,NA,NA,NA,NA,"leadenhall street b","skilful management and capital only are required to bring the enterprise t a successful issue.",NA,NA,NA,NA
"29","myb85618",1889,"KIMBERLEY CENTRAL DIAMOND MINING COMPANY",NA,NA,NA,NA,NA,NA,"the company took over the Kimberley North Block Diamond Mining Company,",NA,NA,NA,NA
"30","myb86375",1889,"COMPANY LIMITED",NA,NA,NA,NA,NA,"london","the 1st February, 1890.",NA,NA,NA,NA
"31","myb86666",1889,"LUIPAARD S VLEI GOLD MINING COMPANY",NA,NA,NA,NA,NA,"johannesburg","1889, to £80,000 in £1 shares. The accounts for the half-year ending the Slsi",NA,NA,NA,NA
"32","myb92798",1889,"WEST BATTERY REEF GOLD MINING COMPANY",NA,NA,NA,NA,NA,"transvaal","mining lease. The estates cover an area of about 16,000 acres. Tlie two farms",NA,NA,NA,NA
"33","myb95409",1891,"BLAEN TWYMYN MINING SYNDICATE LIMITED",NA,NA,NA,NA,NA,"wales","being exhausted.",NA,NA,NA,NA
"34","myb99379",1891,"DEVON GREAT CONSOLS COMPANY LIMITED",NA,NA,NA,NA,NA,"bedford","payable on the 26th September, 1887. 127 shares have been forfeited.",NA,NA,NA,NA
"35","myb101891",1891,"GOLDEN CHANCE MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"montana","its twoHmd-a-half years work £106,000, will, it is hoped, by a limited expenditure upon new",NA,NA,NA,NA
"36","myb106155",1891,"MOUNT ALBION SILVEH",NA,NA,NA,NA,NA,"colorado","titles total area 72 acres , three claims area 11 acres , six mill sites area 30",NA,NA,NA,NA
"37","myb108615",1891,"NORTH AUSTRALIAN MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"stirling","Auditor. Solicitors. Bankers.",NA,NA,NA,NA
"38","myb109170",1891,"OOREGTJM GOLD",NA,NA,NA,NA,NA,"mysore","of plant, &e. ; £2,500 went for debenture bonns ; £3,000 was placed to suspense",NA,NA,NA,NA
"39","myb113609",1891,"STERLING GOLD MINES MONTANA LIMITED",NA,NA,1886,NA,NA,"helena","This company was registered on the 29th October, 1886, for the purpose of",NA,NA,NA,NA
"40","myb119314",1891,"EDWIN BRAY GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"barberton","capital was increased in December, 1890, from £65,000, by the creation of 10,000",NA,NA,NA,NA
"41","myb120661",1891,"GRIQUALAND WEST DIAMOND MINING COMPANY",NA,NA,NA,NA,NA,"london","100 shares or part thereof, and Id. per share for colonial stamp duty. Shares",NA,NA,NA,NA
"42","myb122442",1891,"MAY CONSOLIDATED GOLD MINING COMPANY",NA,NA,NA,NA,NA,"the randt","stated as follows",NA,NA,NA,NA
"43","myb122830",1891,"NATAL GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"london","Mr. Ritchie, who first made the discovery, and is now down some 23 feet in a cross-cut feet",NA,NA,NA,NA
"44","myb123100",1891,"NEW PRIMROSE GOLD",NA,NA,NA,NA,NA,"london","stated : During the past eix months, the gross profit from mining operations was £9,936 16s. fed.",NA,NA,NA,NA
"45","myb124975",1891,"UTH AFRICAN GOLD TRUST AND AGENCY",NA,NA,NA,NA,NA,"england","31st Dec., ... 2s. 6d. ... 17s. Od.",NA,NA,NA,NA
"46","myb125056",1891,"CORPORATION LIMITED",NA,NA,NA,NA,NA,"marshall","cent, dividend on the ordinary shares. The founders shares were originally",NA,NA,NA,NA
"47","myb138780",1893,"MINERALS SYNDICATE LIMITED",22641.05,NA,NA,NA,NA,"italy","have been issued and £215 per share called up, making the paid-up capital £4,655.",NA,NA,NA,NA
"48","myb138987",1893,"MINING AND FINANCIAL TRUST SYNDICATE",NA,NA,NA,NA,NA,"london","226 THE MIKING .",NA,NA,NA,NA
"49","myb142373",1893,"COMPANY LIMITED",NA,NA,NA,NA,NA,"colorado","Company, Limited. These two companies have since been wound np.",NA,NA,NA,NA
"50","myb144114",1893,"BIO TINTO",NA,NA,NA,NA,NA,"plant at cwm avon granrr","arc registered and to bearer. The shares and both elasses of bonds are quoted",NA,NA,NA,NA
"51","myb144827",1893,"SAN BERNARDO MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"london","held on tho 29th December, 1891, stated as follows :",NA,NA,NA,NA
"52","myb146139",1893,"SPANISH ANTIMONY COMPANY LIMITED",NA,NA,NA,NA,NA,"honduras","have been issued, inclnding 10,000 credited as paid.",NA,NA,NA,NA
"53","myb151344",1893,"DE BEERS CONSOLIDATED MINES LIMITED",NA,NA,NA,NA,NA,"london","and 3,239, 134 loads washed as well as the remaining stock of blue ground at lhitoits-pan",NA,NA,NA,NA
"54","myb155671",1893,"NEW CHIMES GOLD MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"london","Secretary. Offices.",NA,NA,NA,NA
