okupa,trans
hauptmann,captain
actuar,actuar
adjutant,adjutant
adminis,adminis
advocat,advocat
akademist,academist
apotheker,pharmacist
arbeiter,workers
arkanist,arcanist
assessor,assessor
assistant,assistant
audit,audit
banquier,banquier
beamter,official
besitzer,owner
bibliothekar,librarian
brenner,burner
cafetier,cafetier
candidat,candidat
cassirer,cassirer
chemiker,Chemist
chemniker,chemist
commmissar,commmissar
conducteur,conducteur
copist,copist
dichter,poet
director,director
fabrikant,manufacturer
factor,factor
fahrer,driver
freiherr,baron
führer,leader
gärtner,gardener
gouverneur,governor
händler,dealer
hülfe,help
ingeni,ingeni
insp,insp
kämmerer,chamberlain
kaufman,kaufman
kaufmann,Merchant
leher,learner
lehrer,teacher
literat,literat
magnat,magnate
major,major
maler,painter
markscheider,markscheider
mechanicus,mechanicus
meister,master
militair,militair
militär,military
minister,minister
mitglied,member
officer,officer
offici,offici
offizier,officer
pension,pension
pfarrer,pastor
phil,phil
praktikant,intern
präsident,president
prof,prof
professor,professor
schreiber,clerk
secret,secret
soldat,soldier
srath,srath
starb,died
student,college student
studirt,studies
techniker,technician
unternehmer,entrepreneur
verwalter,administrator
werk,plant
zrath,council
