"id","shares","at"
"myb9892",6500,NA
"myb19004",12000,NA
"myb22491",5233,NA
"myb22569",4500,NA
"myb25062",40000,NA
"myb25198",6000,NA
"myb25443",6144,NA
"myb25561",6144,NA
"myb25668",6000,NA
"myb25697",4295,NA
"myb25728",2000,NA
"myb20966",68000,1
"myb19254",1e+05,NA
"myb20426",23,NA
"myb20746",3000,NA
"myb22243",6123,NA
"myb22792",900,NA
"myb24800",55477,NA
"myb25458",3000,NA
"myb19255",97500,1.25
"myb19256",185,NA
"myb20320",103500,NA
"myb22791",1000,NA
"myb9172",125000,100
"myb9438",12000,NA
"myb9801",10240,NA
"myb10526",2150,NA
"myb25853",16060,NA
"myb2522",37260,NA
"myb2537",200,NA
"myb3013",200,NA
"myb3500",50000,NA
"myb3915",6000,NA
"myb17967",53395,NA
"myb5248",510000,NA
"myb18318",3500,NA
"myb5389",4900,NA
"myb19149",40000,NA
"myb22947",56667,NA
"myb24568",50000,NA
"myb25466",4800,NA
"myb25637",12000,NA
"myb16278",3297,NA
"myb16664",11854,NA
"myb270",8011,NA
"myb17306",60600,NA
"myb17770",25000,10
"myb6328",3000,NA
"myb7395",40000,NA
"myb23465",6000,NA
"myb11975",2000,NA
"myb12143",7000,3
"myb12346",2155,NA
"myb12541",2500,NA
"myb13390",2500,2
"myb13620",1e+05,1
"myb13740",3000,NA
"myb15553",2450,NA
"myb16914",25000,1
"myb25032",9751,NA
"myb25545",6000,NA
"myb16277",9083,NA
"myb11629",6000,NA
"myb11944",5000,NA
"myb7327",2048,NA
"myb7450",28251,NA
"myb8036",11500,NA
"myb7186",1e+05,1
"myb16046",240000,NA
"myb6843",4700,NA
"myb7244",6144,NA
"myb15510",50000,NA
"myb16732",2000,NA
"myb56909",25000,NA
"myb58702",21525,1
"myb56910",9000,NA
"myb31722",136392,NA
"myb31788",38400,NA
"myb32464",4700,NA
"myb57555",400,25
"myb48655",1000,NA
"myb48656",900,NA
"myb49394",2443,NA
"myb50175",150000,1
"myb50266",15740,NA
"myb51121",6000,1
"myb27057",75000,NA
"myb51713",121140,NA
"myb27265",120000,1
"myb28336",27250,NA
"myb28792",10000,NA
"myb29567",12000,NA
