source,year,simpname,nationality,edu,prof,org,loc,lon,lat,country
taime,1905,"aarons, j j",,,,,kalgoorlie australia,121.466,-30.749,australia
taime,1876,"abadie, e e",,,,,georgetown colorado,-105.697504,39.706098,united states of america
taime,1884,"abadie, e e",,,,,new almaden cal,-121.820786,37.176057,united states of america
taime,1886,"abadie, e e",,,,,grass valley cal,-121.061061,39.219061,united states of america
taime,1892,"abadie, e e",,,manager,,nevada co,-121.171039,39.134667,united states of america
taime,1902,"abadie, e e",,,manager,,nevada co,-121.171039,39.134667,united states of america
taime,1902,"abbe, c c",,,assistant,u.s. geological survey,washington d.c.,-77.036871,38.907192,united states of america
taime,1907,"abbe, f f",,,,,new york n y,-74.005973,40.712775,united states of america
taime,1902,"abbott, a a",,,,,lansing mich,-84.555535,42.732535,united states of america
taime,1892,"abbott, a a",,,electrical enginer,,chicago ill,-87.629798,41.878114,united states of america
taime,1902,"abbott, a a",,,electrical enginer,,ny city,-74.005973,40.712775,united states of america
taime,1884,"abbott, a a",,,,,new york city,-74.005973,40.712775,united states of america
taime,1886,"abbott, a a",,,,,new york city,-74.005973,40.712775,united states of america
taime,1904,"abbott, c c",,,mining engineer,,eveleth minn,-92.539906,47.462428,united states of america
taime,1908,"abbott, c c",,,,,pioclie nev,-116.419389,38.80261,united states of america
taime,1877,"abbott, j j",,,,,lake city colorado,-107.315334,38.029997,united states of america
taime,1880,"abbott, j j",,,,,lake city colorado,-107.315334,38.029997,united states of america
taime,1902,"abbott, j j",,,mining engineer,new markham co,denver colo,-104.990251,39.739236,united states of america
taime,1907,"abbott, p p",,,,,new york n y,-74.005973,40.712775,united states of america
taime,1912,"abbott, r r",,,,,cleveland ohio,-81.694361,41.49932,united states of america
taime,1884,"abdams, w w",,,,,new york city,-74.005973,40.712775,united states of america
taime,1905,"abe, m m",,,,,kyoto japan,135.768149,35.011564,japan
taime,1880,"acassiz, p p",,,,,cambridge mass,-71.109734,42.373616,united states of america
taime,1892,"acker, e e",,,,,bethlehem pa,-75.370458,40.625932,united states of america
taime,1902,"acker, e e",,,,,bethlehem pa,-75.370458,40.625932,united states of america
taime,1908,"acker, l l",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1891,"ackerman, w w",,,,,paterson nj,-74.171811,40.916765,united states of america
taime,1892,"ackerman, w w",,,,,ny city,-74.005973,40.712775,united states of america
taime,1902,"ackerman, w w",,,,,ny city,-74.005973,40.712775,united states of america
taime,1884,"acustiin, w w",,,,care col. w. f. biddle,philadelphia pa,-75.165222,39.952584,united states of america
taime,1884,"acustin, t t",,,,,salt lake city utah,-111.891047,40.760779,united states of america
taime,1892,"adachi, j j",,,,katsuno coal mine,chikusen japan.,135.674785,35.023322,japan
taime,1902,"adachi, j j",,,,katsuno coal mine,chikusen japan.,135.674785,35.023322,japan
taime,1912,"adami, c c",,,,,rivermines mo,-90.531236,37.848385,united states of america
taime,1902,"adamms, g g",,,geologist,u.s. geological survey,washington d.c.,-77.036871,38.907192,united states of america
taime,1906,"adams, a a",,,,,spencer mass,-71.992287,42.243968,united states of america
taime,1905,"adams, c c",,,,,duluth minn,-92.100485,46.786672,united states of america
taime,1902,"adams, h h",,,manager,cuban mining co,south bethlehem pa,-79.340874,40.99951,united states of america
taime,1906,"adams, j j",,,,,butte montana,-112.534778,46.003823,united states of america
taime,1873,"adams, j j",,,,,silver city idaho,-116.73318,43.016826,united states of america
taime,1876,"adams, j j",,,,,san francisco cal,-122.419416,37.77493,united states of america
taime,1877,"adams, j j",,,,,san francisco cal,-122.419416,37.77493,united states of america
taime,1880,"adams, j j",,,,,san francisco cal,-122.419416,37.77493,united states of america
taime,1882,"adams, j j",,,,,san francisco cal,-122.419416,37.77493,united states of america
taime,1884,"adams, j j",,,,,san francisco cal,-122.419416,37.77493,united states of america
taime,1899,"adams, m m",,,,,duluth minn,-92.100485,46.786672,united states of america
taime,1902,"adams, m m",,,mining engineer,san carlos copper co,linares nl,-99.561785,24.863949,mexico
taime,1906,"adams, r r",,,,,kellogg idaho,-116.119333,47.538257,united states of america
taime,1892,"adams, r r",,,manager,tennessee copper co,broken hill new south wales,141.45394,-31.953914,australia
taime,1902,"adams, r r",,,manager,tennessee copper co,tennessee,-86.580447,35.517491,united states of america
taime,1902,"adams, t t",,,,nj zinc co,new york city,-74.005973,40.712775,united states of america
taime,1902,"adams, t t",,,,,ny city,-74.005973,40.712775,united states of america
taime,1899,"adams, w w",,,,,sandon b c,-117.226963,49.975503,canada
taime,1902,"adams, w w",,,mining engineer,bath hotel,montreal canada,-73.567256,45.501689,canada
taime,1882,"adams, w w",,,,cedral mines,villa de musquiz coahuila,-101.513999,27.88224,mexico
taime,1886,"adams, w w",,,,,new york city,-74.005973,40.712775,united states of america
taime,1892,"adams, w w",,,mining engineer,,ny city,-74.005973,40.712775,united states of america
taime,1902,"adams, w w",,,mining engineer,,ny city,-74.005973,40.712775,united states of america
taime,1906,"adams, w w",,,,,chihuahua mexico,-106.0691,28.632996,mexico
