"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","name","srch","temp","geometry"
"11376","amm452","amm",1907,"Calumet & Arizona Mining Company. Douglas.",NA,"powell","louis","w","Mgr","bisbee ","Louis W. Powell, E. M., Bisbee, Gen. Mgr.; James Wood, Smelter Mgr.","powell, l w","powell, louisw","Smelter","amm",c(-109.9284084, 31.4481547)
"16742","amm565","amm",1907,"Copper Queen Consolidated Mining Company. Douglas",NA,"douglas","walter",NA,"Mgr","bisbee ","Walter Douglas, E. M., Bisbee, Gen. Mgr.; George B. Lee, Smelter Supt.;","douglas, w","douglas, walter","Smelter","amm",c(-109.9284084, 31.4481547)
"16792","amm566","amm",1907,"Copper Queen Consolidated Mining Company. Douglas",NA,"rutherford","forest",NA,"Supt","rutherford ","Forest Rutherford. Asst. Smelter Supt. 3000 ton Smelting Plant, embrac","rutherford, f","rutherford, forest","Smelter","amm",c(-74.1068091, 40.826489)
"18286","amm592","amm",1907,"Office, Phelps, Dodge & Co., 99 John St., New York. James Douglas,",NA,NA,NA,NA,"Supt","detroit ","Hunt, Mill Supt.; L. R. Wallace, Smelter Supt. Detroit Group. Steam,",NA,NA,"Smelter","amm",c(-83.0457538, 42.331427)
"35555","amm976","amm",1907,"Rigby Mining & Reduction Company. Mayer.",NA,"hudson","a","v","Mgr","hudson ","A. \V. Hudson, Mgr. 100 ton Chlorination Plant. 25 men.","hudson, a v","hudson, av","Chlorin","amm",c(-73.790959, 42.2528649)
"1267","amm1128","amm",1907,"Yucca Cyanide, Mining & Milling Company. Cedar. J. T. Purdy, Supt. San Francisco Group. Gold. Gas Engine & Electricity.",NA,"purdy","j","t","Supt","san francisco ","Yucca Cyanide, Mining & Milling Company. Cedar. J. T. Purdy, Supt. San Francisco Group. Gold. Gas Engine & Electricity.","purdy, j t","purdy, jt","Cyanid","amm",c(-122.4194155, 37.7749295)
"1279","amm1161","amm",1907,"American Smelters Securities Company. 416 Montgomery St., San Francisco.",NA,NA,NA,NA,NA,"montgomery ","American Smelters Securities Company. 416 Montgomery St., San Francisco.",NA,NA,"Smelter","amm",c(-86.3077368, 32.3792233)
"2002","amm1643","amm",1907,"T American Smelters Securities Company.) Office, 71 Broadway, New York.",NA,NA,NA,NA,NA,"broadway ","t American Smelters Securities Company.) Office, 71 Broadway, New York.",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"2510","amm1784","amm",1907,"Mammoth Copper Mining Company. Kennett.",NA,"anderson","a","p","Mgr","mammoth ","Mgr. ; A. P. Anderson, Gen. Supt. of Mines ; L. C. Monahan, Mine Supt. ; J. H. Kervin, Smelter Supt. Mammoth Group. Copper & Gold. Elec","anderson, a p","anderson, ap","Smelter","amm",c(-118.972079, 37.648546)
"3207","amm2089","amm",1907,"Selby Smelting & Lead Company. Selby.",NA,NA,NA,NA,NA,"montgomery ","(American Smelters Securities Co.) Offices, 416 Montgomery St., San",NA,NA,"Smelter","amm",c(-86.3077368, 32.3792233)
"4069","amm2452","amm",1907,"Bonnie Girl Mining & Milling Company. La Plata.",NA,"buckingham","c","l","Supt","buckingham ","C. L. Buckingham, Supt. Gold. Electricity. 50 Stamps & 300 ton Cyanide","buckingham, c l","buckingham, cl","Cyanid","amm",c(-75.221894, 38.3209668)
