"","id","role","name","lastname","middlename","firstname","simpname","year","yearg","company","capital","text","office","situated","mine","loc","lon","lat"
"1",8,"Manager","c p b vvoilaston","vvoilaston","p","c","vvoilaston, c p",1887,NA,"Adamant Diamond Mining Company Limited",NA,"C. P. B. VVoilaston.",NA,NA,NA,"london",-0.1277583,51.5073509
"2",175,"Managers","h r lewis a","lewi","r","h","lewi, h r",1887,NA,"Aguilas Smelting Company",NA,"H. R. Lewis A Co., Bartholomew House, Bank, E.C. A. Marin, Aguilas, Spain.",NA,NA,NA,"london",-0.1277583,51.5073509
"3",311,"Superintendent","john taylor","taylor",NA,"john","taylor, j",1887,NA,"Alamillos Vlpanyr Limited",NA,"John Taylor. Charles Tonkin. mining Agents.",NA,NA,NA,"queen street place e",-79.3278595,43.6637879
"4",311,"Superintendent","charles tonkin","tonkin",NA,"charles","tonkin, c",1887,NA,"Alamillos Vlpanyr Limited",NA,"John Taylor. Charles Tonkin. mining Agents.",NA,NA,NA,"queen street place e",-79.3278595,43.6637879
"5",472,"Manager","j ruy sanchez","sanchez","ruy","j","sanchez, j r",1887,NA,"Almada And Tirito Company",NA,"J. Ruy Sanchez.",NA,NA,NA,"england",-1.1743197,52.3555177
"6",549,"Manager","bickord anthony","anthony",NA,"bickord","anthony, b",1887,NA,"Alturas Gold Limited",NA,"Bickford Anthony.",NA,NA,NA,"london",-0.1277583,51.5073509
"7",696,"Manager","covington johnson","johnson",NA,"covington","johnson, c",1887,NA,"Anglo Mexican Mining Company Limited",NA,"Covington Johnson.",NA,NA,NA,"covington",-84.5085536,39.0836712
"8",850,"Managers","h b lewis a","lewi","b","h","lewi, h b",1887,NA,"Anglo Sardinian Antimony Company",NA,"H. B. Lewis A Co., Bartholomew House, Bank, E.C.",NA,NA,NA,"london",-0.1277583,51.5073509
"9",924,"Engineer","j bewick","bewick",NA,"j","bewick, j",1887,NA,"Anita Mines Limited",NA,"Alliance Bank, Limited. Thos. J. Bewick, M. Inst. C.E.",NA,NA,NA,"colombia",-74.297333,4.570868
"10",1082,"Engineer","henry mccoy","mccoy",NA,"henry","mccoy, h",1887,NA,"Appalachian Company Limited",NA,"Colonel Henry McCoy. Strangman Hancock.",NA,NA,NA,"london",-0.1277583,51.5073509
"11",1082,"Engineer","strangman hancock","hancock",NA,"strangman","hancock, s",1887,NA,"Appalachian Company Limited",NA,"Colonel Henry McCoy. Strangman Hancock.",NA,NA,NA,"london",-0.1277583,51.5073509
"12",1412,"Managers","thomas kemp","kemp",NA,"thomas","kemp, t",1887,NA,"Asia Minor Mining Company Limited",NA,"Thomas Kemp. J. P. Thomas.",NA,NA,NA,"spain",-3.74922,40.463667
"13",1412,"Managers","j p thomas","thomas","p","j","thomas, j p",1887,NA,"Asia Minor Mining Company Limited",NA,"Thomas Kemp. J. P. Thomas.",NA,NA,NA,"spain",-3.74922,40.463667
"14",1415,"Engineer","ad gurlt","gurlt",NA,"ad","gurlt, a",1887,NA,"Asia Minor Mining Company Limited",NA,"Dr. Ad. Gurlt, M.E.",NA,NA,NA,"spain",-3.74922,40.463667
"15",1516,"Engineer","thomas j bewick","bewick","j","thomas","bewick, t j",1887,NA,"Astor Alliance Mines Limited",NA,"Thomas J. Bewick, M. Inst. C.E. Bewick and Moreing, London.",NA,NA,NA,"london",-0.1277583,51.5073509
"16",1516,"Engineer","ce bewick moreing","moreing","bewick","ce","moreing, c b",1887,NA,"Astor Alliance Mines Limited",NA,"Thomas J. Bewick, M. Inst. C.E. Bewick and Moreing, London.",NA,NA,NA,"london",-0.1277583,51.5073509
"17",2095,"Manager","h trezise","trezise",NA,"h","trezise, h",1887,NA,"Bedford United Mining Company Limited",NA,"Capt. H. Trezise",NA,NA,NA,"bedford",-97.1430671,32.844017
"18",2229,"Manager","j goodwin","goodwin",NA,"j","goodwin, j",1887,NA,"Birdseye Creek Gold Mining Limited",NA,"J. 8. Goodwin.",NA,NA,NA,"london",-0.1277583,51.5073509
"19",2306,"Managers","william rich","rich",NA,"william","rich, w",1887,NA,"Blue Hills Mining Company",NA,"Capt. William Rich. Capt. S. Bennetts.",NA,NA,NA,"camborne",-5.2947749,50.21277
