"","country","n"
"31","germany",3779
"80","united states of america",650
"64","poland",353
"7","austria",300
"68","russia",281
"67","romania",223
"79","united kingdom",188
"78","ukraine",180
"22","czech republic",178
"48","latvia",123
"75","switzerland",71
"44","italy",64
"60","norway",61
"14","bulgaria",49
"30","georgia",47
"54","mexico",45
"32","greece",42
"45","japan",40
"6","australia",39
"73","spain",39
"72","south africa",38
"16","chile",35
"27","estonia",35
"29","france",32
"58","netherlands",32
"77","turkey",29
"15","canada",28
"8","azerbaijan",27
"38","hungary",24
"62","peru",24
"28","finland",22
"9","belarus",20
"13","brazil",20
"50","lithuania",20
"74","sweden",20
"40","indonesia",19
"51","luxembourg",18
"66","republic of serbia",17
"65","portugal",15
"18","colombia",12
"39","india",12
"43","ireland",12
"10","belgium",11
"12","bosnia and herzegovina",8
"23","denmark",8
"55","moldova",8
"17","china",7
"70","slovakia",6
"11","bolivia",4
"33","greenland",4
"57","namibia",4
"4","argentina",3
"20","croatia",3
"36","guinea",3
"63","philippines",3
"76","the bahamas",3
"3","angola",2
"24","dominican republic",2
"41","iran",2
"49","lebanon",2
"52","macedonia",2
"81","uzbekistan",2
"82","venezuela",2
"83","west bank",2
"1","albania",1
"2","algeria",1
"5","armenia",1
"19","costa rica",1
"21","cuba",1
"25","egypt",1
"26","el salvador",1
"34","guatemala",1
"35","guernsey",1
"37","honduras",1
"42","iraq",1
"46","kazakhstan",1
"47","kenya",1
"53","mali",1
"56","morocco",1
"59","new zealand",1
"61","papua new guinea",1
"69","saint martin",1
"71","slovenia",1
