country,continent,n
united states of america,north america,11507
mexico,south america,618
united kingdom,europe,540
canada,north america,405
australia,australia,342
germany,europe,163
france,europe,153
south africa,africa,147
japan,asia,82
belgium,europe,62
new zealand,australia,40
austria,europe,35
colombia,south america,34
peru,south america,33
india,asia,30
russia,europe,30
chile,south america,23
spain,europe,23
china,asia,22
cuba,south america,22
sweden,europe,20
zimbabwe,africa,16
poland,europe,14
brazil,south america,13
switzerland,europe,11
honduras,south america,10
bolivia,south america,9
trinidad and tobago,south america,9
south korea,asia,8
ecuador,south america,7
argentina,south america,6
costa rica,south america,5
czech republic,europe,5
indonesia,asia,5
ireland,europe,5
italy,europe,5
kazakhstan,asia,5
portugal,europe,5
singapore,asia,5
malaysia,asia,4
democratic republic of the congo,africa,3
ghana,africa,3
north korea,asia,3
turkey,europe,3
venezuela,south america,3
georgia,europe,2
guatemala,south america,2
guyana,south america,2
hungary,europe,2
jordan,asia,2
myanmar,asia,2
norway,europe,2
suriname,south america,2
azerbaijan,europe,1
barbados,south america,1
botswana,africa,1
bulgaria,europe,1
el salvador,south america,1
iraq,asia,1
latvia,europe,1
namibia,africa,1
netherlands,europe,1
nicaragua,south america,1
panama,south america,1
taiwan,asia,1
thailand,asia,1
