"","year","students","members","officials","nodes"
"1",1,NA,NA,NA,34
"2",2,NA,NA,NA,25
"3",3,NA,NA,NA,33
"4",4,NA,NA,NA,27
"5",5,NA,NA,NA,61
"6",6,NA,NA,NA,40
"7",7,NA,NA,NA,47
"8",8,NA,NA,NA,63
"9",9,NA,NA,NA,52
"10",10,NA,NA,NA,57
"11",11,NA,NA,NA,42
"12",12,NA,NA,NA,62
"13",13,NA,NA,NA,71
"14",14,NA,NA,NA,60
"15",15,NA,NA,NA,31
"16",16,NA,NA,NA,41
"17",17,NA,NA,NA,42
"18",18,NA,NA,NA,17
"19",19,NA,NA,NA,10
"20",74,NA,NA,NA,1
"21",76,NA,NA,NA,2
"22",81,NA,NA,NA,1
"23",82,NA,NA,NA,2
"24",83,NA,NA,NA,2
"25",84,NA,NA,NA,1
"26",86,NA,NA,NA,4
"27",87,NA,NA,NA,1
"28",88,NA,NA,NA,3
"29",89,NA,NA,NA,1
"30",90,NA,NA,NA,1
"31",91,NA,NA,NA,5
"32",92,NA,NA,NA,7
"33",93,NA,NA,NA,6
"34",94,NA,NA,NA,6
"35",95,NA,NA,NA,16
"36",96,NA,NA,NA,10
"37",97,NA,NA,NA,23
"38",98,NA,NA,NA,13
"39",99,NA,NA,NA,8
"40",1766,NA,NA,NA,18
"41",1767,NA,NA,NA,4
"42",1768,NA,NA,NA,11
"43",1769,NA,NA,NA,11
"44",1770,NA,NA,NA,15
"45",1771,NA,NA,NA,20
"46",1772,NA,NA,NA,8
"47",1773,NA,NA,NA,17
"48",1774,NA,NA,NA,13
"49",1775,NA,NA,NA,13
"50",1776,NA,NA,NA,8
"51",1777,NA,NA,NA,10
"52",1778,NA,NA,NA,12
"53",1779,NA,NA,NA,4
"54",1780,NA,NA,NA,8
"55",1781,NA,NA,NA,12
"56",1782,NA,NA,NA,15
"57",1783,NA,NA,NA,12
"58",1784,NA,NA,NA,6
"59",1785,NA,NA,NA,19
"60",1786,NA,NA,NA,12
"61",1787,NA,NA,NA,12
"62",1788,NA,NA,NA,12
"63",1789,NA,NA,NA,14
"64",1790,NA,NA,NA,15
"65",1791,NA,NA,NA,10
"66",1792,NA,NA,NA,15
"67",1793,NA,NA,NA,17
"68",1794,NA,NA,NA,14
"69",1795,NA,NA,NA,26
"70",1796,NA,NA,NA,13
"71",1797,NA,NA,NA,15
"72",1798,NA,NA,NA,17
"73",1799,NA,NA,NA,18
"74",1800,NA,NA,NA,12
"75",1801,16,NA,NA,12
"76",1802,17,NA,NA,16
"77",1803,22,NA,NA,16
"78",1804,21,NA,NA,20
"79",1805,26,NA,NA,22
"80",1806,13,NA,NA,12
"81",1807,10,NA,NA,10
"82",1808,19,NA,NA,16
"83",1809,9,NA,NA,9
"84",1810,12,NA,NA,12
"85",1811,25,NA,NA,21
"86",1812,18,NA,NA,18
"87",1813,10,NA,NA,8
"88",1814,8,NA,NA,8
"89",1815,10,NA,NA,9
"90",1816,25,NA,NA,25
"91",1817,29,NA,NA,27
"92",1818,22,NA,NA,17
"93",1819,29,NA,NA,28
"94",1820,26,NA,NA,26
"95",1821,25,NA,NA,26
"96",1822,20,NA,NA,20
"97",1823,31,NA,NA,30
"98",1824,29,NA,NA,28
"99",1825,39,NA,NA,36
"100",1826,30,NA,NA,28
"101",1827,26,NA,NA,25
"102",1828,20,NA,NA,21
"103",1829,21,NA,NA,21
"104",1830,26,NA,NA,25
"105",1831,23,NA,NA,24
"106",1832,16,NA,NA,16
"107",1833,17,NA,NA,16
"108",1834,12,NA,NA,11
"109",1835,23,NA,NA,21
"110",1836,18,NA,NA,19
"111",1837,24,NA,NA,24
"112",1838,19,NA,NA,17
"113",1839,21,NA,NA,20
"114",1840,21,NA,NA,20
"115",1841,20,NA,NA,18
"116",1842,26,NA,NA,25
"117",1843,22,NA,NA,20
"118",1844,18,NA,NA,18
"119",1845,28,NA,NA,26
"120",1846,38,NA,NA,35
"121",1847,32,NA,NA,29
"122",1848,44,NA,NA,39
"123",1849,34,NA,NA,29
"124",1850,34,NA,NA,31
"125",1851,45,NA,NA,38
"126",1852,38,NA,NA,29
"127",1853,34,NA,NA,28
"128",1854,40,NA,NA,34
"129",1855,57,NA,NA,59
"130",1856,53,NA,NA,50
"131",1857,68,NA,NA,59
"132",1858,79,NA,NA,72
"133",1859,65,NA,NA,54
"134",1860,66,NA,NA,60
"135",1861,91,NA,NA,72
"136",1862,50,NA,NA,43
"137",1863,59,NA,NA,52
"138",1864,45,NA,NA,36
"139",1865,100,NA,NA,68
"140",1866,65,NA,NA,49
"141",1867,64,NA,NA,51
"142",1868,144,NA,NA,97
"143",1869,119,NA,NA,82
"144",1870,216,NA,NA,160
"145",1871,165,NA,NA,117
"146",1872,190,NA,NA,130
"147",1873,265,278,NA,358
"148",1874,275,NA,NA,210
"149",1875,327,NA,NA,248
"150",1876,328,513,NA,600
"151",1877,340,273,NA,466
"152",1878,216,NA,NA,170
"153",1879,313,NA,NA,242
"154",1880,259,409,NA,498
"155",1881,305,NA,NA,225
"156",1882,301,633,NA,707
"157",1883,317,NA,NA,233
"158",1884,399,621,NA,778
"159",1885,347,NA,NA,275
"160",1886,380,484,NA,684
"161",1887,376,NA,1205,1102
"162",1888,499,1,1319,1424
"163",1889,493,NA,2571,2519
"164",1890,535,97,NA,483
"165",1891,521,95,1513,1738
"166",1892,574,1184,NA,1209
"167",1893,640,NA,1283,1659
"168",1894,634,22,1476,1750
"169",1895,850,54,1506,2020
"170",1896,1197,69,NA,1054
"171",1897,818,NA,NA,670
"172",1898,951,NA,NA,795
"173",1899,1075,73,NA,1039
"174",1900,653,33,NA,552
"175",1901,795,NA,NA,663
"176",1902,851,1567,NA,1722
"177",1903,837,34,3194,3322
"178",1904,950,198,NA,934
"179",1905,1545,259,NA,1547
"180",1906,987,229,NA,1008
"181",1907,883,250,2564,4243
"182",1908,871,194,4174,4813
"183",1909,878,170,3404,4704
"184",1910,894,134,3389,4835
"185",1911,909,158,5651,6499
"186",1912,938,229,2988,4419
"187",1913,712,NA,3157,4208
"188",1914,644,NA,2827,3706
"189",1915,769,NA,1581,2684
"190",1916,743,NA,2954,3767
"191",1917,920,NA,565,1883
"192",1918,843,NA,1242,2343
"193",1919,693,NA,2734,3560
"194",1920,1311,NA,3787,5118
"195",1921,1197,NA,1206,2674
"196",1922,1571,NA,2467,4362
"197",1923,1616,NA,861,2939
"198",1924,1032,NA,NA,972
"199",1925,971,NA,NA,900
"200",1926,1074,NA,377,1469
"201",1927,830,NA,NA,820
"202",1928,804,NA,NA,764
"203",1929,717,NA,NA,683
"204",1930,356,NA,NA,363
"205",1931,385,NA,NA,373
"206",1932,399,NA,NA,380
"207",1933,407,NA,NA,394
"208",1934,438,NA,NA,415
"209",1935,374,NA,NA,363
"210",1936,347,NA,NA,341
"211",1937,339,NA,NA,335
"212",1938,375,NA,NA,368
"213",1939,416,NA,NA,403
"214",1940,252,NA,NA,290
"215",NA,NA,NA,NA,284
