lon,lat,locn
-86.8103567,33.5185892,"Jefferson County, Alabama, United States"
-0.1277583,51.5073509,"Greater London, England, United Kingdom"
-95.774913,36.0674332,"Tulsa County, Oklahoma, United States"
-106.346771,56.130366,"Division No. 18, Saskatchewan, Canada"
8.468946,60.472024,"Viken, Norge"
13.33723,50.91404,"Mittelsachsen, Sachsen, Deutschland"
-97.2134822,32.8294337,"Tarrant County, Texas, United States"
138.6007456,-34.9284989,"Adelaide City Council, South Australia, Australia"
151.2092955,-33.8688197,"Council of the City of Sydney, New South Wales, Australia"
-0.1277583,51.50735,"Greater London, England, United Kingdom"
-122.169716,37.427475,"Santa Clara County, California, United States"
-121.5913547,39.1457253,"Yuba County, California, United States"
149.5137106,-33.8973847,"Oberon Council, New South Wales Australia"
103.8512666,1.2831345,"Central, Singapore"
-71.0588801,42.3600825,"Suffolk County, Massachusetts, United States"
-77.1945247,41.2033216,"Lycoming County, Pennsylvania, United States"
-71.0609659,42.3578732,"Suffolk County, Massachusetts, United States"
133.7751,-25.2744,"Macdonnell Region, Northern Territory Australia"
149.5137,-33.89738,"Oberon Council, New South Wales Australia"
151.2093,-33.86882,"Council of the City of Sydney, New South Wales, Australia"
-94.6474474,36.835068,"Ottawa County, Oklahoma, United States"
133.775136,-25.274398,"Macdonnell Region, Northern Territory Australia"
-147.7163888,64.8377778,"Fairbanks North Star, Alaska, United States"
121.466,-30.749,"City Of Kalgoorlie-Boulder, Western Australia, Australia"
-105.2705,40.01499,"Boulder County, Colorado, United States"
-105.2705456,40.0149856,"Boulder County, Colorado, United States"
-75.5993692,38.3606736,"Wicomico County, Maryland, United States"
-121.9510491,37.3183318,"Santa Clara County, California, United States"
-71.1425553,42.3440825,"Suffolk County, Massachusetts, United States"
10.7522454,59.9138688,"Oslo, Norge"
13.341727,50.9128283,"Mittelsachsen, Sachsen, Deutschland"
-115.1751982,36.1115958,"Clark County, Nevada, United States"
10.8349712,59.9384333,"Oslo, Norge"
-95.98141,36.17439,"Tulsa County, Oklahoma, United States"
-90.1994042,38.6270025,"Saint Louis, Missouri, United States"
-105.697504,39.706098,"Clear Creek County, Colorado, United States"
-121.820786,37.176057,"Santa Clara County, California, United States"
-121.061061,39.219061,"Nevada County, California, United States"
-121.171039,39.134667,"Nevada County, California, United States"
-122.2711639,37.8043514,"Alameda County, California, United States"
-73.7562317,42.6525793,"Albany County, New York, United States"
-97.21348,32.82943,"Tarrant County, Texas, United States"
-71.0816744,42.3907389,"Middlesex County, Massachusetts, United States"
-71.4774291,41.5800945,"South County, Rhode Island, United States"
120.9842195,14.5995124,"Manila, Metro Manila, Philippines"
-75.3961459,40.6340728,"Lehigh County, Pennsylvania, United States"
-94.64745,36.83507,"Ottawa County, Oklahoma, United States"
-82.1887444,36.5951059,"Sullivan County, East Tennessee, Tennessee, United States"
-82.18874,36.59511,"Sullivan County, East Tennessee, Tennessee, United States"
-77.036871,38.907192,"Washington, District of Columbia, United States"
-72.5607827,42.0414916,"Hampden County, Massachusetts, United States"
-82.9000751,32.1656221,"Dodge County, Georgia, United States"
-70.8810902,42.8173857,"Essex County, Massachusetts, United States"
-98.4842465,39.011902,"Lincoln County, Kansas, United States"
-77.0368707,38.9071923,"Washington, District of Columbia, United States"
-95.7060493,37.2360436,"Montgomery County, Kansas, United States"
-3.9369029,56.1165227,"Stirling, Alba / Scotland, United Kingdom"
-86.1277294,40.0427488,"Hamilton County, Indiana, United States"
-72.2772599,42.9296066,"Cheshire County, New Hampshire, United States"
-77.0327217,38.938678,"Washington, District of Columbia, United States"
-117.8735743,33.7496959,"Orange County, California, United States"
-74.0059728,40.7127753,"New York County, City of New York, New York, United States"
-5.052713,50.26605,"Cornwall, England, United Kingdom"
-5.0527125,50.2660471,"Cornwall, England, United Kingdom"
-74.005973,40.712775,"New York County, City of New York, New York, United States"
-87.629798,41.878114,"Cook County, Illinois, United States"
-88.569418,47.121133,"Houghton County, Michigan, United States"
-95.2352501,38.9716689,"Douglas County, Kansas, United States"
-84.555535,42.732535,"Ingham County, Michigan, United States"
-75.1370254,40.0812601,"Montgomery County, Pennsylvania, United States"
-118.222563,34.03592,"Los Angeles County, California, United States"
-71.0523303,42.3575853,"Suffolk County, Massachusetts, United States"
-76.614833,39.2859153,"Baltimore, Maryland, United States"
-92.539906,47.462428,"Saint Louis County, Minnesota, United States"
-94.475418,37.106412,"Jasper County, Missouri, United States"
-116.419389,38.80261,"Nye County, Nevada, United States"
-86.954437,33.4017766,"Jefferson County, Alabama, United States"
-71.1156073,42.3639644,"Middlesex County, Massachusetts, United States"
-122.2611015,37.8696964,"Alameda County, California, United States"
-102.0779,31.99735,"Midland County, Texas, United States"
-87.6297982,41.8781136,"Cook County, Illinois, United States"
-70.9351054,42.4632042,"Essex County, Massachusetts, United States"
-70.9370559,42.4628364,"Essex County, Massachusetts, United States"
-70.9494938,42.466763,"Essex County, Massachusetts, United States"
-97.3928973,27.7980068,"Nueces County, Texas, United States"
-79.95589,39.62952,"Monongalia County, West Virginia, United States"
-76.6412712,39.0457549,"Anne Arundel County, Maryland, United States"
-71.0582829,42.3596395,"Suffolk County, Massachusetts, United States"
-122.4019,37.79038,"San Francisco, California, United States"
-95.62369,37.03715,"Montgomery County, Kansas, United States"
-96.7898034,46.8771863,"Cass County, North Dakota, United States"
-71.1066722,42.3414221,"Suffolk County, Massachusetts, United States"
-4.251806,55.864237,"Glasgow City, Alba / Scotland, United Kingdom"
-71.4108583,41.7953782,"Providence County, Rhode Island, United States"
-71.0531828,42.3574581,"Suffolk County, Massachusetts, United States"
-75.1617497,39.9488585,"Philadelphia, Pennsylvania United States"
-71.056416,42.3537552,"Suffolk County, Massachusetts, United States"
-95.8716018,36.103255,"Tulsa County, Oklahoma, United States"
-107.31533399999999,38.029997,"Hinsdale County, Colorado United States"
-104.990251,39.739236,"Denver, Colorado, United States"
-118.2303898,34.0319475,"Los Angeles County, California, United States"
-73.9906703,40.754835,"New York County, City of New York, New York, United States"
-104.7091322,40.4233142,"Weld County, Colorado, United States"
-71.0618421,42.3589563,"Suffolk County, Massachusetts, United States"
-70.9483261,42.5605621,"Essex County, Massachusetts, United States"
-118.2436849,34.0522342,"Los Angeles County, California, United States"
-118.0374029,33.9692985,"Los Angeles County, California, United States"
-75.01515,-9.189967,"Puerto Inca, Huánuco, Perú"
-71.476061,43.0299436,"Hillsborough County, New Hampshire, United States"
-71.0526902,42.4308909,"Middlesex County, Massachusetts, United States"
-71.4091099,41.8245735,"Providence County, Rhode Island, United States"
-75.1196932,39.9404744,"Camden County, New Jersey, United States"
-81.6079142,41.5026074,"Cuyahoga County, Ohio, United States"
-81.694361,41.49932,"Cuyahoga County, Ohio, United States"
-83.5378674,41.6528052,"Lucas County, Ohio, United States"
-2.057187,52.87927,"Staffordshire, England, United Kingdom"
-122.3989666,37.7998359,"San Francisco, California, United States"
-3.943646,51.62144,"Swansea, Cymru / Wales, United Kingdom"
-75.1512578,39.943174,"Philadelphia, Pennsylvania United States"
105.318756,61.52401,"Эвенкийский район, Красноярский край, Сибирский федеральный округ, Россия"
-93.0899578,44.9537029,"Ramsey County, Minnesota, United States"
-71.5723953,43.1938516,"Merrimack County, New Hampshire, United States"
-73.9807682,40.7256804,"New York County, City of New York, New York, United States"
-95.6531484,37.050347,"Montgomery County, Kansas, United States"
-71.0579649,42.3589827,"Suffolk County, Massachusetts, United States"
35.5017767,33.8937913,"محافظة بيروت, لبنان"
-94.770231,36.58917,"Delaware County, Oklahoma, United States"
-77.04692,38.80484,"Alexandria, Virginia, United States"
-77.0469214,38.8048355,"Alexandria, Virginia, United States"
139.6503106,35.6761919,"東京都, 日本"
135.768149,35.011564,"京都府, 日本"
7.353197,51.4438926,"Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, Deutschland"
-73.8645734,42.2173102,"Greene County, New York, United States"
-74.0125194,40.7099033,"New York County, City of New York, New York, United States"
-73.567256,45.5016889,"Agglomération de Montréal, Montréal (région administrative), Québec, Canada"
-111.8699372,40.871612,"Davis County, Utah, United States"
-97.3096786,37.7221889,"Sedgwick County, Kansas, United States"
28.04731,-26.2041,"City of Johannesburg Metropolitan Municipality, Gauteng, South Africa"
-119.8138027,39.5296329,"Washoe County, Nevada, United States"
-1.2577263,51.7520209,"Oxfordshire, England, United Kingdom"
-95.826134,36.053795,"Tulsa County, Oklahoma, United States"
10.451526,51.165691,"Unstrut-Hainich-Kreis, Thüringen, Deutschland"
-71.4997935,-30.2521009,"Provincia de Elqui, Región de Coquimbo, Chile"
-87.4121932,39.4666709,"Vigo County, Indiana, United States"
-118.4940357,34.0228198,"Los Angeles County, California, United States"
-121.951,37.31833,"Santa Clara County, California, United States"
-111.6700246,40.0965892,"Utah County, Utah, United States"
-71.3738775,41.8217398,"Providence County, Rhode Island, United States"
-71.4128343,41.8239891,"Providence County, Rhode Island, United States"
-93.2650108,44.977753,"Hennepin County, Minnesota, United States"
-96.7102273,43.5830349,"Minnehaha County, South Dakota, United States"
-4.251806,55.86424,"Glasgow City, Alba / Scotland, United Kingdom"
-86.8688899,35.9250637,"Williamson County, Middle Tennessee, Tennessee, United States"
-1.470085,53.381129,"South Yorkshire, England, United Kingdom"
-95.9250798,36.0333234,"Tulsa County, Oklahoma, United States"
-95.92508,36.03332,"Tulsa County, Oklahoma, United States"
-1.1581086,52.9547832,"City of Nottingham, England, United Kingdom"
-3.530875,50.7155591,"Devon, England, United Kingdom"
-3.17909,51.481581,"Cardiff, Cymru / Wales, CF, United Kingdom"
