loc,lat,lon,country,reg
Tokyo,35.6897,139.6922,Japan,NA
Jakarta,-6.175,106.8275,Indonesia,NA
Guangzhou,23.13,113.26,China,NA
Mumbai,19.0761,72.8775,India,NA
Manila,14.5958,120.9772,Philippines,NA
Shanghai,31.1667,121.4667,China,NA
Sao Paulo,-23.55,-46.6333,Brazil,NA
Seoul,37.56,126.99,South Korea,NA
Mexico City,19.4333,-99.1333,Mexico,NA
New York,40.6943,-73.9249,United States,NA
Beijing,39.904,116.4075,China,NA
Kolkata,22.5675,88.37,India,NA
Bangkok,13.7525,100.4942,Thailand,NA
Shenzhen,22.535,114.054,China,NA
Istanbul,41.0136,28.955,Turkey,NA
Karachi,24.86,67.01,Pakistan,NA
Bangalore,12.9789,77.5917,India,NA
Osaka,34.6939,135.5022,Japan,NA
Chengdu,30.66,104.0633,China,NA
Tehran,35.6892,51.3889,Iran,NA
Kinshasa,-4.325,15.3222,Congo,NA
Rio de Janeiro,-22.9111,-43.2056,Brazil,NA
Chennai,13.0825,80.275,India,NA
Xi'an,34.2667,108.9,China,NA
Lahore,31.5497,74.3436,Pakistan,NA
Chongqing,29.55,106.5069,China,NA
Baoding,38.8671,115.4845,China,NA
Linyi,35.1041,118.3502,China,NA
Dongguan,23.0475,113.7493,China,NA
Hyderabad,17.385,78.4867,India,NA
Tianjin,39.1467,117.2056,China,NA
Wuhan,30.5872,114.2881,China,NA
Nanyang,32.9987,112.5292,China,NA
Hangzhou,30.25,120.1675,China,NA
Foshan,23.0292,113.1056,China,NA
Nagoya,35.1833,136.9,Japan,NA
Taipei,25.0375,121.5625,Taiwan,NA
Tongshan,34.261,117.1859,China,NA
Luanda,-8.8383,13.2344,Angola,NA
Zhoukou,33.625,114.6418,China,NA
Ganzhou,25.8292,114.9336,China,NA
Kuala Lumpur,3.1478,101.6953,Malaysia,NA
Quanzhou,24.9139,118.5858,China,NA
Chicago,41.8375,-87.6866,United States,NA
Nanjing,32.0608,118.7789,China,NA
Jining,35.4,116.5667,China,NA
Hanoi,21.0283,105.8542,Vietnam,NA
Fuyang,32.8986,115.8045,China,NA
Ahmedabad,23.03,72.58,India,NA
Johannesburg,-26.2044,28.0456,South Africa,NA
Dar es Salaam,-6.8161,39.2803,Tanzania,NA
Shenyang,41.8025,123.4281,China,NA
Khartoum,15.5006,32.56,Sudan,NA
Shangqiu,34.4259,115.6467,China,NA
Cangzhou,38.3037,116.8452,China,NA
Hong Kong,22.3,114.2,Hong Kong,NA
Shaoyang,27.2418,111.4725,China,NA
Zhanjiang,21.1967,110.4031,China,NA
Yancheng,33.3936,120.1339,China,NA
Hengyang,26.8968,112.5857,China,NA
Riyadh,24.6333,46.7167,Saudi Arabia,NA
Zhumadian,32.9773,114.0253,China,NA
Xingtai,37.0659,114.4753,China,NA
Chattogram,22.335,91.8325,Bangladesh,NA
Bijie,27.3019,105.2863,China,NA
Shangrao,28.4419,117.9633,China,NA
Zunyi,27.705,106.9336,China,NA
Surat,21.1702,72.8311,India,NA
Surabaya,-7.2458,112.7378,Indonesia,NA
Huanggang,30.45,114.875,China,NA
Maoming,21.6618,110.9178,China,NA
Nanchong,30.7991,106.0784,China,NA
Xinyang,32.1264,114.0672,China,NA
Baghdad,33.3153,44.3661,Iraq,NA
Qujing,25.5102,103.8029,China,NA
Jieyang,23.5533,116.3649,China,NA
Singapore,1.3,103.8,Singapore,NA
Prayagraj,25.4358,81.8464,India,NA
Liaocheng,36.45,115.9833,China,NA
Dalian,38.9,121.6,China,NA
Yulin,22.6293,110.1507,China,NA
Changde,29.0397,111.6839,China,NA
Qingdao,36.1167,120.4,China,NA
Douala,4.05,9.7,Cameroon,NA
Miami,25.784,-80.2101,United States,NA
Nangandao,35.2992,113.8851,China,NA
Pudong,31.2231,121.5397,China,NA
Xiangyang,32.0654,112.1531,China,NA
Dallas,32.7935,-96.7667,United States,NA
Houston,29.786,-95.3885,United States,NA
Zhengzhou,34.7492,113.6605,China,NA
Lu'an,31.7542,116.5078,China,NA
Dezhou,37.4513,116.3105,China,NA
Jinan,36.6667,116.9833,China,NA
Zhaotong,27.3328,103.7144,China,NA
Yichun,27.8041,114.383,China,NA
Nairobi,-1.2864,36.8172,Kenya,NA
Philadelphia,40.0077,-75.1339,United States,NA
Ankara,39.93,32.85,Turkey,NA
Tai'an,36.2001,117.0809,China,NA
Dazhou,31.2152,107.4947,China,NA
Langfang,39.5196,116.7006,China,NA
Yongzhou,26.4515,111.5953,China,NA
Toronto,43.7417,-79.3733,Canada,NA
Suihua,46.6384,126.9808,China,NA
Qiqihar,47.3398,123.9512,China,NA
Suzhou,33.6333,116.9683,China,NA
Belo Horizonte,-19.9167,-43.9333,Brazil,NA
Weinan,34.4996,109.4684,China,NA
Rangoon,16.795,96.16,Myanmar,NA
Zhangzhou,24.5093,117.6612,China,NA
Yuncheng,35.0304,110.998,China,NA
Xianyang,34.35,108.7167,China,NA
Guilin,25.2819,110.2864,China,NA
Atlanta,33.7628,-84.422,United States,NA
Taizhou,32.4831,119.9,China,NA
Kashan,33.9833,51.4333,Iran,NA
Bozhou,33.8626,115.7742,China,NA
Abidjan,5.3167,-4.0333,Cote d'Ivoire,NA
Suqian,33.9331,118.2831,China,NA
Huaihua,27.5494,109.9592,China,NA
Xiaoganzhan,30.9273,113.911,China,NA
Pingdingshan,33.735,113.2999,China,NA
Jiujiang,29.7048,116.0021,China,NA
Mianyang,31.4669,104.7385,China,NA
Sydney,-33.8678,151.21,Australia,NA
Huanglongsi,34.795,114.345,China,NA
Changsha,28.1987,112.9709,China,NA
Chenzhou,25.7989,113.0267,China,NA
Anqing,30.5,117.0333,China,NA
Jiangmen,22.5833,113.0833,China,NA
Xinpu,34.5906,119.1801,China,NA
Yibin,28.7596,104.64,China,NA
Yangzhou,32.3912,119.4363,China,NA
Hengshui,37.7348,115.686,China,NA
Timbio,2.3445,-76.6839,Colombia,NA
Kunming,25.0433,102.7061,China,NA
Yiyang,28.5833,112.3333,China,NA
Guigang,23.0961,109.6092,China,NA
Changchun,43.9,125.2,China,NA
Jiangguanchi,34.0244,113.8201,China,NA
Meizhou,24.2998,116.1191,China,NA
Zhangjiakou,40.8108,114.8811,China,NA
Chifeng,42.2663,118.9223,China,NA
Urumqi,43.8225,87.6125,China,NA
Izmir,38.42,27.14,Turkey,NA
Linfen,36.0812,111.5087,China,NA
Shantou,23.3735,116.6941,China,NA
Kabul,34.5253,69.1783,Afghanistan,NA
Mogadishu,2.0392,45.3419,Somalia,NA
Luzhou,28.8918,105.4409,China,NA
Hefei,31.8639,117.2808,China,NA
Liuzhou,24.3264,109.4281,China,NA
Zhaoqing,23.05,112.4667,China,NA
Xiaoxita,30.7083,111.2803,China,NA
Shijiazhuang,38.0422,114.5086,China,NA
Ningbo,29.875,121.5492,China,NA
Fuzhou,27.9814,116.3577,China,NA
Phoenix,33.5722,-112.0892,United States,NA
Zhuzhou,27.8407,113.1469,China,NA
Amman,31.9497,35.9328,Jordan,NA
Chuzhou,32.3062,118.3115,China,NA
Jeddah,21.5433,39.1728,Saudi Arabia,NA
Qingyuan,23.6842,113.0507,China,NA
Loudi,27.7378,111.9974,China,NA
Binzhou,37.3806,118.0125,China,NA
Deyang,31.1289,104.395,China,NA
Taiyuan,37.8733,112.5425,China,NA
Nanning,22.8192,108.315,China,NA
Harbin,45.75,126.6333,China,NA
Abuja,9.0667,7.4833,Nigeria,NA
Yokohama,35.4442,139.6381,Japan,NA
Baojishi,34.3609,107.1751,China,NA
Zaozhuang,34.8667,117.55,China,NA
