loc,lat,lon,country,n,d
Abbeville,50.1058,1.8358,France,2,1
Abbeville,29.9751,-92.1265,United States,2,1
Aberdeen,57.15,-2.11,United Kingdom,2,1
Aberdeen,45.4649,-98.4686,United States,2,1
Acton,51.5135,-0.2707,United Kingdom,2,1
Acton,42.4843,-71.4378,United States,2,1
Ada,45.8,20.1333,Serbia,2,1
Ada,34.7662,-96.6681,United States,2,1
Adra,36.7478,-3.0161,Spain,2,NA
Adra,23.5,86.67,India,2,NA
Aguilar,15.8899,120.2379,Philippines,2,NA
Aguilar,37.5167,-4.65,Spain,2,NA
Aguilares,-27.4333,-65.6167,Argentina,2,NA
Aguilares,13.95,-89.1833,El Salvador,2,NA
Ain Beida,35.7964,7.3928,Algeria,2,NA
Ain Beida,31.585,-8.608,Morocco,2,NA
Airdrie,55.86,-3.98,United Kingdom,2,NA
Airdrie,51.2917,-114.0144,Canada,2,NA
Akora,33.9925,72.145,Pakistan,2,NA
Akora,26.4721,78.7989,India,2,NA
Aksay,47.25,39.8667,Russia,2,NA
Aksay,51.1678,52.995,Kazakhstan,2,NA
Al `Aziziyah,32.5308,13.0211,Libya,2,NA
Al `Aziziyah,32.9083,45.0667,Iraq,2,NA
Al Bayda',32.7664,21.7417,Libya,2,NA
Al Bayda',13.979,45.574,Yemen,2,NA
Al Hillah,23.4895,46.7564,Saudi Arabia,2,NA
Al Hillah,32.4833,44.4333,Iraq,2,NA
Al Karak,31.1833,35.7,Jordan,2,NA
Al Karak,32.6872,36.3508,Syria,2,NA
Al Malikiyah,26.1008,50.4878,Bahrain,2,NA
Al Malikiyah,37.1667,42.1333,Syria,2,NA
Al Mansurah,31.05,31.3833,Egypt,2,NA
Al Mansurah,12.8531,44.9722,Yemen,2,NA
Alamo,20.9167,-97.675,Mexico,2,1
Alamo,26.181,-98.1177,United States,2,1
Albany,42.6664,-73.7987,United States,2,1
Albany,-35.0228,117.8814,Australia,2,1
Albertville,34.2633,-86.2108,United States,2,1
Albertville,45.6758,6.3925,France,2,1
Alcala,15.8468,120.5218,Philippines,2,NA
Alcala,4.6667,-75.75,Colombia,2,NA
Alcantara,-2.4089,-44.415,Brazil,2,NA
Alcantara,12.2584,122.0543,Philippines,2,NA
Alcobaca,39.5528,-8.9778,Portugal,2,NA
Alcobaca,-17.5189,-39.1958,Brazil,2,NA
Alcoy,38.6983,-0.4736,Spain,2,NA
Alcoy,9.7082,123.506,Philippines,2,NA
Alegria,9.7243,123.3402,Philippines,2,NA
Alegria,13.5,-88.4833,El Salvador,2,NA
Alenquer,-1.9419,-54.7378,Brazil,2,NA
Alenquer,39.05,-9.0167,Portugal,2,NA
Alexandria,31.1975,29.8925,Egypt,4,1
Alexandria,38.8185,-77.0861,United States,4,1
Alexandria,43.9686,25.3333,Romania,4,1
Alexandria,-6.4128,-38.0158,Brazil,4,1
Algarrobo,10.1,-74.2667,Colombia,2,NA
Algarrobo,-33.3911,-71.6928,Chile,2,NA
Algeciras,36.1275,-5.4539,Spain,2,NA
Algeciras,2.5333,-75.3167,Colombia,2,NA
Aliaga,38.8008,26.9728,Turkey,2,NA
Aliaga,15.5036,120.845,Philippines,2,NA
Allen,33.1088,-96.6735,United States,3,1
Allen,12.5013,124.282,Philippines,3,1
Allen,-38.9667,-67.8333,Argentina,3,1
Alma,48.55,-71.65,Canada,2,1
Alma,43.3799,-84.6556,United States,2,1
Almagro,11.9108,124.2852,Philippines,2,NA
Almagro,38.8878,-3.7122,Spain,2,NA
Almeirim,-1.5228,-52.5819,Brazil,2,NA
Almeirim,39.2,-8.6167,Portugal,2,NA
Almeria,36.8403,-2.4681,Spain,2,NA
Almeria,11.6206,124.3794,Philippines,2,NA
Alta,59.25,18.1833,Sweden,2,NA
Alta,69.9689,23.2716,Norway,2,NA
Altamira,-3.2028,-52.2058,Brazil,3,NA
Altamira,22.3375,-97.8694,Mexico,3,NA
Altamira,19.6667,-70.8333,Dominican Republic,3,NA
Altay,47.8666,88.1166,China,2,NA
Altay,46.3728,96.2572,Mongolia,2,NA
Altdorf,46.8667,8.6333,Switzerland,2,NA
Altdorf,48.5667,12.1167,Germany,2,NA
Alton,38.9037,-90.152,United States,2,1
Alton,51.1498,-0.9769,United Kingdom,2,1
