loc,country,lat,lon
Abbeville,United States,29.9751,-92.1265
Aberdeen,United States,45.4649,-98.4686
Acton,United States,42.4843,-71.4378
Ada,United States,34.7662,-96.6681
Alamo,United States,26.181,-98.1177
Albany,United States,42.6664,-73.7987
Albertville,United States,34.2633,-86.2108
Alexandria,Brazil,-6.4128,-38.0158
Alexandria,Egypt,31.1975,29.8925
Alexandria,Romania,43.9686,25.3333
Alexandria,United States,38.8185,-77.0861
Allen,United States,33.1088,-96.6735
Alma,United States,43.3799,-84.6556
Alton,United States,38.9037,-90.152
Amelia,Italy,42.55,12.4167
Amelia,United States,39.0269,-84.2218
Ames,United States,42.0256,-93.6217
Amesbury,United States,42.853,-70.9446
Amherst,United States,43.0117,-78.757
Amsterdam,United States,42.942,-74.1906
Andover,United States,42.6466,-71.1651
Antrim,United States,39.7862,-77.7221
Appleton,United States,44.278,-88.3892
Arnold,United States,39.0437,-76.4974
Athens,Greece,37.9842,23.7281
Athens,United States,33.9508,-83.3689
Augusta,Italy,37.25,15.2167
Augusta,United States,33.3645,-82.0708
Aurora,United States,39.7083,-104.7237
Avon,United States,41.4485,-82.0187
Bangor,United States,44.8323,-68.7906
Barberton,South Africa,-25.7861,31.0531
Barberton,United States,41.0095,-81.6037
Bath,United States,42.3219,-77.3083
Bayonne,United States,40.6668,-74.1158
Beaumont,United States,30.0849,-94.1451
Bedford,United States,32.8464,-97.135
Bel Air,Mauritius,-20.2582,57.7545
Bel Air,United States,39.5348,-76.346
Belgrade,Serbia,44.82,20.46
Bella Vista,United States,36.4667,-94.2707
Belleville,United States,40.795,-74.1617
Bellevue,France,48.871,2.385
Bellevue,United States,47.5951,-122.1535
Berlin,Germany,52.52,13.405
Bethlehem,United States,40.6266,-75.3679
Birmingham,United Kingdom,52.48,-1.9025
Bogota,Colombia,4.7111,-74.0722
Bolivar,Colombia,1.9708,-76.9694
Borger,Netherlands,52.9236,6.7922
Borger,United States,35.6598,-101.4012
Boston,United States,42.3188,-71.0852
Bourne,United States,41.7233,-70.5816
Braintree,United States,42.2039,-71.0022
Brandon,United States,27.9367,-82.3
Brentwood,United States,40.7839,-73.2522
Bridgetown,Barbados,13.0975,-59.6167
Bridgetown,United States,39.1552,-84.6359
Bridgewater,United States,40.5934,-74.6076
Brighton,United Kingdom,50.8208,-0.1375
Bristol,United Kingdom,51.4536,-2.5975
Brockton,United States,42.0821,-71.0242
Buckingham,United Kingdom,51.995,-0.986
Burlington,United States,36.076,-79.4685
Cairo,Egypt,30.0444,31.2358
Camas,Spain,37.402,-6.0332
Camas,Turkey,40.9131,37.5169
Cambridge,United Kingdom,52.2053,0.1192
Cambridge,United States,42.3759,-71.1185
Carlisle,United Kingdom,54.891,-2.944
Carlisle,United States,40.2,-77.2034
Carthage,Tunisia,36.8528,10.3233
Carthage,United States,37.1503,-94.3225
Ceres,Argentina,-29.8667,-61.95
Ceres,Brazil,-15.3078,-49.5978
Ceres,United States,37.5952,-120.962
Cerritos,Mexico,22.4275,-100.2783
Cerritos,United States,33.8678,-118.0686
Chalco,Mexico,19.2647,-98.8975
Chantilly,France,49.1869,2.4608
Chaparral,Colombia,3.75,-75.5833
Chatham,Canada,42.4229,-82.1324
Chatham,United States,39.6733,-89.6934
Chelmsford,United Kingdom,51.73,0.48
Cheltenham,United Kingdom,51.9,-2.0667
Cheltenham,United States,40.0781,-75.1382
Chester,United States,39.8456,-75.3718
Chesterfield,United States,38.6589,-90.5803
Chino,Japan,35.9955,138.1588
Chino,United States,33.9836,-117.6654
Clayton,United Kingdom,53.782,-1.8135
Clayton,United States,38.6444,-90.3303
Clermont,United States,28.5325,-81.7208
Clifton,United States,40.863,-74.1575
Colchester,United States,44.5545,-73.2168
Colonia,United States,40.5926,-74.3148
Cornwall,United Kingdom,45.0275,-74.74
Coventry,United States,41.6934,-71.6611
Croydon,United States,40.0911,-74.8975
Damascus,Syria,33.5131,36.2919
Darien,Colombia,3.9167,-76.6667
Delhi,India,28.61,77.23
Denton,United Kingdom,53.4554,-2.1122
Denton,United States,33.2175,-97.1418
Derby,United Kingdom,52.9217,-1.4767
Derby,United States,39.84,-104.9172
Derry,United Kingdom,54.9917,-7.3417
Derry,United States,42.8888,-71.2804
