firstname,middlename,lastname,fname
except,first,aadam,Except First Aadam
jac,NA,aall,Jac Aall
nicolai,NA,aall,Nicolai Aall
wilhel,couchero,aamo,Wilhel Couchero Aamo
ban,aeured,aannbnaaunk,Ban Aeured Aannbnaaunk
sir,j.,aanstic,Sir J. Aanstic
gipi,oolfitteilpi,aapomefl,Gipi Oolfitteilpi Aapomefl
eugene,r.,aaron,Eugene R. Aaron
hart,richard,aaron,Hart Richard Aaron
joseph,abraham,aaron,Joseph Abraham Aaron
lewis,NA,aarons,Lewis Aarons
share,l.,aarons,Share L. Aarons
burton,david,aaronson,Burton David Aaronson
jens,ludwig,aars,Jens Ludwig Aars
kaare,NA,aass,Kaare Aass
joseph,NA,aatleford,Joseph Aatleford
emile,NA,abadie,Emile Abadie
quirico,abella,abadilla,Quirico Abella Abadilla
been,NA,abandoned,Been Abandoned
lawrence,parker,abare,Lawrence Parker Abare
ramon,fabella,abarquez,Ramon Fabella Abarquez
nikolais,NA,abasow,Nikolais Abasow
earl,hatheway,abbe,Earl Hatheway Abbe
Leslie,M.,Abbe,Leslie M. Abbe
roy,hosford,abbe,Roy Hosford Abbe
alfred,NA,abbey,Alfred Abbey
abbontiakoon,wassaw,abbontiakoon,Abbontiakoon Wassaw Abbontiakoon
arthur,howard,abbot,Arthur Howard Abbot
abiel,jacob,abbot,Abiel Jacob Abbot
arthur,preston,abbot,Arthur Preston Abbot
bessie,owen,abbot,Bessie Owen Abbot
charles,g.,abbot,Charles G. Abbot
charles,greeley,abbot,Charles Greeley Abbot
frederick,NA,abbot,Frederick Abbot
gardner,NA,abbot,Gardner Abbot
george,NA,abbot,George Abbot
henry,NA,abbot,Henry Abbot
ira,NA,abbot,Ira Abbot
john,colby,abbot,John Colby Abbot
john,cameron,abbot,John Cameron Abbot
John,C.,Abbot,John C. Abbot
joseph,robertson,abbot,Joseph Robertson Abbot
louis,andrew,abbot,Louis Andrew Abbot
lucas,charles,abbot,Lucas Charles Abbot
leon,martin,abbot,Leon Martin Abbot
leon,o.,abbot,Leon O. Abbot
paul,w.,abbot,Paul W. Abbot
russell,chandler,abbot,Russell Chandler Abbot
stock,henry,abbot,Stock Henry Abbot
samuel,leonard,abbot,Samuel Leonard Abbot
samuel,m.,abbot,Samuel M. Abbot
stock,m.,abbot,Stock M. Abbot
stock,n.,abbot,Stock N. Abbot
argyle,campbell,abbott,Argyle Campbell Abbott
arthur,howard,abbott,Arthur Howard Abbott
arthur,k.,abbott,Arthur K. Abbott
argyle,lnnyon,abbott,Argyle Lnnyon Abbott
cornelius,NA,abbott,Cornelius Abbott
clark,daniel,abbott,Clark Daniel Abbott
clark,edward,abbott,Clark Edward Abbott
charles,edward,abbott,Charles Edward Abbott
clarence,edward,abbott,Clarence Edward Abbott
charles,theodoric,abbott,Charles Theodoric Abbott
elmore,NA,abbott,Elmore Abbott
edward,francis,abbott,Edward Francis Abbott
Edward,R.,Abbott,Edward R. Abbott
frederic,b.,abbott,Frederic B. Abbott
frederic,bassett,abbott,Frederic Bassett Abbott
frank,bassett,abbott,Frank Bassett Abbott
frederick,bancroft,abbott,Frederick Bancroft Abbott
fred,hathaway,abbott,Fred Hathaway Abbott
frederick,john,abbott,Frederick John Abbott
frank,pierce,abbott,Frank Pierce Abbott
george,alonzo,abbott,George Alonzo Abbott
gardner,alonzo,abbott,Gardner Alonzo Abbott
George,H.,Abbott,George H. Abbott
graydon,leon,abbott,Graydon Leon Abbott
harvey,charles,abbott,Harvey Charles Abbott
Harry,L.,Abbott,Harry L. Abbott
inc,NA,abbott,Inc Abbott
ira,herbert,abbott,Ira Herbert Abbott
john,allan,abbott,John Allan Abbott
john,colby,abbott,John Colby Abbott
john,cameron,abbott,John Cameron Abbott
james,dudley,abbott,James Dudley Abbott
james,delano,abbott,James Delano Abbott
john,f.,abbott,John F. Abbott
john,h.,abbott,John H. Abbott
john,l.,abbott,John L. Abbott
joseph,robertson,abbott,Joseph Robertson Abbott
joseph,william,abbott,Joseph William Abbott
leon,benjamin,abbott,Leon Benjamin Abbott
lewis,b.,abbott,Lewis B. Abbott
lewis,benjamin,abbott,Lewis Benjamin Abbott
leon,martin,abbott,Leon Martin Abbott
Louis,R.,Abbott,Louis R. Abbott
leon,russell,abbott,Leon Russell Abbott
milford,NA,abbott,Milford Abbott
matthew,cochrane,abbott,Matthew Cochrane Abbott
mortimer,duffield,abbott,Mortimer Duffield Abbott
