"id","type","source","year","lastname","firstname","middlename","simpname","prof","org","loc","lon","lat","country"
"amm1464","corpis","amm",1907,"abadie","emile",NA,"abadie, e","Mgr","Edel Mining Company","oakland ",-122.2711639,37.8043514,"united states of america"
"amm2215","corpis","amm",1907,"abadie","emile",NA,"abadie, e","Mgr","United Gold Coast Mining Properties","albany ",-73.7562317,42.6525793,"united states of america"
"amm89510","corpis","amm",1922,"abbott","clarence","edward","abbott, c e","General Supt","Tennessee Coal Iron G Railroad Company","bessemer ",-86.954437,33.4017766,"united states of america"
"amm24708","corpis","amm",1916,"abbott","clarence","edward","abbott, c e","General Supt","Tennessee Coal Iron G Railroad Company","bessemer ",-86.954437,33.4017766,"united states of america"
"amm56126","corpis","amm",1920,"abbott","clarence","edward","abbott, c e","General Supt","Tennessee Coal Iron Railroad Company","bessemer ",-86.954437,33.4017766,"united states of america"
"amm92200","corpis","amm",1922,"adami","charles","j","adami, c j","General Manager","St Joseph Lead Company","missouri ",-91.8318334,37.9642529,"united states of america"
"amm92166","corpis","amm",1922,"adami","charles","j","adami, c j","General Manager","Afl Lliation Of St Joseph Lead Company","missouri ",-91.8318334,37.9642529,"united states of america"
"amm33452","corpis","amm",1916,"adami","charles","j","adami, c j","General Superintendent","St Joseph Lead Company",NA,NA,NA,NA
"amm61789","corpis","amm",1920,"adami","charles","j","adami, c j","General Superintendent","St Joseph Lead Company","missouri ",-91.8318334,37.9642529,"united states of america"
"amm5342","corpis","amm",1907,"adams","charles","christy","adams, c c","Supt","Amalgamated Copper Company",NA,NA,NA,NA
"amm91356","corpis","amm",1922,"adams","cuyler","coffin","adams, c c","General Manager","Biwanago Mining Company","minnesota ",-94.6858998,46.729553,"united states of america"
"amm32966","corpis","amm",1916,"adams","cuyler","coffin","adams, c c","Manager","Biwango Mining Company",NA,NA,NA,NA
"myb163875","corpis","myb",1894,"adams","herbert","h","adams, h h","board","Bwlchglas Prospecting Syndicate Limited","london",-0.1277583,51.50735,"united kingdom"
"myb130930","corpis","myb",1893,"adams","herbert","h","adams, h h","board","Bwlchglas Prospecting Syndicate Limited","london",-0.1277583,51.5073509,"united kingdom"
"amm28706","corpis","amm",1916,"adams","joseph","cockrell","adams, j c","Superintendent","Rush Creek Placer Mining Company",NA,NA,NA,NA
