"","id","type","source","year","simpname","lastname","firstname","middlename","nationality","edu","prof","org","loc","lon","lat"
"1","rs1","alumni","rsm",1889,"abbott, a k","abbott","a","k",NA,"geology","major","royal school of mines","london",-0.1277583,51.5073509
"2","rs2","alumni","rsm",1896,"abbott, a k","abbott","a","k",NA,"geology","secretary","public school of",NA,NA,NA
"3","rs3","alumni","rsm",1896,"abbott, a k","abbott","a","k",NA,"geology",NA,NA,"larence",-95.2352501,38.9716689
"4","rs4","alumni","rsm",1896,"abbott, a k","abbott","a","k",NA,"geology",NA,NA,"cheltenham",-75.1370254,40.0812601
"5","rs5","alumni","rsm",1846,"abel, s f","abel","sir","frederick",NA,NA,"student","royal school of mines","london",-0.1277583,51.5073509
"6","rs7","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,NA,NA,NA,"oxford",-1.2577263,51.7520209
"7","rs11","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","chemist","the royal college",NA,NA,NA
"8","rs12","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","chemist","the government 55",NA,NA,NA
"9","rs13","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry",NA,"the ordnance committee",NA,NA,NA
"10","rs14","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","secretary","commission on accidents in mine","organ",-95.826134,36.053795
"11","rs15","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","director","the imperial institute",NA,NA,NA
"12","rs18","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","president","the british association",NA,NA,NA
"13","rs19","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","president","president the chemical society the",NA,NA,NA
"14","rs20","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","chemist","chemistry and the society of",NA,NA,NA
"15","rs21","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","chairman","also chairman the society of",NA,NA,NA
"16","rs23","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry",NA,"the royal medal",NA,NA,NA
"17","rs24","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","author","the modern history",NA,NA,NA
"18","rs25","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","agent","and other works",NA,NA,NA
"19","rs29","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","student","chemistry",NA,NA,NA
"20","rs30","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry",NA,"the royal","germany",10.451526,51.165691
"21","rs31","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","chemist","chemistry 51",NA,NA,NA
"22","rs32","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","chemist","mexican and south american co",NA,NA,NA
"23","rs33","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","manager","the smelting establishment",NA,NA,NA
"24","rs34","alumni","rsm",1896,"abel, s f","abel","sir","frederick",NA,"chemistry","died","and co","urmeueta and co tongoy near coquimbo died in",-71.4997935,-30.2521009
"25","rs37","alumni","rsm",1896,"abney, w d","abney","william","de",NA,NA,NA,"london","london",-0.1277583,51.5073509
"26","rs38","alumni","rsm",1896,"abney, w d","abney","william","de",NA,NA,NA,"derby 1843 and",NA,NA,NA
"27","rs40","alumni","rsm",1896,"abney, w d","abney","william","de",NA,"chemistry","captain","the royal","captain",-95.846091,36.26481
"28","rs41","alumni","rsm",1896,"abney, w d","abney","william","de",NA,"chemistry","engineer","science in the",NA,NA,NA
